folder,file,savename,subject,protocol,station,run,project,userID,session,timebins,timebin_start,timebin_end,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur,Click_freq,Click_dur,Noise_freq,Noise_dur,Tone_freq,Tone_dur,Siren_freq,Siren_dur
RepeatTest6_Day27,CRFRepeatTest6P71,CRFRepeatTest6P71_Rat11.csv,11____,71,2,1,C,Marios,310,1,429.76,489.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest6_Day27,CRFRepeatTest6P71,CRFRepeatTest6P71_Rat11.csv,11____,71,2,1,C,Marios,310,2,489.76,549.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest6_Day27,CRFRepeatTest6P71,CRFRepeatTest6P71_Rat11.csv,11____,71,2,1,C,Marios,310,3,549.76,609.76,0,0,4,4.04000000000008,0,0,0,0,0,0,0,0,0,0,2,3.38
RepeatTest6_Day27,CRFRepeatTest6P71,CRFRepeatTest6P71_Rat11.csv,11____,71,2,1,C,Marios,310,4,609.76,669.76,0,0,5,4.25999999999999,0,0,0,0,0,0,0,0,0,0,1,2.62
RepeatTest6_Day27,CRFRepeatTest6P71,CRFRepeatTest6P71_Rat11.csv,11____,71,2,1,C,Marios,310,5,669.76,729.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest6_Day27,CRFRepeatTest6P71,CRFRepeatTest6P71_Rat11.csv,11____,71,2,1,C,Marios,310,6,729.76,789.76,0,0,1,0.219999999999914,0,0,0,0,0,0,0,0,0,0,1,2
RepeatTest6_Day27,CRFRepeatTest6P71,CRFRepeatTest6P71_Rat11.csv,11____,71,2,1,C,Marios,310,7,789.76,849.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest6_Day27,CRFRepeatTest6P71,CRFRepeatTest6P71_Rat11.csv,11____,71,2,1,C,Marios,310,8,849.76,909.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest6_Day27,CRFRepeatTest6P71,CRFRepeatTest6P71_Rat11.csv,11____,71,2,1,C,Marios,310,9,909.76,969.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest6_Day27,CRFRepeatTest6P71,CRFRepeatTest6P71_Rat11.csv,11____,71,2,1,C,Marios,310,10,969.76,1029.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest6_Day27,CRFRepeatTest6P71,CRFRepeatTest6P71_Rat11.csv,11____,71,2,1,C,Marios,310,11,1029.76,1089.76,0,0,1,2.8599999999999,0,0,0,0,0,0,0,0,0,0,0,0
