folder,file,savename,subject,protocol,station,run,project,userID,session,timebins,timebin_start,timebin_end,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur,Click_freq,Click_dur,Noise_freq,Noise_dur,Tone_freq,Tone_dur,Siren_freq,Siren_dur
RepeatTest3_Day25,CRFRepeatTest3P65,CRFRepeatTest3P65_Rat9.csv,9_____,65,1,1,C,Marios,298,1,95.6,155.6,4,0.47999999999999,1,0.0600000000000023,0,0,0,0,1,2,0,0,0,0,0,0
RepeatTest3_Day25,CRFRepeatTest3P65,CRFRepeatTest3P65_Rat9.csv,9_____,65,1,1,C,Marios,298,2,155.6,215.6,1,0.039999999999992,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest3_Day25,CRFRepeatTest3P65,CRFRepeatTest3P65_Rat9.csv,9_____,65,1,1,C,Marios,298,3,215.6,275.6,0,0,1,47.74,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest3_Day25,CRFRepeatTest3P65,CRFRepeatTest3P65_Rat9.csv,9_____,65,1,1,C,Marios,298,4,275.6,335.6,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest3_Day25,CRFRepeatTest3P65,CRFRepeatTest3P65_Rat9.csv,9_____,65,1,1,C,Marios,298,5,335.6,395.6,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest3_Day25,CRFRepeatTest3P65,CRFRepeatTest3P65_Rat9.csv,9_____,65,1,1,C,Marios,298,6,395.6,455.6,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest3_Day25,CRFRepeatTest3P65,CRFRepeatTest3P65_Rat9.csv,9_____,65,1,1,C,Marios,298,7,455.6,515.6,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest3_Day25,CRFRepeatTest3P65,CRFRepeatTest3P65_Rat9.csv,9_____,65,1,1,C,Marios,298,8,515.6,575.6,1,0.0800000000000409,0,31.76,0,0,0,0,1,2,0,0,0,0,0,0
RepeatTest3_Day25,CRFRepeatTest3P65,CRFRepeatTest3P65_Rat9.csv,9_____,65,1,1,C,Marios,298,9,575.6,635.6,11,1.15999999999985,0,0,0,0,0,0,3,6,0,0,0,0,0,0
RepeatTest3_Day25,CRFRepeatTest3P65,CRFRepeatTest3P65_Rat9.csv,9_____,65,1,1,C,Marios,298,10,635.6,695.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest3_Day25,CRFRepeatTest3P65,CRFRepeatTest3P65_Rat9.csv,9_____,65,1,1,C,Marios,298,11,695.6,755.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest3_Day25,CRFRepeatTest3P65,CRFRepeatTest3P65_Rat9.csv,9_____,65,1,1,C,Marios,298,12,755.6,815.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest3_Day25,CRFRepeatTest3P65,CRFRepeatTest3P65_Rat9.csv,9_____,65,1,1,C,Marios,298,13,815.6,875.6,8,4.4000000000002,0,0,0,0,0,0,2,4,0,0,0,0,0,0
RepeatTest3_Day25,CRFRepeatTest3P65,CRFRepeatTest3P65_Rat9.csv,9_____,65,1,1,C,Marios,298,14,875.6,935.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest3_Day25,CRFRepeatTest3P65,CRFRepeatTest3P65_Rat9.csv,9_____,65,1,1,C,Marios,298,15,935.6,995.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest3_Day25,CRFRepeatTest3P65,CRFRepeatTest3P65_Rat9.csv,9_____,65,1,1,C,Marios,298,16,995.6,1055.6,1,1.3599999999999,0,0,0,0,0,0,1,2,0,0,0,0,0,0
RepeatTest3_Day25,CRFRepeatTest3P65,CRFRepeatTest3P65_Rat9.csv,9_____,65,1,1,C,Marios,298,17,1055.6,1115.6,1,0.180000000000064,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest3_Day25,CRFRepeatTest3P65,CRFRepeatTest3P65_Rat9.csv,9_____,65,1,1,C,Marios,298,18,1115.6,1175.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest3_Day25,CRFRepeatTest3P65,CRFRepeatTest3P65_Rat9.csv,9_____,65,1,1,C,Marios,298,19,1175.6,1235.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest3_Day25,CRFRepeatTest3P65,CRFRepeatTest3P65_Rat9.csv,9_____,65,1,1,C,Marios,298,20,1235.6,1295.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest3_Day25,CRFRepeatTest3P65,CRFRepeatTest3P65_Rat9.csv,9_____,65,1,1,C,Marios,298,21,1295.6,1355.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest3_Day25,CRFRepeatTest3P65,CRFRepeatTest3P65_Rat9.csv,9_____,65,1,1,C,Marios,298,22,1355.6,1415.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
