GroupHungerID,Group,Subject,Period,Day,Hunger,MagEntries
Lesion: Satiety,Lesion,11,CS,Day 22,Satiety,6.375
Lesion: Hungry,Lesion,11,PreCS,Day 23,Hungry,4.9375
Lesion: Hungry,Lesion,11,CS,Day 23,Hungry,16.6875
Lesion: Hungry,Lesion,11,CSPre,Day 21,Hungry,9.19
Lesion: Satiety,Lesion,11,CSPre,Day 22,Satiety,6
Lesion: Hungry,Lesion,11,CSPre,Day 23,Hungry,11.75
Lesion: Hungry,Lesion,12,PreCS,Day 21,Hungry,2.75
Lesion: Hungry,Lesion,12,CS,Day 21,Hungry,18.0625
Lesion: Satiety,Lesion,12,PreCS,Day 22,Satiety,0.0625
Lesion: Satiety,Lesion,12,CS,Day 22,Satiety,3.625
Lesion: Hungry,Lesion,12,PreCS,Day 23,Hungry,2.25
Lesion: Hungry,Lesion,12,CS,Day 23,Hungry,18.75
Lesion: Hungry,Lesion,12,CSPre,Day 21,Hungry,15.31
Lesion: Satiety,Lesion,12,CSPre,Day 22,Satiety,3.57
Lesion: Hungry,Lesion,12,CSPre,Day 23,Hungry,16.5
Lesion: Hungry,Lesion,14,PreCS,Day 21,Hungry,4.5625
Lesion: Hungry,Lesion,14,CS,Day 21,Hungry,16.1875
Lesion: Satiety,Lesion,14,PreCS,Day 22,Satiety,0.625
Lesion: Satiety,Lesion,14,CS,Day 22,Satiety,8.5
Lesion: Hungry,Lesion,14,PreCS,Day 23,Hungry,6
Lesion: Hungry,Lesion,14,CS,Day 23,Hungry,17.125
Lesion: Hungry,Lesion,14,CSPre,Day 21,Hungry,11.63
Lesion: Satiety,Lesion,14,CSPre,Day 22,Satiety,7.87
Lesion: Hungry,Lesion,14,CSPre,Day 23,Hungry,11.13
Lesion: Hungry,Lesion,15,PreCS,Day 21,Hungry,6
Lesion: Hungry,Lesion,15,CS,Day 21,Hungry,15.6875
Lesion: Satiety,Lesion,15,PreCS,Day 22,Satiety,1.125
Lesion: Satiety,Lesion,15,CS,Day 22,Satiety,8.25
Lesion: Hungry,Lesion,15,PreCS,Day 23,Hungry,7.375
Lesion: Hungry,Lesion,15,CS,Day 23,Hungry,18.8125
Lesion: Hungry,Lesion,15,CSPre,Day 21,Hungry,9.69
Lesion: Satiety,Lesion,15,CSPre,Day 22,Satiety,7.12
Lesion: Hungry,Lesion,15,CSPre,Day 23,Hungry,11.43
Lesion: Hungry,Lesion,16,PreCS,Day 21,Hungry,2.625
Lesion: Hungry,Lesion,16,CS,Day 21,Hungry,25.25
Lesion: Satiety,Lesion,16,PreCS,Day 22,Satiety,0.1875
Lesion: Satiety,Lesion,16,CS,Day 22,Satiety,14.25
Lesion: Hungry,Lesion,16,PreCS,Day 23,Hungry,1.5
Lesion: Hungry,Lesion,16,CS,Day 23,Hungry,19.5625
Lesion: Hungry,Lesion,16,CSPre,Day 21,Hungry,22.62
Lesion: Satiety,Lesion,16,CSPre,Day 22,Satiety,14.06
Lesion: Hungry,Lesion,16,CSPre,Day 23,Hungry,18.06
