Subject,Period,Stage,Magazine,Probability,MagEntries
1,PreCS,Acquisition,Pellet - Sucrose,Low,-0.4166667
1,PreCS,Acquisition,Pellet - Sucrose,Medium,-1.076923
1,PreCS,Acquisition,Pellet - Sucrose,High,-1.40625
1,PreCS,Thirst,Pellet - Sucrose,Low,-1.111111
1,PreCS,Thirst,Pellet - Sucrose,Medium,-1.418605
1,PreCS,Thirst,Pellet - Sucrose,High,-2.241379
1,PreCS,4x Sucrose,Pellet - Sucrose,Low,-0.7857143
1,PreCS,4x Sucrose,Pellet - Sucrose,Medium,-1.418605
1,PreCS,4x Sucrose,Pellet - Sucrose,High,-2.787879
1,CS,Acquisition,Pellet - Sucrose,Low,0.9130435
1,CS,Acquisition,Pellet - Sucrose,Medium,0.65
1,CS,Acquisition,Pellet - Sucrose,High,0.1
1,CS,Thirst,Pellet - Sucrose,Low,-0.4545455
1,CS,Thirst,Pellet - Sucrose,Medium,-1.214286
1,CS,Thirst,Pellet - Sucrose,High,-1.2
1,CS,4x Sucrose,Pellet - Sucrose,Low,-0.925
1,CS,4x Sucrose,Pellet - Sucrose,Medium,-0.7647059
1,CS,4x Sucrose,Pellet - Sucrose,High,-2.096774
2,PreCS,Acquisition,Pellet - Sucrose,Low,-0.3111111
2,PreCS,Acquisition,Pellet - Sucrose,Medium,-0.6756757
2,PreCS,Acquisition,Pellet - Sucrose,High,-0.7096774
2,PreCS,Thirst,Pellet - Sucrose,Low,-0.2926829
2,PreCS,Thirst,Pellet - Sucrose,Medium,-1.04878
2,PreCS,Thirst,Pellet - Sucrose,High,-0.9411765
2,PreCS,4x Sucrose,Pellet - Sucrose,Low,-0.5681818
2,PreCS,4x Sucrose,Pellet - Sucrose,Medium,-0.9230769
2,PreCS,4x Sucrose,Pellet - Sucrose,High,-1.033333
2,CS,Acquisition,Pellet - Sucrose,Low,3.090909
2,CS,Acquisition,Pellet - Sucrose,Medium,2.48718
2,CS,Acquisition,Pellet - Sucrose,High,2.925
2,CS,Thirst,Pellet - Sucrose,Low,2.152174
2,CS,Thirst,Pellet - Sucrose,Medium,1.282051
