GroupCueID,Group,Subject,Period,Cue,Day,MagEntries
Saline: CD,Saline,7,Stage2,CD,12,4.666666667
Saline: CD,Saline,7,Stage2,CD,13,5
Saline: CD,Saline,7,Stage2,CD,14,7
Saline: AB,Saline,11,Stage2,AB,12,4.666666667
Saline: AB,Saline,11,Stage2,AB,13,5.5
Saline: AB,Saline,11,Stage2,AB,14,5.166666667
Saline: CD,Saline,11,Stage2,CD,12,2
Saline: CD,Saline,11,Stage2,CD,13,4.333333333
Saline: CD,Saline,11,Stage2,CD,14,5.333333333
Saline: AB,Saline,12,Stage2,AB,12,2.666666667
Saline: AB,Saline,12,Stage2,AB,13,3
Saline: AB,Saline,12,Stage2,AB,14,2
Saline: CD,Saline,12,Stage2,CD,12,1
Saline: CD,Saline,12,Stage2,CD,13,2.5
Saline: CD,Saline,12,Stage2,CD,14,1.666666667
Saline: AB,Saline,17,Stage2,AB,12,4
Saline: AB,Saline,17,Stage2,AB,13,3.333333333
Saline: AB,Saline,17,Stage2,AB,14,4
Saline: CD,Saline,17,Stage2,CD,12,2.333333333
Saline: CD,Saline,17,Stage2,CD,13,4
Saline: CD,Saline,17,Stage2,CD,14,2.666666667
Saline: AB,Saline,19,Stage2,AB,12,5.833333333
Saline: AB,Saline,19,Stage2,AB,13,8
Saline: AB,Saline,19,Stage2,AB,14,8
Saline: CD,Saline,19,Stage2,CD,12,4.5
Saline: CD,Saline,19,Stage2,CD,13,7.5
Saline: CD,Saline,19,Stage2,CD,14,9.166666667
Saline: AB,Saline,22,Stage2,AB,12,3.333333333
Saline: AB,Saline,22,Stage2,AB,13,2.833333333
Saline: AB,Saline,22,Stage2,AB,14,3.333333333
Saline: CD,Saline,22,Stage2,CD,12,3.666666667
Saline: CD,Saline,22,Stage2,CD,13,1.833333333
Saline: CD,Saline,22,Stage2,CD,14,2.5
Saline: AB,Saline,24,Stage2,AB,12,3.666666667
Saline: AB,Saline,24,Stage2,AB,13,3.333333333
Saline: AB,Saline,24,Stage2,AB,14,4
Saline: CD,Saline,24,Stage2,CD,12,2.833333333
Saline: CD,Saline,24,Stage2,CD,13,5.333333333
Saline: CD,Saline,24,Stage2,CD,14,6.666666667
Saline: AB,Saline,25,Stage2,AB,12,5.5
Saline: AB,Saline,25,Stage2,AB,13,6.666666667
Saline: AB,Saline,25,Stage2,AB,14,7
Saline: CD,Saline,25,Stage2,CD,12,3.333333333
Saline: CD,Saline,25,Stage2,CD,13,4.333333333
Saline: CD,Saline,25,Stage2,CD,14,4.333333333
Saline: AB,Saline,27,Stage2,AB,12,3.666666667
Saline: AB,Saline,27,Stage2,AB,13,4.333333333
Saline: AB,Saline,27,Stage2,AB,14,4.166666667
Saline: CD,Saline,27,Stage2,CD,12,3
Saline: CD,Saline,27,Stage2,CD,13,4
Saline: CD,Saline,27,Stage2,CD,14,2
Saline: AB,Saline,28,Stage2,AB,12,4.5
Saline: AB,Saline,28,Stage2,AB,13,3.333333333
Saline: AB,Saline,28,Stage2,AB,14,3.666666667
Saline: CD,Saline,28,Stage2,CD,12,3.666666667
Saline: CD,Saline,28,Stage2,CD,13,3.666666667
Saline: CD,Saline,28,Stage2,CD,14,4.833333333
Saline: AB,Saline,29,Stage2,AB,12,2
Saline: AB,Saline,29,Stage2,AB,13,2.5
Saline: AB,Saline,29,Stage2,AB,14,2.833333333
Saline: CD,Saline,29,Stage2,CD,12,1.666666667
Saline: CD,Saline,29,Stage2,CD,13,1.5
Saline: CD,Saline,29,Stage2,CD,14,3.333333333
Saline: AB,Saline,30,Stage2,AB,12,4.333333333
Saline: AB,Saline,30,Stage2,AB,13,4
Saline: AB,Saline,30,Stage2,AB,14,5.5
Saline: CD,Saline,30,Stage2,CD,12,2.666666667
Saline: CD,Saline,30,Stage2,CD,13,4
Saline: CD,Saline,30,Stage2,CD,14,5.5
