folder,file,savename,subject,protocol,station,run,project,userID,session,timebins,timebin_start,timebin_end,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur,Flash_freq,Flash_dur,Steady_freq,Steady_dur,Banana_freq,Banana_dur,Test_Banana_freq,Test_Banana_dur,Chocolate_freq,Chocolate_dur,Test_Chocolate_freq,Test_Chocolate_dur,counterbalancing,Pavlovian_cbx,sex,FLash_leverCbx,Steady_levercbx,Flash_OutcomeID,Steady_OutcomeID,Chocolate_Levercbx,Banana_Levercbx,Stage,Schedule,Day,Test_Period
LPL_Reinstatement_Test_Day15,LPLReinstatementTestDay15A,LPLReinstatementTestDay15A_Rat17.csv,17____,61,1,1,C,Marios,268,17,960,1020,0,0,1,0.660000000000082,1,4.07999999999993,0,0,0,0,0,0,0,0,0,0,0,0,0,60,A,X,F,Left,Right,Chocolate,Banana,Left,Right,Reinstatement,Test,Day15,Reinstatament_Test
LPL_Reinstatement_Test_Day15,LPLReinstatementTestDay15A,LPLReinstatementTestDay15A_Rat17.csv,17____,61,1,1,C,Marios,268,18,1020,1080,1,0.3599999999999,1,0.759999999999991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,A,X,F,Left,Right,Chocolate,Banana,Left,Right,Reinstatement,Test,Day15,Reinstatament_Test
LPL_Reinstatement_Test_Day15,LPLReinstatementTestDay15A,LPLReinstatementTestDay15A_Rat17.csv,17____,61,1,1,C,Marios,268,19,1080,1140,0,0,0,0,1,0.0399999999999636,0,0,0,0,0,0,0,0,0,0,0,0,0,60,A,X,F,Left,Right,Chocolate,Banana,Left,Right,Reinstatement,Test,Day15,Reinstatament_Test
LPL_Reinstatement_Test_Day15,LPLReinstatementTestDay15A,LPLReinstatementTestDay15A_Rat17.csv,17____,61,1,1,C,Marios,268,20,1140,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,A,X,F,Left,Right,Chocolate,Banana,Left,Right,Reinstatement,Test,Day15,Reinstatament_Test
LPL_Reinstatement_Test_Day15,LPLReinstatementTestDay15A,LPLReinstatementTestDay15A_Rat17.csv,17____,61,1,1,C,Marios,268,21,1200,1260,8,1.65999999999985,0,0,3,4.61999999999989,0,0,0,0,0,0,0,0,0,0,0,0,0,60,A,X,F,Left,Right,Chocolate,Banana,Left,Right,Reinstatement,Test,Day15,Reinstatament_Test
LPL_Reinstatement_Test_Day15,LPLReinstatementTestDay15A,LPLReinstatementTestDay15A_Rat17.csv,17____,61,1,1,C,Marios,268,22,1260,1320,0,0,1,0.0599999999999454,3,9.51999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,60,A,X,F,Left,Right,Chocolate,Banana,Left,Right,Reinstatement,Test,Day15,Reinstatament_Test
LPL_Reinstatement_Test_Day15,LPLReinstatementTestDay15A,LPLReinstatementTestDay15A_Rat17.csv,17____,61,1,1,C,Marios,268,23,1320,1380,0,0,1,0.579999999999927,1,0.0600000000001728,0,0,0,0,0,0,0,0,0,0,0,0,0,60,A,X,F,Left,Right,Chocolate,Banana,Left,Right,Reinstatement,Test,Day15,Reinstatament_Test
LPL_Reinstatement_Test_Day15,LPLReinstatementTestDay15A,LPLReinstatementTestDay15A_Rat17.csv,17____,61,1,1,C,Marios,268,24,1380,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,X,F,Left,Right,Chocolate,Banana,Left,Right,Reinstatement,Test,Day15,ITI
LPL_Reinstatement_Test_Day15,LPLReinstatementTestDay15A,LPLReinstatementTestDay15A_Rat17.csv,17____,61,1,1,C,Marios,268,25,1440,1500,0,0,0,0,4,12.3400000000001,0,0,0,0,0,0,1,60,0,0,0,0,0,0,A,X,F,Left,Right,Chocolate,Banana,Left,Right,Reinstatement,Test,Day15,Reinstatament
LPL_Reinstatement_Test_Day15,LPLReinstatementTestDay15A,LPLReinstatementTestDay15A_Rat17.csv,17____,61,1,1,C,Marios,268,26,1500,1560,0,0,0,0,6,3.08000000000015,0,0,0,0,0,0,0,60,0,0,0,0,0,0,A,X,F,Left,Right,Chocolate,Banana,Left,Right,Reinstatement,Test,Day15,Reinstatament
LPL_Reinstatement_Test_Day15,LPLReinstatementTestDay15A,LPLReinstatementTestDay15A_Rat17.csv,17____,61,1,1,C,Marios,268,27,1560,1620,1,0.460000000000036,0,0,1,1.08000000000015,0,0,0,0,0,0,0,0,1,60,0,0,0,0,A,X,F,Left,Right,Chocolate,Banana,Left,Right,Reinstatement,Test,Day15,Reinstatament_Test
LPL_Reinstatement_Test_Day15,LPLReinstatementTestDay15A,LPLReinstatementTestDay15A_Rat17.csv,17____,61,1,1,C,Marios,268,28,1620,1680,2,0.580000000000155,1,0.879999999999882,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,A,X,F,Left,Right,Chocolate,Banana,Left,Right,Reinstatement,Test,Day15,Reinstatament_Test
LPL_Reinstatement_Test_Day15,LPLReinstatementTestDay15A,LPLReinstatementTestDay15A_Rat17.csv,17____,61,1,1,C,Marios,268,29,1680,1740,5,2.98000000000047,0,0,2,4.83999999999992,0,0,0,0,0,0,0,0,0,60,0,0,0,0,A,X,F,Left,Right,Chocolate,Banana,Left,Right,Reinstatement,Test,Day15,Reinstatament_Test
LPL_Reinstatement_Test_Day15,LPLReinstatementTestDay15A,LPLReinstatementTestDay15A_Rat17.csv,17____,61,1,1,C,Marios,268,30,1740,1800,0,0,0,0,2,14.72,0,0,0,0,0,0,0,0,0,60,0,0,0,0,A,X,F,Left,Right,Chocolate,Banana,Left,Right,Reinstatement,Test,Day15,Reinstatament_Test
LPL_Reinstatement_Test_Day15,LPLReinstatementTestDay15A,LPLReinstatementTestDay15A_Rat17.csv,17____,61,1,1,C,Marios,268,31,1800,1860,0,0,0,0,1,3.37999999999988,0,0,0,0,0,0,0,0,0,60,0,0,0,0,A,X,F,Left,Right,Chocolate,Banana,Left,Right,Reinstatement,Test,Day15,Reinstatament_Test
