folder,file,savename,subject,protocol,station,run,project,userID,session,timebins,timebin_start,timebin_end,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur,Flash_freq,Flash_dur,Steady_freq,Steady_dur,counterbalancing,sex,Instrumental_cbx,Pavlovian_cbx,FLash_leverCbx,Steady_levercbx,Flash_OutcomeID,Steady_OutcomeID,DevaluedOutcome1,Stage,Schedule,Day
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat42.csv,42____,16,5,1,C,Marios,81,3,900,1350,1,0.879999999999882,0,0,0,0,0,0,0,0,0,0,A,M,A,Y,Left,Left,Banana,Chocolate,Banana,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat42.csv,42____,16,5,1,C,Marios,81,4,1350,1800,3,7.51999999999998,4,5.18000000000006,0,0,0,0,3,15,1,5,A,M,A,Y,Left,Left,Banana,Chocolate,Banana,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat44.csv,44____,16,6,1,C,Marios,81,1,0,450,5,0.560000000000031,11,2.13999999999993,0,0,0,0,1,5,4,20,A,M,A,X,Left,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat44.csv,44____,16,6,1,C,Marios,81,2,450,900,2,0.279999999999973,4,0.299999999999955,0,0,0,0,1,5,2,10,A,M,A,X,Left,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat44.csv,44____,16,6,1,C,Marios,81,3,900,1350,4,0.740000000000009,1,1.01999999999998,0,0,0,0,1,5,0,0,A,M,A,X,Left,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat44.csv,44____,16,6,1,C,Marios,81,4,1350,1800,5,2.86000000000013,10,2.46000000000004,0,0,0,0,2,10,2,10,A,M,A,X,Left,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1B,LPLAcquisitionRR2Day1B_Rat18.csv,18____,17,9,1,C,Marios,81,1,0,450,1,0.0600000000000023,1,0.579999999999984,0,0,0,0,1,4.56,0,0,B,F,B,X,Right,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1B,LPLAcquisitionRR2Day1B_Rat18.csv,18____,17,9,1,C,Marios,81,2,450,900,1,0.0399999999999636,1,0,0,0,0,0,1,5.44,0,0,B,F,B,X,Right,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1B,LPLAcquisitionRR2Day1B_Rat18.csv,18____,17,9,1,C,Marios,81,3,900,1350,0,0,0,0,0,0,0,0,0,0,0,0,B,F,B,X,Right,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1B,LPLAcquisitionRR2Day1B_Rat18.csv,18____,17,9,1,C,Marios,81,4,1350,1800,0,0,0,0,0,0,0,0,0,0,0,0,B,F,B,X,Right,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1B,LPLAcquisitionRR2Day1B_Rat20.csv,20____,17,10,1,C,Marios,81,1,0,450,5,4.64000000000001,0,0,0,0,0,0,0,0,1,5,B,F,B,Y,Right,Left,Banana,Chocolate,Banana,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1B,LPLAcquisitionRR2Day1B_Rat20.csv,20____,17,10,1,C,Marios,81,2,450,900,7,3.98000000000008,0,0,0,0,0,0,0,0,4,20,B,F,B,Y,Right,Left,Banana,Chocolate,Banana,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1B,LPLAcquisitionRR2Day1B_Rat20.csv,20____,17,10,1,C,Marios,81,3,900,1350,3,3.10000000000014,1,0.759999999999991,0,0,0,0,1,5,0,0,B,F,B,Y,Right,Left,Banana,Chocolate,Banana,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1B,LPLAcquisitionRR2Day1B_Rat20.csv,20____,17,10,1,C,Marios,81,4,1350,1800,5,4.22000000000025,0,0,0,0,0,0,0,0,3,15,B,F,B,Y,Right,Left,Banana,Chocolate,Banana,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1B,LPLAcquisitionRR2Day1B_Rat22.csv,22____,17,12,1,C,Marios,81,1,0,450,3,1.26,12,9.37999999999992,0,0,0,0,5,25,0,0,B,F,B,X,Right,Right,Chocolate,Banana,Banana,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1B,LPLAcquisitionRR2Day1B_Rat22.csv,22____,17,12,1,C,Marios,81,2,450,900,0,0,12,6.87999999999994,0,0,0,0,4,20,0,0,B,F,B,X,Right,Right,Chocolate,Banana,Banana,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1B,LPLAcquisitionRR2Day1B_Rat22.csv,22____,17,12,1,C,Marios,81,3,900,1350,0,0,2,1.60000000000014,0,0,0,0,1,5,0,0,B,F,B,X,Right,Right,Chocolate,Banana,Banana,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1B,LPLAcquisitionRR2Day1B_Rat22.csv,22____,17,12,1,C,Marios,81,4,1350,1800,1,0.100000000000136,1,0.740000000000009,0,0,0,0,0,0,0,0,B,F,B,X,Right,Right,Chocolate,Banana,Banana,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1B,LPLAcquisitionRR2Day1B_Rat24.csv,24____,17,9,1,C,Marios,82,1,0,450,0,0,0,0,0,0,0,0,0,0,0,0,B,F,B,Y,Right,Left,Banana,Chocolate,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1B,LPLAcquisitionRR2Day1B_Rat24.csv,24____,17,9,1,C,Marios,82,2,450,900,5,2.74000000000001,15,11.6800000000003,0,0,0,0,4,20,2,10,B,F,B,Y,Right,Left,Banana,Chocolate,Chocolate,Acquisition,RR2,Day1
