folder,file,savename,subject,protocol,station,run,project,userID,session,timebins,timebin_start,timebin_end,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur,Flash_freq,Flash_dur,Steady_freq,Steady_dur,counterbalancing,Stage,Schedule,Day
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,25,1440,1500,8,7.52000000000021,0,0,0,0,0,0,3,15,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,26,1500,1560,1,0.900000000000091,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,27,1560,1620,0,0,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,28,1620,1680,1,0.679999999999836,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,29,1680,1740,3,2.53999999999996,0,0,0,0,0,0,2,10,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,30,1740,1800,9,3.17999999999984,0,0,0,0,0,0,1,5,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat19.csv,19____,16,2,1,C,Marios,81,1,0,60,1,0.0399999999999991,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat19.csv,19____,16,2,1,C,Marios,81,2,60,120,1,0.0599999999999881,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat19.csv,19____,16,2,1,C,Marios,81,3,120,180,0,0,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat19.csv,19____,16,2,1,C,Marios,81,4,180,240,0,0,3,2.85999999999999,0,0,0,0,0,0,1,5,A,Acquisition,RR2,Day1
