folder,file,savename,subject,protocol,station,run,project,userID,session,timebins,timebin_start,timebin_end,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur,Flash_freq,Flash_dur,Steady_freq,Steady_dur
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat24.csv,24____,17,9,1,C,Marios,115,1,0,450,1,2.42000000000002,4,3.22,0,0,0,0,2,10,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat24.csv,24____,17,9,1,C,Marios,115,2,450,900,2,1.34000000000003,11,10.2400000000001,0,0,0,0,5,25,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat24.csv,24____,17,9,1,C,Marios,115,3,900,1350,0,0,3,1.59999999999991,0,0,0,0,1,5,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat24.csv,24____,17,9,1,C,Marios,115,4,1350,1800,7,2.07999999999947,7,5.46000000000026,0,0,0,0,4,20,2,10
