Subj,Drug,time_mins,activity,bin5mins,bin10mins,bin15mins,bin20mins,bin30mins,bin60mins,Period,Amph,LY
1_2,LY_Amph,13,13,-9,-4,-3,-2,-1,0,habituation,Amph,LY
1_2,LY_Amph,14,22,-9,-4,-3,-2,-1,0,habituation,Amph,LY
1_2,LY_Amph,15,41,-9,-4,-3,-2,-1,0,habituation,Amph,LY
1_2,LY_Amph,16,87,-8,-4,-2,-2,-1,0,habituation,Amph,LY
1_2,LY_Amph,17,108,-8,-4,-2,-2,-1,0,habituation,Amph,LY
1_2,LY_Amph,18,77,-8,-4,-2,-2,-1,0,habituation,Amph,LY
1_2,LY_Amph,19,55,-8,-4,-2,-2,-1,0,habituation,Amph,LY
1_2,LY_Amph,20,66,-8,-4,-2,-2,-1,0,habituation,Amph,LY
1_2,LY_Amph,21,59,-7,-3,-2,-1,-1,0,habituation,Amph,LY
1_2,LY_Amph,22,40,-7,-3,-2,-1,-1,0,habituation,Amph,LY
1_2,LY_Amph,23,41,-7,-3,-2,-1,-1,0,habituation,Amph,LY
1_2,LY_Amph,24,30,-7,-3,-2,-1,-1,0,habituation,Amph,LY
1_2,LY_Amph,25,15,-7,-3,-2,-1,-1,0,habituation,Amph,LY
1_2,LY_Amph,26,11,-6,-3,-2,-1,-1,0,habituation,Amph,LY
1_2,LY_Amph,27,35,-6,-3,-2,-1,-1,0,habituation,Amph,LY
1_2,LY_Amph,28,108,-6,-3,-2,-1,-1,0,habituation,Amph,LY
1_2,LY_Amph,29,114,-6,-3,-2,-1,-1,0,habituation,Amph,LY
1_2,LY_Amph,30,55,-6,-3,-2,-1,-1,0,habituation,Amph,LY
1_2,LY_Amph,31,31,-5,-2,-1,-1,0,0,habituation,Amph,LY
1_2,LY_Amph,32,37,-5,-2,-1,-1,0,0,habituation,Amph,LY
1_2,LY_Amph,33,56,-5,-2,-1,-1,0,0,habituation,Amph,LY
1_2,LY_Amph,34,27,-5,-2,-1,-1,0,0,habituation,Amph,LY
1_2,LY_Amph,35,11,-5,-2,-1,-1,0,0,habituation,Amph,LY
1_2,LY_Amph,36,91,-4,-2,-1,-1,0,0,habituation,Amph,LY
1_2,LY_Amph,37,46,-4,-2,-1,-1,0,0,habituation,Amph,LY
1_2,LY_Amph,38,92,-4,-2,-1,-1,0,0,habituation,Amph,LY
1_2,LY_Amph,39,85,-4,-2,-1,-1,0,0,habituation,Amph,LY
1_2,LY_Amph,40,91,-4,-2,-1,-1,0,0,habituation,Amph,LY
