Time,drug,nA
9.4,LY,0.479628977
9.5,Sal,-0.440558852
9.5,LY,0.477422782
9.6,Sal,-0.450177568
9.6,LY,0.471310825
9.7,Sal,-0.420103475
9.7,LY,0.460861779
9.8,Sal,-0.436079392
9.8,LY,0.459889421
9.9,Sal,-0.545986319
9.9,LY,0.449441317
