ExperimentalStage,StageType,stimPulses,stimStrength,drugs,subj,t50_s
04_Baseline2_Pre,Baseline,24,200,LY,M1059152,0.526149006
05_Baseline_Post,Baseline,24,200,SAL,M01007385,0.699234055
05_Baseline_Post,Baseline,24,200,SAL,M01043741,2.230287453
05_Baseline_Post,Baseline,24,200,SAL,M01043743,0.771206751
05_Baseline_Post,Baseline,24,200,SAL,M01059148,0.814592647
05_Baseline_Post,Baseline,24,200,SAL,M1059151,0.909588626
05_Baseline_Post,Baseline,24,200,SAL,M1059153,1.398369937
05_Baseline_Post,Baseline,24,200,LY,M01007386,0.604153561
05_Baseline_Post,Baseline,24,200,LY,M01007391,0.442831876
05_Baseline_Post,Baseline,24,200,LY,M01043738,0.410767262
05_Baseline_Post,Baseline,24,200,LY,M01043742,0.542704632
05_Baseline_Post,Baseline,24,200,LY,M01059147,0.483854965
05_Baseline_Post,Baseline,24,200,LY,M1059152,0.439147155
06_StimIntensity_Post,StimCurve,24,100,SAL,M01007385,0.577746483
06_StimIntensity_Post,StimCurve,24,100,SAL,M01043741,2.053927755
06_StimIntensity_Post,StimCurve,24,100,SAL,M01043743,0.753133055
06_StimIntensity_Post,StimCurve,24,100,SAL,M01059148,0.673618932
06_StimIntensity_Post,StimCurve,24,100,SAL,M1059153,0.673763948
06_StimIntensity_Post,StimCurve,24,100,LY,M01007386,0.419556749
06_StimIntensity_Post,StimCurve,24,100,LY,M01007391,0.414298429
06_StimIntensity_Post,StimCurve,24,100,LY,M01043738,0.382138197
06_StimIntensity_Post,StimCurve,24,100,LY,M01043742,0.523546021
06_StimIntensity_Post,StimCurve,24,100,LY,M01059147,0.625901106
06_StimIntensity_Post,StimCurve,24,100,LY,M1059152,0.609626826
06_StimIntensity_Post,StimCurve,24,200,SAL,M01007385,0.379907869
06_StimIntensity_Post,StimCurve,24,200,SAL,M01043741,2.14844764
06_StimIntensity_Post,StimCurve,24,200,SAL,M01043743,0.518092091
06_StimIntensity_Post,StimCurve,24,200,SAL,M01059148,0.621542347
06_StimIntensity_Post,StimCurve,24,200,SAL,M1059153,0.717916729
06_StimIntensity_Post,StimCurve,24,200,LY,M01007386,0.513929731
06_StimIntensity_Post,StimCurve,24,200,LY,M01007391,0.528323729
06_StimIntensity_Post,StimCurve,24,200,LY,M01043738,0.415665028
06_StimIntensity_Post,StimCurve,24,200,LY,M01043742,0.547883549
06_StimIntensity_Post,StimCurve,24,200,LY,M01059147,0.564057916
06_StimIntensity_Post,StimCurve,24,200,LY,M1059152,0.709263279
06_StimIntensity_Post,StimCurve,24,300,SAL,M01007385,0.387950429
06_StimIntensity_Post,StimCurve,24,300,SAL,M01043741,1.295468114
06_StimIntensity_Post,StimCurve,24,300,SAL,M01043743,0.735011115
06_StimIntensity_Post,StimCurve,24,300,SAL,M01059148,0.525490171
06_StimIntensity_Post,StimCurve,24,300,SAL,M1059151,0.611140926
06_StimIntensity_Post,StimCurve,24,300,SAL,M1059153,1.091051261
06_StimIntensity_Post,StimCurve,24,300,LY,M01007386,1.08373503
