Time,drug,nA
-2,SAL,-0.715388527
-2,LY,-0.226760076
-1.9,SAL,-0.858739366
-1.9,LY,-0.355621351
-1.8,SAL,-0.944030311
-1.8,LY,-0.417450561
-1.7,SAL,-1.042574518
-1.7,LY,-0.467137815
-1.6,SAL,-1.105088023
-1.6,LY,-0.459285575
-1.5,SAL,-1.070580761
-1.5,LY,-0.391931634
-1.4,SAL,-0.988800502
-1.4,LY,-0.341860479
-1.3,SAL,-0.879852796
-1.3,LY,-0.27124803
-1.2,SAL,-0.754333732
-1.2,LY,-0.22044267
-1.1,SAL,-0.651159784
-1.1,LY,-0.209393179
-1,SAL,-0.659462562
-1,LY,-0.204521208
-0.9,SAL,-0.782848027
-0.9,LY,-0.200031184
-0.8,SAL,-0.926916167
-0.8,LY,-0.193220048
-0.7,SAL,-0.9512303
-0.7,LY,-0.194880767
-0.6,SAL,-0.919281107
-0.6,LY,-0.261427951
-0.5,SAL,-0.861393989
-0.5,LY,-0.34880562
-0.4,SAL,-0.735254633
-0.4,LY,-0.435926882
-0.3,SAL,-0.607645835
-0.3,LY,-0.527293287
-0.2,SAL,-0.634014127
-0.2,LY,-0.565052191
-0.1,SAL,-0.541274574
-0.1,LY,-0.50314958
0,SAL,-0.240594367
0,LY,-0.340219312
0.1,SAL,0.249420028
0.1,LY,0.037180921
0.2,SAL,0.864899592
0.2,LY,0.560360183
0.3,SAL,1.680508207
0.3,LY,1.1379734
0.4,SAL,2.402595589
0.4,LY,1.797365956
0.5,SAL,3.006571001
0.5,LY,2.448102266
0.6,SAL,3.5139987600000002
0.6,LY,2.932936443
0.7,SAL,3.908058607
0.7,LY,3.261300866
0.8,SAL,4.107473885
0.8,LY,3.419747735
0.9,SAL,4.226781663
0.9,LY,3.383295853
1,SAL,4.222713456
1,LY,3.194812177
1.1,SAL,4.088690264
1.1,LY,2.933197232
1.2,SAL,3.909795121
1.2,LY,2.6231393
1.3,SAL,3.722185704
1.3,LY,2.336180721
1.4,SAL,3.480235701
1.4,LY,2.093842124
1.5,SAL,3.26051731
1.5,LY,1.879189876
1.6,SAL,3.048796416
1.6,LY,1.679763263
1.7,SAL,2.840372079
1.7,LY,1.505613877
1.8,SAL,2.644384836
1.8,LY,1.359776173
1.9,SAL,2.489628125
1.9,LY,1.236068932
2,SAL,2.318715526
2,LY,1.144600513
2.1,SAL,2.165477583
2.1,LY,1.046552454
2.2,SAL,2.021855314
2.2,LY,0.97442849
2.3,SAL,1.903087089
2.3,LY,0.941347291
2.4,SAL,1.784200098
2.4,LY,0.914155194
2.5,SAL,1.664572135
2.5,LY,0.885898935
2.6,SAL,1.540627102
2.6,LY,0.858300442
2.7,SAL,1.452470089
2.7,LY,0.825857382
2.8,SAL,1.339730328
2.8,LY,0.782014156
2.9,SAL,1.249547057
2.9,LY,0.716361257
3,SAL,1.184912459
3,LY,0.671137859
3.1,SAL,1.125440724
3.1,LY,0.63876625
3.2,SAL,1.048239275
3.2,LY,0.596750079
3.3,SAL,0.991607413
3.3,LY,0.544623699
3.4,SAL,0.924935083
3.4,LY,0.525150134
3.5,SAL,0.862690297
3.5,LY,0.517985834
3.6,SAL,0.810367451
3.6,LY,0.515764405
3.7,SAL,0.758862257
3.7,LY,0.542642967
3.8,SAL,0.704709975
3.8,LY,0.535430021
3.9,SAL,0.666863673
3.9,LY,0.50487155
4,SAL,0.603481529
4,LY,0.470026804
4.1,SAL,0.564607399
4.1,LY,0.434288513
4.2,SAL,0.525533268
4.2,LY,0.402298842
4.3,SAL,0.490922735
4.3,LY,0.405854753
4.4,SAL,0.457381273
4.4,LY,0.436142693
4.5,SAL,0.432692628
4.5,LY,0.474708054
4.6,SAL,0.371575894
4.6,LY,0.536720798
4.7,SAL,0.356412178
4.7,LY,0.56118519
4.8,SAL,0.301988681
4.8,LY,0.626831858
4.9,SAL,0.389255998
4.9,LY,0.578365771
