Period,Time,UniqueID,DA,drug,Subj
Post,-4.3,SAL_M1059151,0.497208278,SAL,M1059151
Post,-4.3,SAL_M1059153,-0.637070523,SAL,M1059153
Post,-4.3,LY_M01007386,0.103769633,LY,M01007386
Post,-4.3,LY_M01007391,-0.044336927,LY,M01007391
Post,-4.3,LY_M01043738,-0.26194775,LY,M01043738
Post,-4.3,LY_M01043742,-0.527248762,LY,M01043742
Post,-4.3,LY_M01059147,-0.20688266,LY,M01059147
Post,-4.3,LY_M1059152,0.084731243,LY,M1059152
Post,-4.2,SAL_M01007385,-0.287739932,SAL,M01007385
Post,-4.2,SAL_M01043741,0.466114381,SAL,M01043741
Post,-4.2,SAL_M01043743,-0.280754668,SAL,M01043743
Post,-4.2,SAL_M01059148,-0.426714015,SAL,M01059148
Post,-4.2,SAL_M1059151,-1.499199159,SAL,M1059151
Post,-4.2,SAL_M1059153,-0.907212757,SAL,M1059153
Post,-4.2,LY_M01007386,0.189829958,LY,M01007386
Post,-4.2,LY_M01007391,0.047892868,LY,M01007391
Post,-4.2,LY_M01043738,-0.365938126,LY,M01043738
Post,-4.2,LY_M01043742,-0.387130511,LY,M01043742
Post,-4.2,LY_M01059147,-0.152229045,LY,M01059147
Post,-4.2,LY_M1059152,-0.196280997,LY,M1059152
Post,-4.1,SAL_M01007385,-0.335887899,SAL,M01007385
Post,-4.1,SAL_M01043741,0.105850495,SAL,M01043741
Post,-4.1,SAL_M01043743,-0.295159428,SAL,M01043743
Post,-4.1,SAL_M01059148,-0.422219957,SAL,M01059148
Post,-4.1,SAL_M1059151,0.472405197,SAL,M1059151
Post,-4.1,SAL_M1059153,-1.054382294,SAL,M1059153
Post,-4.1,LY_M01007386,-0.102152405,LY,M01007386
Post,-4.1,LY_M01007391,0.059969306,LY,M01007391
Post,-4.1,LY_M01043738,-0.439480414,LY,M01043738
Post,-4.1,LY_M01043742,-0.302134265,LY,M01043742
Post,-4.1,LY_M01059147,-0.137375479,LY,M01059147
Post,-4.1,LY_M1059152,-0.241215091,LY,M1059152
Post,-4,SAL_M01007385,-0.462859578,SAL,M01007385
Post,-4,SAL_M01043741,-0.164461865,SAL,M01043741
Post,-4,SAL_M01043743,-0.304639554,SAL,M01043743
Post,-4,SAL_M01059148,-0.382553535,SAL,M01059148
Post,-4,SAL_M1059151,-0.854663209,SAL,M1059151
Post,-4,SAL_M1059153,-1.110454024,SAL,M1059153
Post,-4,LY_M01007386,0.457406401,LY,M01007386
Post,-4,LY_M01007391,0.22042657,LY,M01007391
Post,-4,LY_M01043738,-0.400907297,LY,M01043738
Post,-4,LY_M01043742,-0.301015106,LY,M01043742
Post,-4,LY_M01059147,-0.393797992,LY,M01059147
Post,-4,LY_M1059152,-0.196230462,LY,M1059152
Post,-3.9,SAL_M01007385,-0.38401919,SAL,M01007385
Post,-3.9,SAL_M01043741,-0.351725848,SAL,M01043741
Post,-3.9,SAL_M01043743,-0.408681595,SAL,M01043743
Post,-3.9,SAL_M01059148,-0.377782934,SAL,M01059148
Post,-3.9,SAL_M1059151,-0.767283123,SAL,M1059151
Post,-3.9,SAL_M1059153,-0.891650955,SAL,M1059153
Post,-3.9,LY_M01007386,0.319828407,LY,M01007386
Post,-3.9,LY_M01007391,0.054841495,LY,M01007391
Post,-3.9,LY_M01043738,-0.310712584,LY,M01043738
Post,-3.9,LY_M01043742,-0.211037959,LY,M01043742
Post,-3.9,LY_M01059147,-0.562960416,LY,M01059147
Post,-3.9,LY_M1059152,-0.227231193,LY,M1059152
Post,-3.8,SAL_M01007385,-0.434768796,SAL,M01007385
Post,-3.8,SAL_M01043741,0.465102095,SAL,M01043741
Post,-3.8,SAL_M01043743,-0.353265344,SAL,M01043743
Post,-3.8,SAL_M01059148,-0.390540578,SAL,M01059148
Post,-3.8,SAL_M1059151,0.042491442,SAL,M1059151
Post,-3.8,SAL_M1059153,-0.667539323,SAL,M1059153
Post,-3.8,LY_M01007386,0.673706172,LY,M01007386
Post,-3.8,LY_M01007391,-0.174840007,LY,M01007391
Post,-3.8,LY_M01043738,-0.276133493,LY,M01043738
Post,-3.8,LY_M01043742,-0.075455098,LY,M01043742
Post,-3.8,LY_M01059147,-0.693504306,LY,M01059147
Post,-3.8,LY_M1059152,-0.10189038,LY,M1059152
Post,-3.7,SAL_M01007385,-0.333631208,SAL,M01007385
Post,-3.7,SAL_M01043741,0.087519982,SAL,M01043741
Post,-3.7,SAL_M01043743,-0.226097973,SAL,M01043743
Post,-3.7,SAL_M01059148,-0.410171756,SAL,M01059148
Post,-3.7,SAL_M1059151,0.848932433,SAL,M1059151
Post,-3.7,SAL_M1059153,-0.654857614,SAL,M1059153
Post,-3.7,LY_M01007386,0.432934793,LY,M01007386
Post,-3.7,LY_M01007391,-0.028741827,LY,M01007391
Post,-3.7,LY_M01043738,-0.216589353,LY,M01043738
Post,-3.7,LY_M01043742,-0.034115201,LY,M01043742
Post,-3.7,LY_M01059147,-0.647500392,LY,M01059147
Post,-3.7,LY_M1059152,4.24808e-4,LY,M1059152
Post,-3.6,SAL_M01007385,-0.30434074,SAL,M01007385
Post,-3.6,SAL_M01043741,0.310181822,SAL,M01043741
Post,-3.6,SAL_M01043743,-0.08061819,SAL,M01043743
Post,-3.6,SAL_M01059148,-0.47258641,SAL,M01059148
Post,-3.6,SAL_M1059151,-0.684521239,SAL,M1059151
Post,-3.6,SAL_M1059153,-0.701643583,SAL,M1059153
