Voltage,drug,nA
0.255421687,Sal,-0.004070668
0.255421687,LY,0.24148466
0.262248996,Sal,0.005665905
0.262248996,LY,0.241806715
0.269076305,Sal,0.015228062
0.269076305,LY,0.242645167
0.275903614,Sal,0.024394373
0.275903614,LY,0.244535197
0.282730924,Sal,0.032959178
0.282730924,LY,0.247974464
0.289558233,Sal,0.040705387
0.289558233,LY,0.253332676
0.296385542,Sal,0.047398677
0.296385542,LY,0.260792301
0.303212851,Sal,0.052814256
0.303212851,LY,0.270339199
0.310040161,Sal,0.056774877
0.310040161,LY,0.281791391
0.31686747,Sal,0.059181603
0.31686747,LY,0.294845107
0.323694779,Sal,0.060036403
0.323694779,LY,0.30912161
0.330522088,Sal,0.059452084
0.330522088,LY,0.324191314
0.337349398,Sal,0.057633678
0.337349398,LY,0.339568805
0.344176707,Sal,0.054834897
0.344176707,LY,0.354721271
0.351004016,Sal,0.051313657
0.351004016,LY,0.369135011
0.357831325,Sal,0.047297218
0.357831325,LY,0.382415982
0.364658635,Sal,0.042950674
0.364658635,LY,0.394367923
0.371485944,Sal,0.038348066
0.371485944,LY,0.405031839
0.378313253,Sal,0.033462254
0.378313253,LY,0.414678372
0.385140562,Sal,0.028193115
0.385140562,LY,0.423735553
0.391967871,Sal,0.022432162
0.391967871,LY,0.432686675
0.398795181,Sal,0.016136082
0.398795181,LY,0.442000044
0.40562249,Sal,0.009386468
0.40562249,LY,0.452099649
0.412449799,Sal,0.002432439
0.412449799,LY,0.46334631
0.419277108,Sal,-0.004293248
0.419277108,LY,0.476013962
0.426104418,Sal,-0.010201189
0.426104418,LY,0.490271104
0.432931727,Sal,-0.014609482
0.432931727,LY,0.506174268
0.439759036,Sal,-0.016823698
0.439759036,LY,0.523662238
0.446586345,Sal,-0.016220628
0.446586345,LY,0.542557476
0.453413655,Sal,-0.012319988
0.453413655,LY,0.562592813
0.460240964,Sal,-0.0048202
0.460240964,LY,0.583446933
0.467068273,Sal,0.00641177
0.467068273,LY,0.604772196
0.473895582,Sal,0.021395503
0.473895582,LY,0.626225552
0.480722892,Sal,0.040122709
0.480722892,LY,0.647499439
0.487550201,Sal,0.062629005
0.487550201,LY,0.668344614
0.49437751,Sal,0.089006744
0.49437751,LY,0.688589084
0.501204819,Sal,0.119354137
0.501204819,LY,0.708134677
0.508032129,Sal,0.15368937
0.508032129,LY,0.726922524
0.514859438,Sal,0.191868308
0.514859438,LY,0.744909796
0.521686747,Sal,0.233540015
0.521686747,LY,0.762080406
0.528514056,Sal,0.278153781
0.528514056,LY,0.778466584
0.535341365,Sal,0.325000954
0.535341365,LY,0.794180683
0.542168675,Sal,0.373257093
0.542168675,LY,0.809465034
0.548995984,Sal,0.422010961
0.548995984,LY,0.82471542900000006
0.555823293,Sal,0.470299027
0.555823293,LY,0.840447513
0.562650602,Sal,0.517157788
0.562650602,LY,0.857251652
0.569477912,Sal,0.561689126
0.569477912,LY,0.875762078
0.576305221,Sal,0.603126918
0.576305221,LY,0.896605568
0.58313253,Sal,0.640880169
0.58313253,LY,0.920334996
0.589959839,Sal,0.674543748
0.589959839,LY,0.947386405
0.596787149,Sal,0.703899468
0.596787149,LY,0.978041329
0.603614458,Sal,0.728920842
0.603614458,LY,1.012370419
0.610441767,Sal,0.749778463
0.610441767,LY,1.050197269
0.617269076,Sal,0.766840794
0.617269076,LY,1.091106924
0.624096386,Sal,0.78064513
0.624096386,LY,1.134463227
0.630923695,Sal,0.791812111
0.630923695,LY,1.179425766
0.637751004,Sal,0.800928036
0.637751004,LY,1.224999978
0.644578313,Sal,0.808456013
0.644578313,LY,1.27011099
0.651405622,Sal,0.814701758
0.651405622,LY,1.313667665
0.658232932,Sal,0.819822169
0.658232932,LY,1.354625821
0.665060241,Sal,0.823878445
0.665060241,LY,1.392060433
0.67188755,Sal,0.826912459
0.67188755,LY,1.425219709
0.678714859,Sal,0.82897779
0.678714859,LY,1.453549114
0.685542169,Sal,0.830109645
0.685542169,LY,1.476708295
0.692369478,Sal,0.830288483
0.692369478,LY,1.494584787
0.699196787,Sal,0.82942086
0.699196787,LY,1.507284024
0.706024096,Sal,0.827331784
0.706024096,LY,1.515091746
0.712851406,Sal,0.823789761
0.712851406,LY,1.518409175
0.719678715,Sal,0.818574234
0.719678715,LY,1.517660722
0.726506024,Sal,0.811548495
0.726506024,LY,1.513207301
0.733333333,Sal,0.802701349
0.733333333,LY,1.50529835
0.740160643,Sal,0.792162938
0.740160643,LY,1.494056601
0.746987952,Sal,0.780210202
0.746987952,LY,1.47949368
0.753815261,Sal,0.767243257
0.753815261,LY,1.4615642
0.76064257,Sal,0.753723466
0.76064257,LY,1.44023484
0.76746988,Sal,0.740122118
0.76746988,LY,1.415537011
0.774297189,Sal,0.726905032
0.774297189,LY,1.387602766
0.781124498,Sal,0.714506572
0.781124498,LY,1.356694157
0.787951807,Sal,0.703285398
0.787951807,LY,1.323213185
0.794779116,Sal,0.693514273
0.794779116,LY,1.287679681
0.801606426,Sal,0.685394823
0.801606426,LY,1.250697831
0.808433735,Sal,0.679046694
0.808433735,LY,1.212932378
0.815261044,Sal,0.674488599
0.815261044,LY,1.17508539
0.822088353,Sal,0.671649911
0.822088353,LY,1.13785858
0.828915663,Sal,0.670393282
0.828915663,LY,1.101896723
0.835742972,Sal,0.670521247
0.835742972,LY,1.067724119
0.842570281,Sal,0.671783441
0.842570281,LY,1.035698354
0.84939759,Sal,0.673899078
0.84939759,LY,1.005990626
0.8562249,Sal,0.67657509
0.8562249,LY,0.978598999
0.863052209,Sal,0.679506842
0.863052209,LY,0.953407726
0.869879518,Sal,0.682383213
0.869879518,LY,0.930264673
0.876706827,Sal,0.684916124
0.876706827,LY,0.909022074
0.883534137,Sal,0.6868734
0.883534137,LY,0.889539441
0.890361446,Sal,0.688083875
0.890361446,LY,0.871680578
0.897188755,Sal,0.688420151
0.897188755,LY,0.85530077
0.904016064,Sal,0.687777157
0.904016064,LY,0.840221218
0.910843373,Sal,0.686048939
0.910843373,LY,0.826219791
0.917670683,Sal,0.683121299
0.917670683,LY,0.813039397
0.924497992,Sal,0.678901358
0.924497992,LY,0.800388361
0.931325301,Sal,0.673355771
0.931325301,LY,0.78794332
0.93815261,Sal,0.666519611
0.93815261,LY,0.775376434
0.94497992,Sal,0.658481987
0.94497992,LY,0.762395395
0.951807229,Sal,0.649364593
0.951807229,LY,0.748784845
0.958634538,Sal,0.63929828
0.958634538,LY,0.734443364
0.965461847,Sal,0.628406098
0.965461847,LY,0.719388271
0.972289157,Sal,0.616798601
0.972289157,LY,0.703718892
0.979116466,Sal,0.604575416
0.979116466,LY,0.687572866
0.985943775,Sal,0.591819192
0.985943775,LY,0.671093323
0.992771084,Sal,0.578580535
0.992771084,LY,0.654399024
0.999598394,Sal,0.564870398
0.999598394,LY,0.637569073
1.006425703,Sal,0.550669072
1.006425703,LY,0.620645708
1.013253012,Sal,0.535951237
1.013253012,LY,0.603640273
1.020080321,Sal,0.520724205
1.020080321,LY,0.586548048
1.026907631,Sal,0.505055659
1.026907631,LY,0.569369018
1.03373494,Sal,0.489066939
1.03373494,LY,0.552111544
1.040562249,Sal,0.47290178
1.040562249,LY,0.53478621
1.047389558,Sal,0.456682789
1.047389558,LY,0.517400702
1.054216867,Sal,0.440469226
1.054216867,LY,0.499944247
1.061044177,Sal,0.424257875
1.061044177,LY,0.482383878
1.067871486,Sal,0.408032527
1.067871486,LY,0.464696863
1.074698795,Sal,0.391808408
1.074698795,LY,0.446905065
1.081526104,Sal,0.375653198
1.081526104,LY,0.429082157
1.088353414,Sal,0.359702015
1.088353414,LY,0.41133742
1.095180723,Sal,0.344146823
1.095180723,LY,0.393772129
1.102008032,Sal,0.329192966
1.102008032,LY,0.376422702
1.108835341,Sal,0.315026784
1.108835341,LY,0.359228514
1.115662651,Sal,0.301815081
1.115662651,LY,0.342036682
1.12248996,Sal,0.289717178
1.12248996,LY,0.324640109
1.129317269,Sal,0.27890169
1.129317269,LY,0.306844452
1.136144578,Sal,0.269570161
1.136144578,LY,0.288532717
1.142971888,Sal,0.26196849
1.142971888,LY,0.26969117
1.149799197,Sal,0.256361808
1.149799197,LY,0.250399497
1.156626506,Sal,0.252977562
1.156626506,LY,0.230801192
1.163453815,Sal,0.251945043
1.163453815,LY,0.211048128
1.170281124,Sal,0.253260745
1.170281124,LY,0.191237892
1.177108434,Sal,0.256787786
1.177108434,LY,0.171397294
1.183935743,Sal,0.262274164
1.183935743,LY,0.151514425
1.190763052,Sal,0.269383156
1.190763052,LY,0.131575027
1.197590361,Sal,0.277734734
1.197590361,LY,0.11159386
1.204417671,Sal,0.28693358
1.204417671,LY,0.091648806
1.21124498,Sal,0.296567262
1.21124498,LY,0.071899967
1.218072289,Sal,0.306192496
1.218072289,LY,0.052582104
1.224899598,Sal,0.315321481
1.224899598,LY,0.033982811
1.231726908,Sal,0.323409257
1.231726908,LY,0.016417055
1.238554217,Sal,0.329869014
1.238554217,LY,1.91476e-4
1.245381526,Sal,0.334142723
1.245381526,LY,-0.014451437
1.252208835,Sal,0.335807547
1.252208835,LY,-0.027393065
1.259036145,Sal,0.334671673
1.259036145,LY,-0.03866752
1.265863454,Sal,0.330824965
1.265863454,LY,-0.048439993
1.272690763,Sal,0.324623881
1.272690763,LY,-0.056942632
1.279518072,Sal,0.316609595
1.279518072,LY,-0.064404824
1.286345382,Sal,0.307392633
1.286345382,LY,-0.071013705
1.293172691,Sal,0.297549287
1.293172691,LY,-0.076908605
1.3,Sal,0.287550409
1.3,LY,-0.082206707
1.3,Sal,0.277724196
1.3,LY,-0.087054198
1.293172691,Sal,0.268255171
1.293172691,LY,-0.091662555
1.286345382,Sal,0.259208202
1.286345382,LY,-0.096291065
1.279518072,Sal,0.250552593
1.279518072,LY,-0.101187235
1.272690763,Sal,0.242183117
1.272690763,LY,-0.106527776
1.265863454,Sal,0.233949449
1.265863454,LY,-0.112401644
1.259036145,Sal,0.225680069
1.259036145,LY,-0.118848821
1.252208835,Sal,0.217185083
1.252208835,LY,-0.12592834
1.245381526,Sal,0.208257426
1.245381526,LY,-0.133783933
1.238554217,Sal,0.198691462
1.238554217,LY,-0.142679465
1.231726908,Sal,0.188313169
1.231726908,LY,-0.152962703
1.224899598,Sal,0.177021827
1.224899598,LY,-0.164960515
1.218072289,Sal,0.164843597
1.218072289,LY,-0.178877212
1.21124498,Sal,0.151963332
1.21124498,LY,-0.194736473
1.204417671,Sal,0.138693309
1.204417671,LY,-0.212349938
1.197590361,Sal,0.125388469
1.197590361,LY,-0.231313783
1.190763052,Sal,0.112361365
1.190763052,LY,-0.251037971
1.183935743,Sal,0.099835066
1.183935743,LY,-0.270785318
1.177108434,Sal,0.087946521
1.177108434,LY,-0.289720347
1.170281124,Sal,0.076806536
1.170281124,LY,-0.306979367
1.163453815,Sal,0.066583206
1.163453815,LY,-0.321741726
1.156626506,Sal,0.057534903
1.156626506,LY,-0.333293339
1.149799197,Sal,0.049968214
1.149799197,LY,-0.341091041
1.142971888,Sal,0.044166631
1.142971888,LY,-0.344801529
1.136144578,Sal,0.040329279
1.136144578,LY,-0.344296122
1.129317269,Sal,0.038541126
1.129317269,LY,-0.339638
1.12248996,Sal,0.038799285
1.12248996,LY,-0.331083979
1.115662651,Sal,0.041072117
1.115662651,LY,-0.31907743
1.108835341,Sal,0.045323332
1.108835341,LY,-0.304220236
1.102008032,Sal,0.051487975
1.102008032,LY,-0.287224355
1.095180723,Sal,0.059441441
1.095180723,LY,-0.268836135
1.088353414,Sal,0.068976799
1.088353414,LY,-0.249747076
1.081526104,Sal,0.079794769
1.081526104,LY,-0.230526571
1.074698795,Sal,0.091529057
1.074698795,LY,-0.211600763
1.067871486,Sal,0.103794955
1.067871486,LY,-0.193280504
1.061044177,Sal,0.116203997
1.061044177,LY,-0.17581517
1.054216867,Sal,0.128328323
1.054216867,LY,-0.159427877
1.047389558,Sal,0.139671327
1.047389558,LY,-0.144320918
1.040562249,Sal,0.149687829
1.040562249,LY,-0.130680921
1.03373494,Sal,0.157833488
1.03373494,LY,-0.11868376
1.026907631,Sal,0.163620727
1.026907631,LY,-0.108480802
1.020080321,Sal,0.166684467
1.020080321,LY,-0.100182782
1.013253012,Sal,0.166840147
1.013253012,LY,-0.093847474
1.006425703,Sal,0.164106228
1.006425703,LY,-0.089452948
0.999598394,Sal,0.158701487
0.999598394,LY,-0.086877461
0.992771084,Sal,0.151034956
0.992771084,LY,-0.08591853
0.985943775,Sal,0.141673732
0.985943775,LY,-0.086334737
0.979116466,Sal,0.131272069
0.979116466,LY,-0.087878282
0.972289157,Sal,0.120475593
0.972289157,LY,-0.090304284
0.965461847,Sal,0.10983242
0.965461847,LY,-0.09336056
0.958634538,Sal,0.099737107
0.958634538,LY,-0.096776063
0.951807229,Sal,0.090421165
0.951807229,LY,-0.100257788
0.94497992,Sal,0.081992798
0.94497992,LY,-0.103498823
0.93815261,Sal,0.074501027
0.93815261,LY,-0.106203703
0.931325301,Sal,0.067973976
0.931325301,LY,-0.108116051
0.924497992,Sal,0.062417947
0.924497992,LY,-0.109024288
0.917670683,Sal,0.057812919
0.917670683,LY,-0.108759502
0.910843373,Sal,0.054113252
0.910843373,LY,-0.107216386
0.904016064,Sal,0.051238748
0.904016064,LY,-0.10439125
0.897188755,Sal,0.049075838
0.897188755,LY,-0.100406339
0.890361446,Sal,0.047497122
0.890361446,LY,-0.095504596
0.883534137,Sal,0.046367435
0.883534137,LY,-0.090011303
0.876706827,Sal,0.04554264
0.876706827,LY,-0.084265554
0.869879518,Sal,0.044891833
0.869879518,LY,-0.078549032
0.863052209,Sal,0.044324054
0.863052209,LY,-0.073045357
0.8562249,Sal,0.043794855
0.8562249,LY,-0.06783846
0.84939759,Sal,0.043295416
0.84939759,LY,-0.06294179
0.842570281,Sal,0.042825919
0.842570281,LY,-0.058334425
0.835742972,Sal,0.042373423
0.835742972,LY,-0.053977736
0.828915663,Sal,0.041914955
0.828915663,LY,-0.049814405
0.822088353,Sal,0.041427037
0.822088353,LY,-0.045763199
0.815261044,Sal,0.04088976
0.815261044,LY,-0.041718166
0.808433735,Sal,0.040291116
0.808433735,LY,-0.037564195
0.801606426,Sal,0.039619731
0.801606426,LY,-0.033210306
0.794779116,Sal,0.038851879
0.794779116,LY,-0.028626776
0.787951807,Sal,0.037959741
0.787951807,LY,-0.023873378
0.781124498,Sal,0.036931299
0.781124498,LY,-0.019107784
0.774297189,Sal,0.035772182
0.774297189,LY,-0.014561524
0.76746988,Sal,0.034491166
0.76746988,LY,-0.01048943
0.76064257,Sal,0.033087798
0.76064257,LY,-0.00712838
0.753815261,Sal,0.031549874
0.753815261,LY,-0.00468334
0.746987952,Sal,0.029866081
0.746987952,LY,-0.003318817
0.740160643,Sal,0.028053619
0.740160643,LY,-0.003156959
0.733333333,Sal,0.02617802
0.733333333,LY,-0.004299729
0.726506024,Sal,0.024344319
0.726506024,LY,-0.006845265
0.719678715,Sal,0.022675944
0.719678715,LY,-0.010871866
0.712851406,Sal,0.021303679
0.712851406,LY,-0.016413064
0.706024096,Sal,0.020360492
0.706024096,LY,-0.023434682
0.699196787,Sal,0.019983462
0.699196787,LY,-0.031804789
0.692369478,Sal,0.02032809
0.692369478,LY,-0.041277373
0.685542169,Sal,0.021570641
0.685542169,LY,-0.051509369
