subject,date,drug,channel,uniqueID,includeSubj,trialexclude,trialNum,rewardMagnitude,responselatency,MagEntry10sPre,MagEntry10sPost,AUC5s,peak5s,latency2peak5s
32,20130227,LY,0,32_20130227_0_LY,FALSE,FALSE,5,4,0,1,1,-8.663742517,1.77498511,4.5
32,20130227,LY,0,32_20130227_0_LY,FALSE,FALSE,6,2,32,0,3,15.03401872,0.604503223,3.9
32,20130227,LY,0,32_20130227_0_LY,FALSE,FALSE,7,4,0,2,1,11.58564298,2.126224247,4.5
32,20130227,LY,0,32_20130227_0_LY,FALSE,FALSE,8,2,0,5,3,-3.249696247,0.298361164,4.6
32,20130227,LY,0,32_20130227_0_LY,FALSE,FALSE,9,1,35,8,5,-0.655594046,0.751445456,3.1
32,20130227,LY,0,32_20130227_0_LY,FALSE,FALSE,10,2,18,2,4,6.244076924,1.009806152,3.9
32,20130227,LY,0,32_20130227_0_LY,FALSE,FALSE,11,1,26,0,4,7.247482497,0.929566021,3
32,20130227,LY,0,32_20130227_0_LY,FALSE,FALSE,12,4,8,1,2,-3.172092449,0.346511951,1.5
32,20130301,SAL,0,32_20130301_0_SAL,FALSE,FALSE,1,2,12,2,8,2.507278344,1.064916054,5
32,20130301,SAL,0,32_20130301_0_SAL,FALSE,FALSE,2,1,30,5,1,-3.357813138,0.408168992,1.6
32,20130301,SAL,0,32_20130301_0_SAL,FALSE,FALSE,3,4,14,2,7,-2.241153677,0.739302811,3.5
32,20130301,SAL,0,32_20130301_0_SAL,FALSE,FALSE,4,1,5,2,6,5.225654042,0.675970709,4.6
32,20130301,SAL,0,32_20130301_0_SAL,FALSE,FALSE,5,4,12,1,2,-9.817051418,0.229409674,1.2
32,20130301,SAL,0,32_20130301_0_SAL,FALSE,FALSE,6,2,6,4,4,-2.316983059,0.511278641,4.4
32,20130301,SAL,0,32_20130301_0_SAL,FALSE,FALSE,7,4,5,1,5,-15.6553318,0.265252979,1.1
32,20130301,SAL,0,32_20130301_0_SAL,FALSE,FALSE,8,2,3,2,6,-7.918405942,0.96141117,3.8
32,20130301,SAL,0,32_20130301_0_SAL,FALSE,FALSE,9,1,14,2,2,-0.455799174,0.432114504,2.6
32,20130301,SAL,0,32_20130301_0_SAL,FALSE,FALSE,10,2,5,3,6,-4.873115878,1.035686734,3.7
32,20130301,SAL,0,32_20130301_0_SAL,FALSE,FALSE,11,1,31,4,2,6.602981319,0.539411663,1.5
32,20130301,SAL,0,32_20130301_0_SAL,FALSE,FALSE,12,4,7,5,1,9.303730942,0.854558055,4.2
34,20130227,LY,0,34_20130227_0_LY,TRUE,FALSE,1,2,12,0,3,6.040393878,0.900524149,1.6
34,20130227,LY,0,34_20130227_0_LY,TRUE,FALSE,2,1,2,0,3,5.111606157,0.923518351,0.7
34,20130227,LY,0,34_20130227_0_LY,TRUE,FALSE,3,4,6,0,9,24.25518729,1.677677558,4.8
34,20130227,LY,0,34_20130227_0_LY,TRUE,FALSE,4,1,1,0,8,6.642286421,0.747293,4.8
34,20130227,LY,0,34_20130227_0_LY,TRUE,TRUE,5,4,2,0,2,23.76611365,1.57932053,5
34,20130227,LY,0,34_20130227_0_LY,TRUE,FALSE,6,2,20,0,11,10.65494736,0.964695513,1.4
34,20130227,LY,0,34_20130227_0_LY,TRUE,FALSE,7,4,20,0,6,32.23525114,1.100410228,1.6
34,20130227,LY,0,34_20130227_0_LY,TRUE,FALSE,8,2,6,0,7,18.24887524,1.223552343,3.2
34,20130227,LY,0,34_20130227_0_LY,TRUE,FALSE,9,1,1,2,3,7.183782204,1.652953584,3.4
34,20130227,LY,0,34_20130227_0_LY,TRUE,FALSE,10,2,1,0,2,18.0808361,2.34467102,4.8
34,20130227,LY,0,34_20130227_0_LY,TRUE,FALSE,11,1,3,1,5,12.52015155,2.023224083,4.1
34,20130227,LY,0,34_20130227_0_LY,TRUE,TRUE,12,4,1,12,1,13.61296858,0.856868753,0.9
34,20130301,SAL,0,34_20130301_0_SAL,TRUE,FALSE,1,2,6,0,2,-15.53146834,2.056609584,0.6
34,20130301,SAL,0,34_20130301_0_SAL,TRUE,FALSE,2,1,11,8,1,-0.480511823,0.795175908,3.9
34,20130301,SAL,0,34_20130301_0_SAL,TRUE,FALSE,3,4,2,6,1,-5.327042897,1.694464448,3.9
34,20130301,SAL,0,34_20130301_0_SAL,TRUE,FALSE,4,1,2,0,2,2.194344129,0.828481511,2.6
34,20130301,SAL,0,34_20130301_0_SAL,TRUE,FALSE,5,4,6,0,1,5.97529513,0.65082525,0.9
34,20130301,SAL,0,34_20130301_0_SAL,TRUE,FALSE,6,2,1,0,2,1.998075089,1.390814497,5
34,20130301,SAL,0,34_20130301_0_SAL,TRUE,FALSE,7,4,1,3,1,12.21048435,0.995730562,1
34,20130301,SAL,0,34_20130301_0_SAL,TRUE,FALSE,8,2,3,0,1,20.3120337,2.820989371,4.9
34,20130301,SAL,0,34_20130301_0_SAL,TRUE,FALSE,9,1,3,4,4,1.149862652,0.919901146,4.6
34,20130301,SAL,0,34_20130301_0_SAL,TRUE,FALSE,10,2,0,2,0,0.811236996,1.459577344,3.7
34,20130301,SAL,0,34_20130301_0_SAL,TRUE,FALSE,11,1,1,3,2,1.705816366,1.28244664,4.4
34,20130301,SAL,0,34_20130301_0_SAL,TRUE,FALSE,12,4,5,4,1,4.888012097,2.386797311,3.6
52,20130911,SAL,0,52_20130911_0_SAL,TRUE,FALSE,1,2,19,0,2,8.383239425,0.739580103,1
52,20130911,SAL,0,52_20130911_0_SAL,TRUE,FALSE,2,1,13,0,1,0.624418233,0.535460286,1.6
52,20130911,SAL,0,52_20130911_0_SAL,TRUE,FALSE,3,4,23,0,2,12.6007459,0.802355759,1.9
52,20130911,SAL,0,52_20130911_0_SAL,TRUE,FALSE,4,1,11,1,2,12.3760996,0.570022101,2
52,20130911,SAL,0,52_20130911_0_SAL,TRUE,FALSE,5,4,10,0,4,11.06239227,0.819615021,4.3
52,20130911,SAL,0,52_20130911_0_SAL,TRUE,FALSE,6,2,18,0,2,4.364945872,0.566613091,0.9
52,20130911,SAL,0,52_20130911_0_SAL,TRUE,FALSE,7,4,18,0,2,12.81557955,0.633659073,4.2
52,20130911,SAL,0,52_20130911_0_SAL,TRUE,FALSE,8,2,16,0,2,8.155271319,1.389636605,4.6
52,20130911,SAL,0,52_20130911_0_SAL,TRUE,TRUE,9,1,46,3,3,5.619617168,0.460138944,1.1
52,20130911,SAL,0,52_20130911_0_SAL,TRUE,FALSE,10,2,5,1,1,23.30108531,1.031604372,4.4
52,20130911,SAL,0,52_20130911_0_SAL,TRUE,FALSE,11,1,20,2,1,14.61649374,0.637173778,5
52,20130911,SAL,0,52_20130911_0_SAL,TRUE,FALSE,12,4,10,0,1,-0.163983058,0.744634963,1.8
52,20130913,LY,0,52_20130913_0_LY,TRUE,FALSE,1,2,2,2,7,8.959249372,0.638921584,1.5
52,20130913,LY,0,52_20130913_0_LY,TRUE,FALSE,2,1,627,0,0,-2.652098935,0.28161885,0.4
52,20130913,LY,0,52_20130913_0_LY,TRUE,FALSE,3,4,21,0,1,15.49498477,1.225044796,4
52,20130913,LY,0,52_20130913_0_LY,TRUE,FALSE,4,1,399,0,0,11.46729615,1.110367608,4.4
