subject,date,drug,channel,uniqueID,includeSubj,trialexclude,trialNum,rewardMagnitude,responselatency,MagEntry10sPre,MagEntry10sPost,AUC5s,peak5s,latency2peak5s
69,20141209,LY,0,69_20141209_0_LY,TRUE,FALSE,7,4,4,3,1,60.88210845,2.771769749,4.7
69,20141209,LY,0,69_20141209_0_LY,TRUE,FALSE,8,2,150,6,0,27.47921651,2.113337362,0.7
69,20141209,LY,0,69_20141209_0_LY,TRUE,FALSE,9,1,3,8,2,28.35614886,1.401580066,1
69,20141209,LY,0,69_20141209_0_LY,TRUE,FALSE,10,2,6,3,1,28.96065123,1.125382447,1
69,20141209,LY,0,69_20141209_0_LY,TRUE,FALSE,11,1,4,5,1,24.27423201,1.303992635,1.7
69,20141209,LY,0,69_20141209_0_LY,TRUE,FALSE,12,4,4,3,1,41.9464215,1.529967824,1.2
69,20141211,SAL,0,69_20141211_0_SAL,TRUE,FALSE,1,2,0,3,1,26.12061794,1.041717578,1.2
69,20141211,SAL,0,69_20141211_0_SAL,TRUE,FALSE,2,1,2,2,1,23.41375077,1.263217124,4.3
69,20141211,SAL,0,69_20141211_0_SAL,TRUE,FALSE,3,4,0,3,0,32.36752859,1.952976132,3.9
69,20141211,SAL,0,69_20141211_0_SAL,TRUE,FALSE,4,1,0,3,0,1.121544259,2.410234734,0.7
69,20141211,SAL,0,69_20141211_0_SAL,TRUE,FALSE,5,4,5,5,1,43.42251854,1.869539173,2.7
69,20141211,SAL,0,69_20141211_0_SAL,TRUE,FALSE,6,2,0,3,0,20.58155483,0.968457625,3.8
