folder,file,savename,subject,protocol,station,run,project,userID,session,timebins,timebin_start,timebin_end,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur,Flash_freq,Flash_dur,Steady_freq,Steady_dur,Flash_2_freq,Flash_2_dur,Steady_2_freq,Steady_2_dur
LPL_Acquisition_RR2_Day3,LPLAcquisitionRR2Day3A,LPLAcquisitionRR2Day3A_Rat19.csv,19____,16,2,1,C,Marios,100,1,0,600,17,2.45999999999989,19,19.4199999999999,0,0,0,0,4,20,7,35,0,0,0,0
LPL_Acquisition_RR2_Day3,LPLAcquisitionRR2Day3A,LPLAcquisitionRR2Day3A_Rat19.csv,19____,16,2,1,C,Marios,100,2,600,1200,4,0.779999999999973,15,21.1000000000005,0,0,0,0,1,5,4,20,0,0,0,0
LPL_Acquisition_RR2_Day3,LPLAcquisitionRR2Day3A,LPLAcquisitionRR2Day3A_Rat19.csv,19____,16,2,1,C,Marios,100,3,1200,1800,2,0.299999999999727,5,8.67999999999984,0,0,0,0,0,0,2,10,0,0,0,0
