Condition,SubjID,Drug,RewardSize,TotalTrials,prop_Slever,prop_Llever,prop_Mag,prop_Other,Slever,Llever,Mag,Other,prop_congruentlever,prop_incongruentlever,congruentlever,incongruentlever,Bothlevers,prop_Bothlevers,prop_totalLever_congruentlever,prop_totalLever_incongruentlever,prop_totalLever_Slever,prop_totalLever_Llever,not_Slever,not_Llever,not_Mag,not_Bothlevers,not_congruentlever,not_incongruentlever
Saline_Small,26,Saline,Small,8,0.125,0.25,0.5,0.125,1,2,4,1,0.125,0.25,1,2,3,0.375,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,7,6,4,5,7,6
Saline_Large,14,Saline,Large,7,0,0.1429,0,0.8571,0,1,0,6,0.1429,0,1,0,1,0.142857142857143,1,0,0,1,7,6,7,6,6,7
Saline_Large,20,Saline,Large,8,0.25,0.125,0.5,0.125,2,1,4,1,0.125,0.25,1,2,3,0.375,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,6,7,4,5,7,6
Saline_Large,21,Saline,Large,9,0.2222,0.4444,0.3333,0,2,4,3,0,0.4444,0.2222,4,2,6,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.666666666666667,7,5,6,3,5,7
Saline_Large,25,Saline,Large,6,0.1667,0.1667,0.6667,0,1,1,4,0,0.1667,0.1667,1,1,2,0.333333333333333,0.5,0.5,0.5,0.5,5,5,2,4,5,5
Saline_Large,26,Saline,Large,16,0,0.1875,0.8125,0,0,3,13,0,0.1875,0,3,0,3,0.1875,1,0,0,1,16,13,3,13,13,16
SKF_Small,13,SKF,Small,23,0.0435,0.0435,0,0.913,1,1,0,21,0.0435,0.0435,1,1,2,0.0869565217391304,0.5,0.5,0.5,0.5,22,22,23,21,22,22
SKF_Small,14,SKF,Small,11,0.3636,0.3636,0,0.2727,4,4,0,3,0.3636,0.3636,4,4,8,0.727272727272727,0.5,0.5,0.5,0.5,7,7,11,3,7,7
SKF_Small,15,SKF,Small,7,0.2857,0.2857,0.2857,0.1429,2,2,2,1,0.2857,0.2857,2,2,4,0.571428571428571,0.5,0.5,0.5,0.5,5,5,5,3,5,5
SKF_Small,16,SKF,Small,27,0.2963,0,0,0.7037,8,0,0,19,0.2963,0,8,0,8,0.296296296296296,1,0,1,0,19,27,27,19,19,27
SKF_Small,19,SKF,Small,6,0,0.1667,0.6667,0.1667,0,1,4,1,0,0.1667,0,1,1,0.166666666666667,0,1,0,1,6,5,2,5,6,5
SKF_Small,20,SKF,Small,29,0.1724,0.3448,0.3103,0.1724,5,10,9,5,0.1724,0.3448,5,10,15,0.517241379310345,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,24,19,20,14,24,19
SKF_Small,21,SKF,Small,28,0.5,0.0357,0.2143,0.25,14,1,6,7,0.5,0.0357,14,1,15,0.535714285714286,0.933333333333333,0.0666666666666667,0.933333333333333,0.0666666666666667,14,27,22,13,14,27
