Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,LLR_On,RLR_On,Mag_On,A4_On,LLR_Off,RLR_Off,Mag_Off,A4_Off
C,Marios,2,32,2,1,11____,0,0,1,0,0,0,0,0,0,0,0,0
C,Marios,2,32,2,1,11____,1770,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,2,1,11____,1873,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,2,1,11____,1893,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,2,1,11____,2012,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,2,1,11____,3221,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,2,1,11____,3240,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,2,1,11____,3242,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,2,1,11____,3315,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,2,1,11____,3316,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,2,1,11____,3322,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,2,1,11____,3388,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,2,1,11____,3403,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,2,1,11____,3410,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,2,1,11____,3490,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,2,1,11____,3750,1,2,0,0,0,0,0,0,0,0,0
C,Marios,2,32,2,1,11____,4250,2,3,0,0,0,0,0,0,0,0,0
C,Marios,2,32,2,1,11____,4750,3,1,0,0,0,0,0,0,0,0,0
C,Marios,2,32,2,1,11____,5711,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,2,1,11____,5717,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,2,1,11____,5721,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,2,1,11____,5729,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,2,1,11____,5730,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,2,1,11____,5988,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,2,1,11____,6000,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,2,1,11____,6006,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,2,1,11____,6025,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,2,1,11____,6028,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,2,1,11____,6029,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,2,1,11____,6033,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,2,1,11____,6035,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,2,1,11____,6037,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,2,1,11____,6044,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,2,1,11____,6116,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,2,1,11____,7752,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,2,1,11____,7757,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,2,1,11____,7759,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,2,1,11____,7893,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,2,1,11____,8250,1,2,0,0,0,0,0,0,0,0,0
C,Marios,2,32,2,1,11____,8750,2,3,0,0,0,0,0,0,0,0,0
C,Marios,2,32,2,1,11____,9250,3,1,0,0,0,0,0,0,0,0,0
C,Marios,2,32,2,1,11____,10365,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,2,1,11____,10367,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,2,1,11____,10369,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,2,1,11____,10425,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,2,1,11____,11631,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,2,1,11____,11639,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,2,1,11____,11646,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,2,1,11____,11661,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,2,1,11____,12250,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,2,1,11____,12330,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,2,1,11____,12354,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,2,1,11____,12355,1,0,0,0,0,1,0,0,0,1,0
C,Marios,2,32,2,1,11____,12358,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,2,1,11____,15455,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,2,1,11____,15500,1,2,0,0,0,0,0,0,0,0,0
C,Marios,2,32,2,1,11____,15516,2,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,2,1,11____,15540,2,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,2,1,11____,15659,2,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,2,1,11____,15664,2,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,2,1,11____,15672,2,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,2,1,11____,16000,2,3,0,0,0,0,0,0,0,0,0
C,Marios,2,32,2,1,11____,16500,3,1,0,0,0,0,0,0,0,0,0
C,Marios,2,32,2,1,11____,18645,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,2,1,11____,18647,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,2,1,11____,18651,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,2,1,11____,18725,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,2,1,11____,18965,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,2,1,11____,18967,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,2,1,11____,18979,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,2,1,11____,18981,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,2,1,11____,19038,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,2,1,11____,19109,1,0,0,0,0,0,0,0,0,1,0
