Voltage,SAL,LY
-0.4,3.14059E-06,1.39479E-05
-0.396593186,2.86381E-05,0.00012237
-0.393186373,0.000135507,0.000503802
-0.389779559,0.000437767,0.001376477
-0.386372745,0.001067891,0.002954567
-0.382965932,0.002120787,0.00542393
-0.379559118,0.003667233,0.008826756
-0.376152305,0.005720113,0.013006951
-0.372745491,0.008115968,0.017701807
-0.369338677,0.010586347,0.02263972
-0.365931864,0.012894595,0.027648674
-0.36252505,0.014808803,0.032733826
-0.359118236,0.016209946,0.037972683
-0.355711423,0.017189782,0.043318979
-0.352304609,0.017854171,0.048530796
-0.348897796,0.018302231,0.053222839
-0.345490982,0.018686161,0.056892708
-0.342084168,0.018936501,0.058946452
-0.338677355,0.018695381,0.058806355
-0.335270541,0.017563297,0.056020245
-0.331863727,0.015135038,0.050382451
-0.328456914,0.011024352,0.0420387
-0.3250501,0.005037504,0.031367239
-0.321643287,-0.00275809,0.018786084
-0.318236473,-0.012008042,0.004796931
-0.314829659,-0.022090084,-0.00993371
-0.311422846,-0.032280012,-0.024684524
-0.308016032,-0.04188915,-0.038768358
-0.304609218,-0.050303206,-0.051538264
-0.301202405,-0.057028234,-0.062471605
-0.297795591,-0.061789225,-0.071198946
-0.294388778,-0.06458663,-0.077400993
-0.290981964,-0.065576316,-0.080765312
-0.28757515,-0.064938734,-0.080990085
-0.284168337,-0.062861064,-0.077806407
-0.280761523,-0.059432295,-0.071135587
-0.277354709,-0.054612439,-0.061270265
-0.273947896,-0.048427867,-0.048899436
-0.270541082,-0.040972516,-0.035001284
-0.267134269,-0.032349704,-0.020680368
-0.263727455,-0.022892616,-0.007000332
-0.260320641,-0.013146756,0.005104156
-0.256913828,-0.003622795,0.014855475
-0.253507014,0.005166227,0.021752882
-0.2501002,0.012714121,0.025668275
-0.246693387,0.018662912,0.026678093
-0.243286573,0.022713093,0.02487159
-0.23987976,0.024605075,0.020415408
-0.236472946,0.024262772,0.013624439
-0.233066132,0.021757355,0.004866287
-0.229659319,0.017235714,-0.005481022
-0.226252505,0.010941414,-0.016993457
-0.222845691,0.003196517,-0.029232973
