Period,Time,SAL_M01007385,SAL_M01043741,SAL_M01043743,SAL_M01059148,SAL_M1059151,SAL_M1059153,LY_M01007386,LY_M01007391,LY_M01043738,LY_M01043742,LY_M01059147,LY_M1059152
Post,3,-0.352702075,0.078877275,-0.608943563,-0.306686967,-1.349171712,-0.677933117,-0.139015176,0.173093825,-0.281050851,0.125984814,-0.246283747,-0.202719944
Post,3.1,-0.411432716,0.17335302,-0.386101151,-0.298868328,-1.199225718,-0.95501677,0.328323515,0.097069782,-0.276483994,-0.205696282,-0.114843214,-0.061438745
Post,3.2,-0.335052652,-0.02552112,-0.28996666,-0.346089733,-1.791558614,-1.113316382,0.406560745,-0.006260645,-0.410013005,-0.174230898,-0.237958382,-0.180258877
Post,3.3,-0.30285165,-0.439637896,-0.104799581,-0.398474275,-0.09223295,-1.104358092,0.684944989,-0.110552635,-0.336576334,0.114331147,-0.30834299,-0.295957691
Post,3.4,-0.308118092,0.018266961,-0.089969402,-0.392650107,-0.749618036,-1.010776038,0.255760026,-0.285619397,-0.393745093,0.2690989,-0.419984619,-0.23585768
Post,3.5,-0.244001885,0.166715547,-0.005179856,-0.246476242,-0.965200696,-0.956233405,0.640941039,-0.301421715,-0.383566171,0.299684697,-0.406246483,-0.070385686
Post,3.6,-0.350892338,0.314518736,-0.021516159,-0.215143132,-0.284506402,-0.974748566,0.735622711,-0.125771105,-0.28336111,0.214435806,-0.34107479,-0.100556408
Post,3.7,-0.466174673,0.126683006,0.032978865,-0.247501372,-1.497369073,-0.906937165,-0.204831682,-0.002420438,-0.305044806,0.192482578,-0.329759675,-0.195162753
Post,3.8,-0.32566447,-0.143718703,0.07900588,-0.247515995,-1.237445069,-0.656483281,0.432502585,0.162628727,-0.289730711,0.22222699,-0.188834844,-0.109405518
Post,3.9,-0.293800803,-0.126677649,-0.052683186,-0.381166564,-1.747045217,-0.589882115,0.074275455,0.199439929,-0.251069793,0.049897027,-0.418160728,0.0449224
Post,4,-0.215714842,0.063384957,-0.212734421,-0.436924869,-1.335515915,-0.532938591,0.433150367,0.131467966,-0.289363905,-0.158562297,-0.493375877,0.117343818
Post,4.1,-0.218830726,0.375265663,-0.290888824,-0.330926339,0.507526555,-0.76161569,0.08897972,0.209252414,-0.242381075,-0.195381296,-0.392876398,0.10466475
Post,4.2,-0.217150668,0.065864534,-0.206430633,-0.355515314,-1.061752329,-0.950086406,-0.196422819,0.151759472,-0.237074224,-0.106087926,-0.118929921,0.138556924
Post,4.3,-0.281500284,-0.406174648,-0.03750167,-0.273417491,-0.384932888,-1.141343217,-0.181639051,0.105962962,-0.248407129,-0.16430537,-0.141594533,0.103590234
Post,4.4,-0.287602997,-0.744002208,-0.080200322,-0.33307177,-2.52573706,-1.238814678,0.201760059,-0.095020471,-0.258875723,-0.311908882,-0.140119691,0.00227463
Post,4.5,-0.297929272,-0.215757515,-0.111158966,-0.476165395,0.604192042,-0.826516527,0.02264181,-0.475286359,-0.246603636,-0.065437546,-0.279777241,-0.080134334
Post,4.6,-0.249675726,-0.571601581,-0.168084772,-0.449838392,-0.028552603,-0.562641412,0.488350597,-0.527886344,-0.397510127,0.264181268,-0.324462059,-0.149454574
Post,4.7,-0.322398999,-0.033362202,-0.150220872,-0.441184706,-0.660433761,-0.666814274,0.426138349,-0.480399769,-0.460038389,0.098594227,-0.251947093,-0.043309397
Post,4.8,-0.219320892,-0.360330036,-0.134650876,-0.394391082,-1.004646506,-0.684629215,0.568511894,-0.228645394,-0.460229636,0.007527829,-0.21715214,-0.063709825
Post,4.9,-0.25207312,0.407808452,-0.090279685,-0.341718979,1.447491273,-0.646030244,0.074572408,0.056182169,-0.418629014,0.075955964,-0.386176663,0.015149092
Post,5,-0.185846783,0.040370198,-0.508058115,-0.377761842,-1.130911265,-0.783573277,-0.502496455,-0.059113231,-0.458417069,-0.083173038,-0.313080419,-0.068097997
Post,5.1,0.120386514,0.022864034,-0.762121293,-0.089990217,-0.285384069,0.031794443,-0.72133445,-0.135256151,-0.325692549,-0.077437588,-0.307775587,-0.096663415
Post,5.2,0.369931068,0.43457612,-0.314959708,0.505356349,0.59987547,0.999223518,-0.870091946,0.248023321,0.160629123,-0.115102453,0.157320272,0.01469664
Post,5.3,0.587598545,0.331265491,0.520569779,0.867339729,0.562329096,1.840980004,-0.182684654,0.630263706,1.075518296,-0.031409958,0.715561016,0.153441462
Post,5.4,0.736931663,0.688169247,1.79916483,1.531426306,2.421777382,2.537021661,0.494632388,1.067138521,1.789848722,0.238210177,1.347609606,0.315807718
Post,5.5,0.797400771,0.884406994,2.993123592,2.028871488,1.859369111,3.256506786,2.158764814,1.54193219,2.386559618,0.71546605,1.845462401,0.52704539
Post,5.6,0.813897991,1.923020648,4.102854524,2.525068232,1.968323138,3.599928335,3.27734994,1.937168916,2.913871315,1.015245024,2.369737007,0.73187055
Post,5.7,0.921384723,2.14612891,5.1175488,2.886893328,2.808213956,3.980449178,5.025816896,2.298794577,3.230013545,1.286959754,2.703001866,0.940702109
Post,5.8,0.979852484,2.720180404,6.15179355,3.297299797,3.147233867,4.425356495,6.009985458,2.581900942,3.520152974,1.744614739,3.110712265,1.063517548
Post,5.9,1.00024092,3.856615676,7.142459017,3.400826274,1.987537843,4.460810502,6.770485184,2.748604884,3.466418414,2.38490861,3.283846173,1.227638201
Post,6,0.814739304,4.389422197,7.493217394,3.414811603,4.053508152,4.351546699,6.943290311,2.65763676,3.1492238,2.77772998,3.221354813,1.316281244
Post,6.1,0.771254611,4.777458968,7.33003126,3.169150755,3.467914712,4.205657829,6.570018811,2.506321119,2.776462619,2.851281473,3.068236189,1.318204202
Post,6.2,0.548712804,5.027463508,7.025459257,3.11756542,1.922764684,4.048941875,6.3190273,2.364638834,2.398189602,2.856684807,2.960724972,1.218160668
Post,6.3,0.569024929,5.011267232,6.828523317,2.963165113,3.027864935,3.678900814,5.962484098,2.155726529,2.122662223,2.9308233,2.729710464,1.142552367
Post,6.4,0.44069843,5.424273456,6.299888999,2.76695514,3.421347725,3.532626361,5.74091812,1.970273444,1.937166047,2.793841574,2.540168526,1.024680477
Post,6.5,0.511905195,5.627315415,5.909129465,2.503749674,2.642301432,3.302434255,4.627094361,1.797804569,1.648250172,2.659448229,2.329890741,1.007253242
Post,6.6,0.441334558,5.354631609,5.439865028,2.313489935,2.640734235,3.009525528,4.611582745,1.691608159,1.491029264,2.423602632,2.063108372,0.889885209
Post,6.7,0.408185975,5.203134224,5.02133723,2.135692817,1.52120561,2.859527209,4.122960846,1.572940657,1.305486465,2.326353547,1.985585771,0.848309546
Post,6.8,0.321226109,5.388682911,4.646052641,1.987191074,1.439610585,2.654186414,3.614312813,1.329535238,1.182438266,2.14355498,1.909467489,0.697097263
Post,6.9,0.233626203,5.254300954,4.450432725,1.734712541,2.393274686,2.452327039,3.466923591,1.377215042,1.037251252,1.935090272,1.810978751,0.772023484
Post,7,0.24095868,5.0581295,4.120544174,1.650909708,2.454445248,2.331184114,2.664718967,1.234236076,0.988183063,1.815203898,1.665891537,0.712516107
Post,7.1,0.253236775,4.905089354,3.708817544,1.509367379,2.170269397,2.206415807,2.661386249,1.088851612,0.912079058,1.756309945,1.537755913,0.66889269
Post,7.2,0.23457876,5.083175363,3.320700336,1.280335352,2.242105594,2.039690765,2.743006849,1.045193231,0.822927259,1.611775945,1.327167438,0.607243195
Post,7.3,0.18051751,5.051314763,3.073577225,1.284155661,2.112279764,1.882363684,3.034571054,1.116153944,0.740731066,1.316113294,1.279504403,0.505676592
Post,7.4,0.148791544,4.273028735,2.975983201,1.089245496,2.188937995,1.748405901,2.303695577,1.009521052,0.694212601,1.109988701,1.297129605,0.349918548
Post,7.5,0.117884621,4.755984205,2.928615976,1.075348056,1.028027703,1.712536347,2.385621947,1.004175673,0.745885747,0.925889266,1.279544049,0.285933506
Post,7.6,0.020169112,4.212066252,2.799005256,0.955799375,4.183317022,1.585495623,2.376934061,0.917042434,0.799411611,1.142602755,1.207868962,0.275833933
Post,7.7,0.021021878,3.829425986,2.518695919,0.91698838,0.605871764,1.430997291,1.527120489,0.835219858,0.718190902,1.000391975,0.963053937,0.425818185
Post,7.8,0.042491297,3.931734705,2.185155388,0.848683382,0.907672418,1.271273187,1.685769911,0.794827715,0.64245519,0.821605699,0.698434894,0.436634715
Post,7.9,0.030498785,3.904264252,1.999123553,0.814121449,0.108414964,1.235482954,1.478745255,0.715454661,0.573021355,0.845274046,0.790913532,0.446534167
Post,8,0.013368911,3.380663647,1.980904568,0.80673926,2.225822283,1.152108928,2.0318739,0.731517587,0.564722495,0.884413469,0.86544504,0.424468935
Post,8.1,-0.024870583,3.67625844,1.854947086,0.654788481,1.935413062,1.077864243,1.913907793,0.698803309,0.47888382,0.820763901,1.026745706,0.365431406
