RewardMagnitude,Time,R29_20130227_0_SAL,R34_20130301_0_SAL,R52_20130911_0_SAL,R54_20140619_0_SAL,R56_20140619_0_SAL,R57_20140618_0_SAL,R58_20140620_0_SAL,R69_20141211_0_SAL,R72_20141212_0_SAL,R29_20130227_1_SAL,R32_20130301_1_SAL,R34_20130301_1_SAL,R52_20130911_1_SAL,R54_20140619_1_SAL,R55_20140617_1_SAL,R57_20140618_1_SAL,R69_20141211_1_SAL,R72_20141212_1_SAL,R29_20130301_0_LY,R34_20130227_0_LY,R52_20130913_0_LY,R54_20140617_0_LY,R56_20140617_0_LY,R57_20140620_0_LY,R58_20140618_0_LY,R69_20141209_0_LY,R72_20141210_0_LY,R29_20130301_1_LY,R32_20130227_1_LY,R34_20130227_1_LY,R52_20130913_1_LY,R54_20140617_1_LY,R55_20140619_1_LY,R57_20140620_1_LY,R69_20141209_1_LY,R72_20141210_1_LY
1,1.2,-0.077531604,0.159163101,-0.150468061,0.048136534,-0.040683845,-0.073322713,-0.05457681,0.060313265,0.092228815,-0.03383983,-0.090768729,0.061827529,0.150423262,-0.20305447,0.183569642,0.068891488,0.096763769,-0.004658114,-0.065886072,0.177128512,-0.075053143,-0.061975738,-0.018159098,0.015912171,-0.14376457,-0.108378416,0.044690999,0.016483098,-0.172594982,-0.016846507,-0.01314987,-0.246369239,-0.008786149,0.180537674,-0.01531953,-0.146301419
1,1.3,-0.075367288,0.165292584,-0.16351426,0.020946202,-0.033862238,-0.087429283,-0.029367849,0.038936936,0.065297321,-0.035189444,-0.08788945,0.054364726,0.15051363,-0.201999624,0.185254612,0.057016468,0.085910778,-0.029675128,-0.081978135,0.196632904,-0.070779168,-0.087764736,-0.021706884,0.04416841,-0.12139888,-0.103722197,0.043987172,0.016129785,-0.201911371,-0.00647289,-0.007171568,-0.263510133,-0.030390673,0.181807722,-0.023409772,-0.150469796
1,1.4,-0.064293674,0.135249576,-0.180920238,0.020576938,-0.025588464,-0.078559827,-0.006899426,0.012143583,0.068944571,-0.045042759,-0.068573418,0.014550636,0.166146872,-0.211814066,0.178732953,0.080259132,0.063003753,-0.028993363,-0.083398526,0.192046044,-0.073478201,-0.109126298,-0.013649589,0.012553176,-0.157365547,-0.117209245,0.032765627,-0.014932901,-0.208016895,-0.01911977,-0.015872893,-0.266229155,-0.019046982,0.168635164,-0.012675164,-0.160056248
1,1.5,-0.093753231,0.112797099,-0.174495715,0.03152627,-0.027659116,-0.050044858,-0.003953057,0.040784907,0.058013584,-0.054936677,-0.082400631,0.003194754,0.189810797,-0.20666544,0.146569458,0.097894011,0.055669733,-0.036040465,-0.084434571,0.187772523,-0.060397435,-0.099176246,-0.01434091,0.016970343,-0.176565672,-0.107543118,0.027051738,-0.02320361,-0.203879446,-0.03357681,-0.008301563,-0.253208963,-0.042152023,0.147966862,-0.003398607,-0.179548025
1,1.6,-0.108497116,0.119882433,-0.155355547,0.025063558,-0.036552934,-0.086192148,0.016846739,0.038494379,0.051870977,-0.077380694,-0.078041271,-0.011056566,0.203747225,-0.191759017,0.144749799,0.091593816,0.077897229,-0.037773435,-0.10551297,0.173956124,-0.020831262,-0.091458233,-0.033312955,0.011398669,-0.182618184,-0.122828714,0.025328529,-0.044889569,-0.187073228,-0.053072457,0.01181371,-0.224706458,-0.040933555,0.145946652,0.003479193,-0.194579215
1,1.7,-0.144775347,0.099535819,-0.168017504,0.00908233,-0.03863631,-0.090372999,-0.014000282,0.063924397,0.023779709,-0.124036163,-0.082922697,-0.034119914,0.191617477,-0.161424548,0.098543228,0.100043215,0.082665506,-0.074961351,-0.117623051,0.165483103,-0.023690824,-0.107516083,-0.029126743,-0.002402143,-0.174353314,-0.138772496,0.025791733,-0.049403244,-0.170509248,-0.086462485,0.023871889,-0.211889614,-0.003053759,0.13440103,-0.012030953,-0.193109823
1,1.8,-0.160902767,0.059455131,-0.160733874,0.023007725,-0.028213273,-0.075233367,-0.015442958,0.105948576,0.029405232,-0.130916561,-0.111828482,-0.070298631,0.136345539,-0.155417034,0.066285325,0.110931631,0.094223456,-0.065255791,-0.114089853,0.150532938,0.012855543,-0.118475997,-0.014110355,-0.000641259,-0.196557264,-0.142276063,0.007525229,-0.056016979,-0.154987771,-0.094442477,0.053940834,-0.212409502,0.007983789,0.126066525,-0.019625771,-0.191175431
1,1.9,-0.148261039,0.057376012,-0.141988166,0.011318291,-0.030806784,-0.06599372,0.032151188,0.130499403,0.037248084,-0.112023634,-0.10088104,-0.07317371,0.106913922,-0.160947585,0.050610808,0.123001251,0.113649236,-0.050225157,-0.139765033,0.133112055,0.033744729,-0.102475018,-0.01017743,0.014407425,-0.220420864,-0.158121793,0.032983247,-0.059783771,-0.157213961,-0.090423524,0.07031613,-0.213719789,-0.009377209,0.123156303,-0.03722857,-0.177717417
1,2,-0.128856968,0.054606807,-0.183000826,0.005235478,-0.042362392,-0.067074838,0.04133343,0.124100067,0.031094517,-0.106237498,-0.081378134,-0.083083142,0.035678448,-0.169797946,0.068893461,0.158443393,0.104821946,-0.045810623,-0.13489538,0.112647052,0.037316656,-0.101166367,-0.015296411,0.011095885,-0.233829683,-0.185871971,0.026039541,-0.054455615,-0.149833859,-0.104404996,0.071161528,-0.226109788,-0.012504535,0.122179524,-0.044931085,-0.163209302
1,2.1,-0.13594479,0.057690707,-0.239497518,0.020356111,-0.03876899,-0.061655627,0.057632348,0.125502421,0.083750192,-0.112214273,-0.064167373,-0.076425185,-0.01574592,-0.146564929,0.056009142,0.173054454,0.087702713,-0.000800524,-0.127145511,0.093285748,-0.00398852,-0.09619727,0.00836985,0.025530509,-0.232819845,-0.219168632,0.029098267,-0.061636886,-0.17333321,-0.108333669,0.049744049,-0.22128692,-0.009311195,0.112841583,-0.059198163,-0.148004688
