Subj,Drug,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
24,Veh_Veh,192,141,132,115,106,133,76,87,121,89,33,38,21,6,0,2,4,4,3,3,15,10,51,60,59,0,1,4,0,0,0,0,0,0,0,0,0,1,2,0,1,4,0,0,0,0,0,0,0,0,3,0,0,2,20,0,3,1,0,6
25,LY_Amph,228,69,42,126,59,28,26,24,12,9,4,3,8,10,2,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,1,0,0,0,3,0,1,1,3,0,1,1,0,0,12,62,1
26,Veh_LY,167,133,19,60,155,49,122,78,108,93,17,23,48,80,45,38,40,13,0,32,9,5,1,0,0,33,77,64,35,14,6,3,0,0,0,0,0,0,0,1,14,0,36,1,3,5,3,9,0,0,0,0,0,0,0,0,0,0,0,0
27,Veh_Amph,168,93,53,16,42,112,78,11,0,3,16,8,12,47,43,90,69,60,7,0,2,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,25,0,3,3,0,0,0,0,0,0,0,0,0,0
28,Veh_Veh,120,13,7,3,1,0,0,0,28,114,85,79,3,1,16,82,71,5,0,15,3,21,14,15,17,13,0,4,2,1,1,0,2,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,4,6,1,1,0,1,0,0,1,4
29,Veh_LY,184,127,122,97,38,134,69,82,3,10,7,6,3,0,0,0,11,43,44,8,7,1,8,0,16,1,8,2,0,0,0,0,0,0,2,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
30,Veh_Amph,167,132,77,101,107,72,30,60,73,14,14,8,47,40,92,13,10,24,14,3,5,30,2,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
31,LY_Amph,162,41,9,0,20,13,57,112,100,76,24,18,54,8,1,14,13,8,7,17,10,4,10,0,0,0,0,2,5,0,0,2,0,2,0,0,1,0,5,2,2,0,1,0,0,3,0,0,2,2,0,1,0,0,0,12,8,16,0,0
32,Veh_Veh,186,124,42,66,27,114,80,12,1,45,2,10,0,14,19,20,1,0,7,0,6,1,0,0,0,0,0,6,0,0,0,0,1,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,1,0
33,LY_Amph,237,123,120,39,34,174,58,21,62,23,9,2,0,21,73,15,11,30,1,0,0,25,0,9,30,48,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,5,0,0,0,5
34,Veh_Amph,154,106,38,112,141,152,77,188,38,66,56,12,6,8,37,38,7,0,0,0,0,7,15,10,1,11,55,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,5,0,1,0,0,1,0,0,1,0,7,17,9,7,4,1
35,Veh_Veh,191,161,164,88,48,80,104,71,48,39,6,6,27,10,8,5,2,16,10,62,26,5,4,0,0,0,0,4,1,0,0,11,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,6,0
36,Veh_LY,224,85,71,43,66,49,14,20,32,97,85,71,12,22,16,10,22,25,53,7,6,0,0,0,0,2,76,57,4,1,3,2,17,70,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,86,3
