day,session,room,Subj,Feeding,Amph,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
1,1,53,49,Ad Lib,0,1785.26716,1350.302362,916.23709,1194.026894,904.449612,740.264445,174.676257,225.569611,469.933977,569.15488,1273.400513,1041.059341,1268.371001,960.320226,838.492185,735.465149,326.460349,303.988644,245.780116,382.197234,342.725473,230.607648,238.830618,206.650132,196.233705,241.854373,375.249726,342.555637,307.846905,302.820957,346.792475,240.887393,223.933229,217.664168,356.065985,272.853691
1,1,53,50,Ad Lib,0,2200.131227,1360.783435,1215.020194,1068.079735,953.394576,593.38098,1091.445248,997.757994,820.430546,694.435765,316.615894,366.08538,1403.056237,585.370496,199.647786,199.848762,205.544011,169.084879,246.533341,292.02201,278.514984,806.949779,287.917228,373.615308,429.579349,539.424279,465.666628,394.441081,206.004454,286.302392,256.913437,284.712936,462.660006,840.863295,613.20303,1067.287749
1,1,53,51,Ad Lib,1,2101.159373,1424.850402,828.172324,714.029931,200.992292,157.809371,195.067433,186.172175,656.447968,1310.128997,347.656044,236.543081,828.922667,499.770885,179.794795,159.723032,294.223196,275.974913,210.167745,245.533962,687.749653,626.710989,1081.474024,291.583846,203.914398,192.541059,401.911136,433.674919,275.611385,331.965023,300.97862,256.20134,204.522394,657.041636,681.060889,1334.648864
1,1,53,52,Ad Lib,1,1874.155382,1507.027526,943.589154,703.17427,465.76938,293.837977,238.941138,223.697299,493.417471,177.827473,680.328035,1255.376794,597.318946,1049.500784,1076.85315,1106.053412,1163.642281,1265.903625,1234.810182,1372.382869,1347.529655,1201.614771,1372.783216,1384.726957,1323.763147,1069.513848,734.352477,998.054934,971.144629,905.44405,860.054867,837.123543,499.839722,381.467119,341.872364,210.006268
1,1,53,53,Ad Lib,2.5,1817.630599,1353.716135,975.617428,885.547585,404.936465,1065.5979,512.284716,731.720137,206.567,162.876804,224.565978,462.419269,1142.971105,857.200345,1059.252643,1159.536169,1053.537593,1086.783924,1347.402735,1520.230283,1346.603447,1410.156937,1215.594964,1356.466783,1229.03011,1455.354076,1488.099585,1527.464186,1291.095643,1307.675073,1106.552142,1214.881662,770.205799,795.507226,778.360526,836.801384
1,1,53,54,Ad Lib,2.5,1129.133325,991.86524,857.937349,600.355094,321.629545,153.951609,162.484316,164.500236,143.277829,147.182518,196.612043,141.516894,982.960875,771.46912,785.122962,1122.505816,2039.091759,2543.961514,2211.640307,2464.618681,2504.611691,2706.99894,2882.154732,2855.35521,3069.799795,2890.597171,2638.489868,2535.281804,2218.469729,2424.680211,2030.14241,1441.091644,1711.215663,1459.489631,1499.182846,721.027169
1,1,53,55,Ad Lib,5,1659.062412,1234.629392,822.800303,744.570491,544.254736,594.012422,209.323319,259.944749,223.904086,238.926776,196.617305,186.531343,947.617219,912.992534,1334.061879,1716.002574,1436.702336,1298.843691,1275.565374,1263.744251,1169.633401,1063.940749,1053.863824,987.333816,985.264705,917.26869,868.165127,859.034134,946.144041,941.957342,1093.65571,1131.155212,1066.761038,1263.274657,992.25348,1013.514169
1,1,53,56,Ad Lib,5,1161.192422,1092.007508,975.671662,656.70471,546.571033,213.028078,356.481217,1103.938752,521.089772,440.933195,611.686349,185.266736,1295.255154,1388.479636,2601.899228,2243.6291,1327.062514,666.287717,535.974705,540.707851,538.079104,585.10051,633.459803,588.067644,577.640273,584.022931,724.171057,717.398662,697.744336,906.990959,1365.292678,1266.679844,1407.546352,1186.288478,1885.586536,1317.461908
1,1,53,1,Food Dep,5,1381.404604,939.860253,596.550704,317.857385,189.790059,188.515461,196.564655,1009.902254,325.845059,294.435716,363.815356,321.593612,1145.964117,1311.471384,1743.364592,2154.250355,2144.954482,2249.904984,2274.443543,2182.943328,2257.613844,2353.280825,2290.974808,2156.50228,2248.818751,2253.224834,2270.635748,2375.140561,2336.206181,2337.203931,2146.631527,2174.798417,2141.425784,2167.000628,2216.601194,2092.312017
1,1,53,2,Food Dep,5,1882.627991,1072.548143,316.808343,874.355752,277.866313,171.873488,762.192414,488.736371,1022.845364,388.808165,228.882114,446.052425,402.177682,744.118319,1476.818825,2264.724921,2539.402982,1946.860433,2018.101469,2087.861606,2061.506294,2019.925853,1892.161397,1707.35297,1696.166494,1511.17286,1528.522487,1635.297388,1649.716306,1905.783627,1763.622543,1855.363295,1937.678429,2092.658905,1867.84062,1714.752802
1,1,53,3,Food Dep,2.5,1526.773414,1062.952493,669.944053,555.77531,490.396029,514.724866,313.337986,318.432031,421.195602,1036.87798,573.037188,249.229507,1392.603523,1266.274669,1471.858895,1970.226137,2286.903702,2893.197831,3523.486058,3439.346305,3429.350771,4102.604511,4198.311314,4160.702998,4166.244946,4349.268179,3944.562798,3654.712293,3390.380358,3247.303476,3499.52593,2875.449477,2791.860124,2476.905075,1871.845314,1424.524508
1,1,53,4,Food Dep,2.5,1478.225348,1024.118795,676.1753,450.733969,946.08218,526.714376,655.632263,193.443478,470.780551,641.683289,699.756726,209.818606,568.037755,1237.330792,1226.190707,1235.719718,1554.905611,2054.152252,3154.452052,3307.390058,3937.444268,3615.976803,3971.874379,3673.844768,3576.409982,3175.189888,3417.728949,3286.255872,3472.495143,3663.082351,3631.304705,3593.464364,3318.463795,2561.887428,2554.615202,2706.982019
1,1,53,5,Food Dep,1,1484.196557,1413.345205,714.219882,565.593962,599.196551,825.916711,659.330792,375.190107,233.297249,350.154828,973.713425,575.440734,449.138542,745.966847,806.987493,1096.992129,1359.891024,1467.705402,1514.679349,1383.103482,1761.211242,1873.5307,1748.763213,1694.992942,1462.268085,1391.206277,1133.182962,1480.982759,1405.02936,1362.196867,1376.545615,1433.430727,1119.949869,1292.885419,1402.635975,991.311937
1,1,53,6,Food Dep,1,1911.099192,1413.347733,864.47163,572.044087,333.921819,266.703641,1045.443806,752.042475,229.187896,368.73129,421.741609,418.658745,421.982563,712.149649,1349.137973,1583.317548,1292.923803,1361.442146,1429.651935,1285.977865,1333.731268,1232.435591,1088.538809,1215.100848,1049.094831,1078.292295,1099.128121,1026.223448,1174.868347,973.717552,1022.437597,955.980876,973.625516,988.682207,817.039569,1366.092275
