folder,file,savename,subject,protocol,station,run,project,userID,session,timebins,timebin_start,timebin_end,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur,Click_freq,Click_dur,Noise_freq,Noise_dur,Tone_freq,Tone_dur,Siren_freq,Siren_dur,counterbalancing,sex,Left_LeverCueID,Right_LeverCueID,CS_LeftLeverName,CS_RightLeverName,TestCondition,Test,Day
Test1_Day13,CRFTest1P36,CRFTest1P36_Rat11.csv,11____,36,2,1,C,Marios,189,24,1380,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,F,Click,Noise,C++,D+,P100_HighVsLow,Test1,Day13
Test1_Day13,CRFTest1P36,CRFTest1P36_Rat11.csv,11____,36,2,1,C,Marios,189,25,1440,1500,1,0.179999999999836,0,0,0,0,0,0,1,1,0,0,0,0,0,0,C,F,Click,Noise,C++,D+,P100_HighVsLow,Test1,Day13
Test1_Day13,CRFTest1P36,CRFTest1P36_Rat11.csv,11____,36,2,1,C,Marios,189,26,1500,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,F,Click,Noise,C++,D+,P100_HighVsLow,Test1,Day13
Test1_Day13,CRFTest1P36,CRFTest1P36_Rat11.csv,11____,36,2,1,C,Marios,189,27,1560,1620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,F,Click,Noise,C++,D+,P100_HighVsLow,Test1,Day13
Test1_Day13,CRFTest1P36,CRFTest1P36_Rat11.csv,11____,36,2,1,C,Marios,189,28,1620,1680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,F,Click,Noise,C++,D+,P100_HighVsLow,Test1,Day13
Test1_Day13,CRFTest1P36,CRFTest1P36_Rat11.csv,11____,36,2,1,C,Marios,189,29,1680,1740,3,2.50000000000023,0,0,0,0,0,0,1,1,0,0,0,0,0,0,C,F,Click,Noise,C++,D+,P100_HighVsLow,Test1,Day13
Test1_Day13,CRFTest1P36,CRFTest1P36_Rat11.csv,11____,36,2,1,C,Marios,189,30,1740,1800,1,0.179999999999836,0,0,0,0,0,0,1,1,0,0,0,0,0,0,C,F,Click,Noise,C++,D+,P100_HighVsLow,Test1,Day13
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat34.csv,34____,37,5,1,C,Marios,189,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,M,Noise,Click,B+-,A++--,P50_HighVsLow,Test1,Day13
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat34.csv,34____,37,5,1,C,Marios,189,2,60,120,2,3.45999999999999,0,0,0,0,0,0,0,0,1,1,0,0,0,0,A,M,Noise,Click,B+-,A++--,P50_HighVsLow,Test1,Day13
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat34.csv,34____,37,5,1,C,Marios,189,3,120,180,1,0.039999999999992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,M,Noise,Click,B+-,A++--,P50_HighVsLow,Test1,Day13
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat34.csv,34____,37,5,1,C,Marios,189,4,180,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,M,Noise,Click,B+-,A++--,P50_HighVsLow,Test1,Day13
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat34.csv,34____,37,5,1,C,Marios,189,5,240,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,M,Noise,Click,B+-,A++--,P50_HighVsLow,Test1,Day13
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat34.csv,34____,37,5,1,C,Marios,189,6,300,360,6,2.0800000000001,0,0,0,0,0,0,0,0,2,2,0,0,0,0,A,M,Noise,Click,B+-,A++--,P50_HighVsLow,Test1,Day13
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat34.csv,34____,37,5,1,C,Marios,189,7,360,420,4,0.360000000000014,0,0,0,0,0,0,0,0,1,1,0,0,0,0,A,M,Noise,Click,B+-,A++--,P50_HighVsLow,Test1,Day13
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat34.csv,34____,37,5,1,C,Marios,189,8,420,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,M,Noise,Click,B+-,A++--,P50_HighVsLow,Test1,Day13
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat34.csv,34____,37,5,1,C,Marios,189,9,480,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,M,Noise,Click,B+-,A++--,P50_HighVsLow,Test1,Day13
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat34.csv,34____,37,5,1,C,Marios,189,10,540,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,M,Noise,Click,B+-,A++--,P50_HighVsLow,Test1,Day13
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat34.csv,34____,37,5,1,C,Marios,189,11,600,660,3,3.10000000000014,0,0,0,0,0,0,0,0,1,1,0,0,0,0,A,M,Noise,Click,B+-,A++--,P50_HighVsLow,Test1,Day13
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat34.csv,34____,37,5,1,C,Marios,189,12,660,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,M,Noise,Click,B+-,A++--,P50_HighVsLow,Test1,Day13
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat34.csv,34____,37,5,1,C,Marios,189,13,720,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,M,Noise,Click,B+-,A++--,P50_HighVsLow,Test1,Day13
