folder,file,savename,subject,protocol,station,run,project,userID,session,timebins,timebin_start,timebin_end,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur,Flash_freq,Flash_dur,Steady_freq,Steady_dur
LPL_ReAcquisitionRR2_Sated1week_Day16,LPLReAcquisitionRR2Day16A,LPLReAcquisitionRR2Day16A_Rat21.csv,21____,16,4,1,C,Marios,300,1,0,600,17,25.0999999999999,0,0,0,0,0,0,7,35,0,0
LPL_ReAcquisitionRR2_Sated1week_Day16,LPLReAcquisitionRR2Day16A,LPLReAcquisitionRR2Day16A_Rat21.csv,21____,16,4,1,C,Marios,300,2,600,1200,13,21.5800000000002,0,0,0,0,0,0,5,25,0,0
LPL_ReAcquisitionRR2_Sated1week_Day16,LPLReAcquisitionRR2Day16A,LPLReAcquisitionRR2Day16A_Rat21.csv,21____,16,4,1,C,Marios,300,3,1200,1800,5,7.22000000000003,31,9.38000000000011,0,0,0,0,3,15,9,45
