Experiment,Group,Subject,Acq_PreCS_Day1,Acq_PreCS_Day2,Acq_PreCS_Day3,Acq_PreCS_Day4,Acq_PreCS_Day5,Acq_PreCS_Day6,Acq_PreCS_Day7,Acq_PreCS_Day8,Acq_PreCS_Day9,Acq_PreCS_Day10,Acq_PreCS_Day11,Acq_PreCS_Day12,Acq_PreCS_Day13,Acq_PreCS_Day14,Acq_PreCS_Day15,Acq_PreCS_Day16,Acq_PreCS_Day17,Acq_PreCS_Day18,Acq_PreCS_Day19,Acq_PreCS_Day20,Acq_PreCS_Day21,Acq_CS_Day1,Acq_CS_Day2,Acq_CS_Day3,Acq_CS_Day4,Acq_CS_Day5,Acq_CS_Day6,Acq_CS_Day7,Acq_CS_Day8,Acq_CS_Day9,Acq_CS_Day10,Acq_CS_Day11,Acq_CS_Day12,Acq_CS_Day13,Acq_CS_Day14,Acq_CS_Day15,Acq_CS_Day16,Acq_CS_Day17,Acq_CS_Day18,Acq_CS_Day19,Acq_CS_Day20,Acq_CS_Day21
SKR073,SHAM,23,2.1875,3.0625,1.6875,2.25,1.5625,.3125,0,.75,.6875,.9375,1.375,2.125,.375,2.1875,1.6875,1.125,.9375,1.4375,1.1875,1.0625,1.125,5.4375,6.25,5.1875,5.8125,6.875,3.375,2.5625,3,4.8125,7.3125,8.625,6.4375,2.1875,3.3125,3.1875,2.3125,2.5625,2.5,1.5625,1.5625,1.8125
SKR073,SHAM,26,1.9375,1.5,1.4375,.5625,.5625,1.0625,.375,.9375,.5,.5625,.25,.75,1.25,.375,.5,.0625,1.0625,.375,.5625,.9375,2.6875,3.75,4,4.75,2,2.8125,3.6875,4.875,4.625,4.125,4.375,5.3125,6.4375,6.9375,5.5,4.9375,5.6875,6,4.875,6.9375,6.375,6.1875
SKR073,SHAM,28,3.375,3.9375,3.875,.125,1.6875,.5,.6875,.5625,1,.6875,.4375,1.25,.4375,.625,1,1.875,1.125,.75,2.375,1.5625,2.5625,4.0625,6.9375,8.1875,8.5,7.8125,6.4375,5.5,8.3125,8.0625,5.3125,3.375,2.5625,2.5,1.9375,4.9375,5.125,5.6875,5.125,8.875,6.6875,7.4375
SKR073,SHAM,30,2.625,2.25,5.0625,3.3125,2.6875,2,3.3125,2.625,1.5625,1.5625,2.0625,3.5625,3.4375,2.5,4.9375,9.25,9.5,8.375,9.6875,9.125,9,4.9375,4.5625,6.125,4,4.5625,6.5,6.75,6.375,5.8125,6.9375,7.25,8.0625,7,6.375,8.875,8.9375,9.5,9.625,10.5,9.1875,10.6875
SKR073,SHAM,32,3.5,2.25,1.375,.666666667,.375,.5,.9375,1.1875,1.25,2.1875,1.5,2.4375,.6875,1.5,1.1875,1.3125,1.375,.9375,1.875,1.75,2.1875,4.0625,5.0625,5,3.333333333,4.6875,2.6875,4.875,4.5,6.5,6.8125,7.375,6.5,7.0625,5.5,6.8125,5.6875,5.125,4.375,4,5.1875,4.375
SKR064,Sham,1,1.375,1.3125,1.5,2.75,.4375,.8125,1.1875,.5,1.125,1.875,.6875,1.875,1.0625,1.8125,3.625,1.4375,1.8125,2.0625,2.1875,.8125,.6875,1.9375,2.75,3.3125,4.9375,4.5,4.625,5.375,4.875,5.25,5.5625,6.375,7.375,6.875,7.9375,7.125,7.5,7.6875,8,7.125,4.375,6.0625
SKR064,Sham,2,1.6875,1.5625,1.5,1.8125,1.125,1.125,1,1.5,1.0625,.625,.3125,.625,.625,2.5,1.25,1.375,1.5,2.125,2.875,.875,.625,3.125,2.6875,4.625,4.5625,3.4375,4.0625,3.9375,4.0625,2.875,2.8125,2.9375,4,3.9375,4.875,4.9375,5,5.5,7.4375,6.8125,6.875,9.25
SKR064,Sham,3,.9375,1.125,2.5,2.8125,1.3125,1.75,1.875,2.875,2.0625,1.25,1.3125,1.1875,1,.6875,.8125,2.0625,2.4375,4.625,6.5625,4.625,3.375,1.5625,1.6875,4,6.25,6.375,6.375,7.4375,8.4375,7.875,7.5625,5.0625,5.5,6.75,4.75,5.5,7.75,9.125,12.4375,11.25,8.75,10.6875
SKR064,Sham,4,2.6875,2.5,1.625,1.8125,.4375,.75,.6875,.25,1.0625,1.125,.5625,.9375,.6875,1.125,1.9375,1.375,1.1875,3.625,5.375,1.6875,1.0625,2.9375,3.6875,5.125,5.9375,5.6875,6.3125,7.375,6.3125,6.0625,5.5625,5.9375,6.6875,6.0625,5.9375,6.8125,6.25,7.8125,9.9375,7.75,6.6875,10.8125
SKR064,Sham,5,1.4375,1.25,2,1.9375,1.25,1.125,2.5,1.5625,.5,1.8125,.9375,.75,1.125,.5625,.75,.5625,1.3125,2.875,2.6875,2.0625,1.6875,2.3125,2,3.8125,6,5.5,4,4.25,4,3.5625,3.75,3.75,1.875,4.5625,3.4375,5.8125,5.8125,9.25,8.125,8.0625,8.3125,6.5625
SKR064,Sham,6,1.5,2.6875,2.0625,.8125,1.4375,.625,1.125,1.0625,1.3125,1.3125,1.125,1.25,1.125,4.5625,4.8125,6.9375,4.3125,2.375,4,3.0625,5,2.125,4.75,5.6875,3.1875,3.1875,3,6.3125,8.8125,8.8125,8.75,9.375,8.3125,9.1875,8,9.1875,10.75,13.25,9.875,10.75,9.375,14.4375
SKR064,Sham,7,2.5,2.5,1.625,1.4375,2.1875,1.0625,2,1.75,.875,.875,.75,2.3125,.75,2,1.0625,2.75,4,3,1.9375,2.0625,1.25,1.625,4.75,4.8125,6.25,5.3125,7.1875,6.875,8.25,6.6875,6.0625,5.375,6.25,4.625,5.5,3.875,5.0625,17.6875,19.3125,16.5625,17.625,21.9375
SKR064,Sham,8,1.8125,2.75,2.9375,3,2.0625,2.5625,3,3.3125,3,4.625,2.8125,4.875,3,3.5,4.8125,3.6875,6.0625,9.1875,12.3125,5.5625,10,2.9375,5.125,6.25,6.6875,6.5625,6.25,8.4375,8.6875,12.5,14.8125,14.0625,14,11.875,10.3125,16.125,19.8125,18.9375,16.375,15.75,14.5,18.5625
SKR064,OFC,9,1.125,1.75,1.4375,1,.125,.75,3.5,1.3125,.5,3.625,2.5,2.3125,1.25,1.75,4.9375,3.875,4.5625,3.1875,7.0625,7.75,5.0625,3.0625,3.75,5.3125,5.6875,4.9375,4.9375,10.0625,9.0625,15.6875,16.125,12.25,11.75,9.6875,12.8125,12.375,13.3125,14.8125,14.375,15.625,10.4375,15
SKR064,OFC,10,3.625,2.75,1.1875,1.5625,1.5,2.0625,.9375,.6875,2.6875,3.4375,2.875,1.8125,1.9375,2.0625,2.875,3.8125,2.25,4.9375,4.5,4.5625,3.0625,3.9375,2.75,3.125,3.8125,4.5,6.75,3.75,7.25,7.375,6.4375,7.9375,9.0625,8.6875,8.9375,8,7,8.875,8.1875,11,9,8.75
SKR064,OFC,11,2.0625,.5625,1.875,1.625,2.375,1.125,3.3125,4.125,1.8125,.875,2.8125,3.75,4.1875,.75,6.0625,5.125,3.6875,5.125,9.4375,8.4375,9.5625,2.0625,3.1875,3.8125,2.1875,3.5625,2.5625,6.875,6.0625,3.4375,4.1875,5.875,8.6875,16.0625,13.125,14.375,21.9375,17,16.25,14.8125,14.4375,18.75
SKR064,OFC,12,2.0625,2.9375,1.375,1.0625,.75,1.375,2.1875,2.8125,2.8125,3.9375,1.4375,2.4375,3.125,2.625,1.9375,3.5,2.1875,2.3125,6.5625,1.5,2.75,2.75,3.5,3.1875,3.9375,4.25,4.6875,6.9375,8.0625,10.5625,14,13.6875,16.875,15.625,19,20.3125,13.9375,18.5625,21.625,19.0625,13.625,18.0625
SKR064,OFC,14,2.875,6.625,3.125,3.8125,2.75,4.75,8.5,7,8.5625,5.9375,7.5,6.5,5.25,7.125,5.5625,4.1875,8.3125,4.5,9.5,2.625,4.5625,4.3125,9.125,6.0625,9.125,11.5625,16.0625,19.5,17.125,19.75,19.25,19.4375,17.9375,20.5625,19.5625,18.1875,18.25,17.6875,12.6875,18.5625,15.5625,16.1875
SKR064,OFC,15,1.375,2.3125,4,3.5,2.1875,1.3125,1.9375,1.125,5.875,2.3125,2.375,9.4375,8.9375,5.875,6.625,3.25,4,4.1875,6.0625,4,6,2,3.0625,5.125,5.4375,5.0625,3.8125,4.3125,9.25,13.9375,12.75,14.5,14.5,14.625,12.625,13.125,15.875,16.5,18.875,14.6875,12.375,15.6875
SKR064,OFC,16,1.6875,2.375,2.8125,1.3125,1.3125,2.0625,1.1875,.1875,1.375,1.6875,2.0625,1.9375,.75,.625,4.625,3.5625,8,10.4375,5.125,2.5625,2.625,1.75,3.6875,6,5.9375,5.4375,5.875,5.1875,6.0625,8.5,9.9375,10.6875,10.5,10.625,8.4375,17.5,25,23.875,26,23.875,18.1875,25.25
SKR073,LESI,2,2.3125,.8125,2.625,2.9375,2.5,3.5,1.75,.5625,1,3.875,1.125,1.25,3.6875,2.375,1.5625,6.5,7,10.8125,2.625,9.625,6.8125,3.75,1.6875,4.625,5.5,4.3125,6.125,8.25,6.625,6.8125,7.1875,8.3125,6.75,9.8125,12.375,18.9375,18.75,17.875,17.9375,16.1875,18.625,19
SKR073,LESI,4,1.25,2.5,1.25,1.5,1.625,1.3125,1,1.875,1.125,2.9375,2.1875,1.875,2.375,3.25,1.375,1.6875,3.375,3.5,3.875,2.25,1.6875,2.5,3.3125,3.9375,6.1875,4.75,4,5.4375,4.875,4.0625,4.625,6.75,6.9375,5.4375,5.9375,5.1875,6.0625,7.5,9.6875,6.9375,2.875,1.25
SKR073,LESI,6,.3125,.375,.5625,1.1875,1,.75,.5625,.5,1.375,1.75,1.25,1.875,2.875,1.5,4.0625,4.9375,5.875,5.6875,4.1875,6.75,4.1875,1,.875,3.0625,2.875,4.1875,3.875,6.0625,5.6875,4.25,5.625,5.375,7.75,10.0625,14.375,16.0625,14.375,13.4375,14.8125,13.6875,14.5625,13.125
SKR073,LESI,11,1.875,1.125,2.125,.375,.9375,.5625,1.625,1.4375,1.125,1,1.125,.9375,1,1.375,.375,1.375,1,.5625,1.375,.5625,1.6875,2.125,3.6875,4.875,3,5.125,4.5,7.375,8.1875,5.25,5.875,5.875,6.9375,7.5625,7.625,7.9375,9.25,9.4375,8.4375,8.5625,7.0625,6.625
SKR073,LESI,13,1.6875,1.625,2.75,2.375,2.125,1,1.4375,.75,.5,1.25,.6875,1.25,2.5,2.3125,1.9375,4,3.875,4.75,3.3125,4.375,5.375,2,1.75,3.8125,2.5625,4.5625,3.125,4.9375,4.3125,3.75,4.625,4.3125,5.125,7.125,6,9.3125,9.75,8.5625,10.75,13.0625,13.3125,15.0625
SKR073,LESI,15,1.0625,.5,1.0625,.3125,1.3125,.6875,.8125,.9375,.625,1.3125,1,1.8125,1.3125,.625,.875,2.125,2.125,2,1.3125,1.4375,.625,1.6875,.875,3.75,1.875,3.4375,3.25,2.9375,2.3125,1.6875,2.8125,3.25,4.625,5.0625,4.625,5.0625,5.5625,4.5625,5.25,4.75,4.375,3.5625
SKR073,LESI,18,2.125,1.5,4.125,.4375,5.3125,.625,4.625,.9375,.5,3.875,2.5,.9375,3.5625,1.0625,6.625,5.1875,1,2.0625,5.75,4.5625,3.1875,3.3125,3.6875,5.1875,.8125,11.1875,3.3125,9.625,8,13.125,11.0625,10.3125,11.25,15.75,15.3125,20.25,19.75,19.8125,25.5625,25.5625,25.5,24.5625
SKR073,LESI,20,3.3125,1.1875,2.25,2.125,1.125,.625,1.3125,2.875,1.25,.6875,3.0625,3.6875,2.125,1.375,4.25,3.0625,1.0625,2.3125,2.875,5.75,2.5625,4.9375,2.875,6.125,4.5,5.625,5.9375,5.0625,5.0625,8.125,7.25,13.0625,12,10.125,9.8125,10.625,8.375,9.4375,7.25,7.75,9.4375,8.3125
SKR073,LESI,22,1.8125,2.125,1.125,.9375,2.5625,2.5,2.375,2.25,1.8125,2.125,2.375,3.5625,1.5,1.0625,.6875,1.8125,1.75,2.4375,3.5625,5.5,4.5625,2.125,3.375,3.4375,3.8125,4.875,4.5625,5.125,6,6.4375,6.3125,7.8125,5.4375,6.1875,5.4375,3.25,2.75,2,2.4375,3.25,7.8125,9.5625
SKR073,LESI,24,2.625,3.3125,2.5,.625,1.9375,1.625,1.625,1.375,1.125,1.375,3.6875,1.5625,2.6875,2.1875,3.3125,2.875,1.5625,2.75,.4375,2.25,4.5625,4.125,4.0625,4.25,3,4.75,4.375,4.625,4.3125,5.75,5.3125,5.625,5.8125,9.375,9.5625,9,11.9375,8.9375,9.5625,9.0625,8.1875,7.0625
SKR073,LESI,29,1.5625,4.9375,4.5,1.6875,.4375,1.25,3,1.25,1.125,.4375,1.5,2.5,.375,3,3.5,4.6875,1,5.0625,2.875,5.4375,2.75,2.125,5.375,5.8125,5.5,7.125,7.375,10.25,9.1875,6.75,6.1875,6.5625,7.75,7.1875,9.4375,12,13.5625,13.375,13.0625,9.9375,9.25,7.75
