Experiment,Group,Subject,Acq_PreCS_Day1,Acq_PreCS_Day2,Acq_PreCS_Day3,Acq_PreCS_Day4,Acq_PreCS_Day5,Acq_PreCS_Day6,Acq_PreCS_Day7,Acq_CS_Day1,Acq_CS_Day2,Acq_CS_Day3,Acq_CS_Day4,Acq_CS_Day5,Acq_CS_Day6,Acq_CS_Day7,Acq_CS_Pre_Day1,Acq_CS_Pre_Day2,Acq_CS_Pre_Day3,Acq_CS_Pre_Day4,Acq_CS_Pre_Day5,Acq_CS_Pre_Day6,Acq_CS_Pre_Day7
SKR064,OFC,11,1.5,1.713333333,3.083333333,2.48,3.666666667,4.65,9.146666667,3.02,2.77,5.46,6.253333333,14.52333333,18.39666667,16,1.52,1.06,2.38,3.77,10.85,13.75,6.85
SKR064,OFC,12,2.126666667,1.063333333,2.603333333,2.606666667,2.566666667,2.666666667,3.603333333,3.146666667,4.293333333,8.52,14.85666667,18.31333333,18.04333333,16.91666667,1.02,3.23,5.92,12.25,15.74,15.37,13.32
SKR064,OFC,14,4.213333333,3.77,8.02,6.646666667,5.98,5.666666667,5.563333333,6.5,12.25,18.79333333,18.87666667,19.43666667,16.21,16.77,2.29,8.48,10.77,12.23,13.46,10.54,11.21
SKR064,OFC,15,2.563333333,2.333333333,2.983333333,4.71,7.15,3.813333333,5.353333333,3.396666667,4.77,9.166666667,13.91666667,13.46333333,17.08666667,14.25333333,.84,2.44,6.19,9.21,6.31,13.28,8.9
SKR064,OFC,16,2.293333333,1.56,.92,1.896666667,2.003333333,7.333333333,3.44,3.813333333,5.753333333,6.583333333,10.37666667,12.19,24.96,22.44,1.52,4.19,5.66,8.48,10.19,17.63,19
SKR073,OFC,2,1.916666667,2.98,1.103333333,2.086666667,2.543333333,8.103333333,6.356666667,3.356666667,5.313333333,7.23,7.416666667,13.71,18.19,17.94,1.44,2.33,6.13,5.33,11.17,10.09,11.58
SKR073,OFC,4,1.666666667,1.48,1.336666667,2.336666667,2.336666667,2.856666667,2.606666667,3.25,4.98,4.793333333,6.106666667,5.523333333,7.75,3.69,1.58,3.5,3.45,3.77,3.18,4.89,1.08
SKR073,OFC,6,.416666667,.98,.813333333,1.626666667,2.813333333,5.503333333,5.043333333,1.646666667,3.65,5.333333333,6.253333333,13.5,14.21,13.79333333,1.23,2.67,4.52,4.62,10.69,8.71,8.75
SKR073,OFC,11,1.713333333,.626666667,1.4,1.023333333,.92,.98,1.21,3.566666667,4.21,6.94,6.233333333,7.71,9.043333333,7.416666667,1.86,3.58,5.54,5.21,6.79,8.06,6.21
SKR073,OFC,13,2.023333333,1.836666667,.896666667,1.063333333,2.25,4.21,4.356666667,2.52,3.416666667,4.333333333,4.69,7.48,9.686666667,13.81,.5,1.58,3.43,3.63,5.23,5.48,9.45
SKR073,OFC,15,.873333333,.77,.793333333,1.373333333,.94,2.086666667,1.126666667,2.106666667,2.856666667,2.313333333,3.563333333,4.916666667,5.123333333,4.23,1.24,2.09,1.52,2.19,3.98,3.03,3.1
SKR073,OFC,18,2.586666667,2.126666667,2.023333333,2.44,3.75,2.75,4.5,4.063333333,5.103333333,10.25333333,10.87333333,17.10333333,21.70666667,25.20666667,1.47,2.97,8.23,8.43,13.35,18.96,20.71
SKR073,OFC,20,2.25,1.296666667,1.813333333,2.48,2.586666667,2.143333333,3.73,4.65,5.356666667,6.083333333,10.77,10.19,8.356666667,8.5,2.4,4.06,4.27,8.29,7.6,6.22,4.77
SKR073,OFC,22,1.69,2,2.146666667,2.69,1.083333333,2,4.54,2.983333333,4.416666667,5.856666667,6.52,4.96,2.396666667,6.873333333,1.29,2.42,3.71,3.83,3.88,.4,2.33
SKR073,OFC,24,2.813333333,1.4,1.38,2.21,2.73,2.396666667,2.416666667,4.146666667,4.043333333,4.896666667,5.583333333,9.313333333,10.14666667,8.103333333,1.34,2.64,3.52,3.37,6.58,7.75,5.68
SKR073,OFC,29,3.666666667,1.126666667,1.793333333,1.48,2.293333333,3.583333333,3.69,4.44,6.67,8.73,6.833333333,9.543333333,13.33333333,8.98,.77,5.54,6.94,5.35,7.25,9.75,5.29
