Subject,InfusionGroup,Block5mins,Distance,na.rm,Vertical Counts
11,Muscimol,6,0,TRUE,0
11,Muscimol,7,328.31879975000004,TRUE,9.5
11,Muscimol,8,3.4195796525,TRUE,0
11,Muscimol,9,37.189231115,TRUE,1.5
11,Muscimol,10,163.532429,TRUE,4
11,Muscimol,11,0,TRUE,0
11,Muscimol,12,56.56374142,TRUE,2.5
12,Saline,1,1232.4482675499999,TRUE,34
12,Saline,2,133.236997935,TRUE,5.5
12,Saline,3,62.574257349999996,TRUE,4
12,Saline,4,6.475754782,TRUE,1
12,Saline,5,13.43373896,TRUE,1
12,Saline,6,95.5988746,TRUE,3.5
12,Saline,7,19.703409235,TRUE,0.5
12,Saline,8,0,TRUE,0
12,Saline,9,305.345137415,TRUE,12
12,Saline,10,32.927738105,TRUE,5.5
12,Saline,11,0,TRUE,0
12,Saline,12,6.940531845,TRUE,0
13,Muscimol,1,1714.6543095,TRUE,32.5
13,Muscimol,2,998.22015315,TRUE,21.5
13,Muscimol,3,747.751914,TRUE,13.5
13,Muscimol,4,548.65184345,TRUE,11.5
13,Muscimol,5,25.36937313,TRUE,4
13,Muscimol,6,306.4008129,TRUE,4.5
13,Muscimol,7,236.905538655,TRUE,4
13,Muscimol,8,14.143020587499999,TRUE,0
13,Muscimol,9,257.76293145,TRUE,5.5
13,Muscimol,10,0,TRUE,0
13,Muscimol,11,0,TRUE,0
13,Muscimol,12,0,TRUE,0
14,Saline,1,1177.0695851,TRUE,40.5
14,Saline,2,430.3254677,TRUE,28.5
14,Saline,3,87.13557606,TRUE,10.5
14,Saline,4,114.223475,TRUE,6
14,Saline,5,39.075687275,TRUE,1.5
14,Saline,6,80.23807375,TRUE,5
14,Saline,7,43.95125823,TRUE,13
14,Saline,8,9.895334435,TRUE,0
14,Saline,9,389.7255648,TRUE,10.5
14,Saline,10,21.500691605,TRUE,0.5
14,Saline,11,13.8181863,TRUE,0
14,Saline,12,136.237384803,TRUE,9.5
15,Saline,1,1138.7854705,TRUE,35
15,Saline,2,334.87628095,TRUE,5
15,Saline,3,316.6579855,TRUE,13
15,Saline,4,3.237877391,TRUE,0
15,Saline,5,105.00270251500001,TRUE,5.5
15,Saline,6,0,TRUE,0
15,Saline,7,0,TRUE,0
15,Saline,8,285.94934631499996,TRUE,3
15,Saline,9,0,TRUE,2.5
15,Saline,10,0,TRUE,0
15,Saline,11,491.81843805,TRUE,8.5
15,Saline,12,0,TRUE,0
16,Saline,1,2150.7707975,TRUE,32.5
16,Saline,2,538.7297476,TRUE,26.5
16,Saline,3,230.4791013,TRUE,5
16,Saline,4,325.5912,TRUE,6
16,Saline,5,3.702654453,TRUE,0
16,Saline,6,411.75168965299997,TRUE,14
16,Saline,7,143.07538245,TRUE,5
16,Saline,8,181.43855515,TRUE,3
16,Saline,9,0,TRUE,0
16,Saline,10,3.702654453,TRUE,0
16,Saline,11,257.16361955499997,TRUE,21
16,Saline,12,4.065983891,TRUE,0
17,Saline,1,1268.2041955,TRUE,28.5
17,Saline,2,537.74180385,TRUE,15.5
17,Saline,3,257.01911845,TRUE,8.5
17,Saline,4,6.594579655,TRUE,16.5
17,Saline,5,425.9160494,TRUE,13.5
17,Saline,6,0,TRUE,0
17,Saline,7,14.86906994,TRUE,0
17,Saline,8,0,TRUE,0
17,Saline,9,0,TRUE,0
17,Saline,10,342.25196504999997,TRUE,5.5
17,Saline,11,59.080922730000005,TRUE,5
17,Saline,12,0,TRUE,0
18,Saline,1,1079.1300700000002,TRUE,32.5
18,Saline,2,382.89292945,TRUE,16.5
18,Saline,3,163.3135808,TRUE,8
18,Saline,4,229.4163766,TRUE,4
