Day,Subject,Cue,US,CS_id,CS_name,Infusion,InfusionGroup,GroupCueID,CS,na.rm,PreCS,CS_Pre,Latency_mean,Latency_median
2,10,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,0.7222222222222222,TRUE,1,-0.2777777777777778,16.045555555555556,11.26
2,11,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,1.2222222222222223,TRUE,0.2222222222222222,1,13.516666666666667,5.69
2,12,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,0.6111111111111112,TRUE,0.1111111111111111,0.5,15.639444444444443,10.49
2,13,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,1.2777777777777777,TRUE,0.2777777777777778,1,18.322222222222223,10.41
2,14,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,0.8888888888888888,TRUE,0.3888888888888889,0.5,21.546666666666667,10.02
2,15,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,0.4444444444444444,TRUE,0.05555555555555555,0.3888888888888889,11.422777777777778,10.84
2,16,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,1.3888888888888888,TRUE,0.2222222222222222,1.1666666666666667,13.323333333333332,6.435
2,17,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,1.2222222222222223,TRUE,0.8333333333333334,0.3888888888888889,7.335,8.465
2,18,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,2.6666666666666665,TRUE,0.6666666666666666,2,5.263888888888889,3.07
2,19,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,1.5,TRUE,0.3333333333333333,1.1666666666666667,7.595,5.33
2,20,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,1.0555555555555556,TRUE,0.2777777777777778,0.7777777777777778,6.754444444444444,6.305
2,21,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,0.2777777777777778,TRUE,0.3333333333333333,-0.05555555555555555,25.035555555555558,10.635
2,22,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,1.7777777777777777,TRUE,0.5555555555555556,1.2222222222222223,5.198333333333334,3.345
2,23,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,1.8333333333333333,TRUE,0.5555555555555556,1.2777777777777777,11.849444444444444,7.385
2,24,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,1.2222222222222223,TRUE,0.3333333333333333,0.8888888888888888,12.946666666666667,8.3
3,1,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,0.6666666666666666,TRUE,0.2222222222222222,0.4444444444444444,31.34,11.27
3,2,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,0.6111111111111112,TRUE,0.2777777777777778,0.3333333333333333,19.857222222222223,10.66
3,3,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,0.5,TRUE,0.2222222222222222,0.2777777777777778,9.83222222222222,10.7
3,4,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,1.9444444444444444,TRUE,0.4444444444444444,1.5,19.784444444444443,7.42
3,5,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,1.2777777777777777,TRUE,0.4444444444444444,0.8333333333333334,7.721111111111111,9.91
3,6,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,1.1666666666666667,TRUE,0.16666666666666666,1,7.211111111111111,6.695
3,7,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,0.9444444444444444,TRUE,0.5,0.4444444444444444,7.743333333333334,8.745
3,8,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,1.1111111111111112,TRUE,0.4444444444444444,0.6666666666666666,32.37222222222222,10.25
3,9,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,0.7222222222222222,TRUE,0.3333333333333333,0.3888888888888889,13.257222222222222,10.535
3,10,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,0.7777777777777778,TRUE,0.3888888888888889,0.3888888888888889,7.948888888888889,10.145
3,11,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,1.7222222222222223,TRUE,0.3333333333333333,1.3888888888888888,6.137777777777778,5.28
3,12,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,0.6111111111111112,TRUE,0.3333333333333333,0.2777777777777778,9.971666666666666,10.545
3,13,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,1.1666666666666667,TRUE,0.3333333333333333,0.8333333333333334,18.551111111111112,10.735
3,14,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,1,TRUE,0.5,0.5,29.013888888888886,10.46
3,15,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,0.7222222222222222,TRUE,0.5555555555555556,0.16666666666666666,13.532222222222222,10.505
3,16,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,1.1111111111111112,TRUE,0.2222222222222222,0.8888888888888888,8.702777777777778,9.525
3,17,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,2.8333333333333335,TRUE,0.4444444444444444,2.388888888888889,4.3533333333333335,2.39
3,18,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,2.7777777777777777,TRUE,0.6111111111111112,2.1666666666666665,4.285,4.15
3,19,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,2.1666666666666665,TRUE,0.3333333333333333,1.8333333333333333,7.135,3.935
3,20,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,1.8333333333333333,TRUE,0.2777777777777778,1.5555555555555556,5.793333333333334,5.265
