folder,file,savename,subject,protocol,station,run,project,userID,session,timebins,timebin_start,timebin_end,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur,Click_freq,Click_dur,Noise_freq,Noise_dur,Tone_freq,Tone_dur,Siren_freq,Siren_dur
RepeatTest4_Day25,CRFRepeatTest4P70,CRFRepeatTest4P70_Rat41.csv,41____,70,13,1,C,Marios,303,1,254.32,314.32,10,8.05999999999995,0,0,0,0,0,0,0,0,0,0,3,6,0,0
RepeatTest4_Day25,CRFRepeatTest4P70,CRFRepeatTest4P70_Rat41.csv,41____,70,13,1,C,Marios,303,2,314.32,374.32,3,2.71999999999997,0,0,0,0,0,0,0,0,0,0,1,2,0,0
RepeatTest4_Day25,CRFRepeatTest4P70,CRFRepeatTest4P70_Rat41.csv,41____,70,13,1,C,Marios,303,3,374.32,434.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest4_Day25,CRFRepeatTest4P70,CRFRepeatTest4P70_Rat41.csv,41____,70,13,1,C,Marios,303,4,434.32,494.32,1,3.74000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest4_Day25,CRFRepeatTest4P70,CRFRepeatTest4P70_Rat41.csv,41____,70,13,1,C,Marios,303,5,494.32,554.32,6,6.65999999999997,2,1.10000000000002,0,0,0,0,0,0,1,2,2,4,0,0
RepeatTest4_Day25,CRFRepeatTest4P70,CRFRepeatTest4P70_Rat41.csv,41____,70,13,1,C,Marios,303,6,554.32,614.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest4_Day25,CRFRepeatTest4P70,CRFRepeatTest4P70_Rat41.csv,41____,70,13,1,C,Marios,303,7,614.32,674.32,3,6.58000000000004,0,0,0,0,0,0,0,0,0,0,1,2,0,0
RepeatTest4_Day25,CRFRepeatTest4P70,CRFRepeatTest4P70_Rat41.csv,41____,70,13,1,C,Marios,303,8,674.32,734.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest4_Day25,CRFRepeatTest4P70,CRFRepeatTest4P70_Rat41.csv,41____,70,13,1,C,Marios,303,9,734.32,794.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest4_Day25,CRFRepeatTest4P70,CRFRepeatTest4P70_Rat41.csv,41____,70,13,1,C,Marios,303,10,794.32,854.32,1,1.65999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest4_Day25,CRFRepeatTest4P70,CRFRepeatTest4P70_Rat41.csv,41____,70,13,1,C,Marios,303,11,854.32,914.32,1,1.51999999999998,3,3.03999999999996,0,0,0,0,0,0,1,2,0,0,0,0
RepeatTest4_Day25,CRFRepeatTest4P70,CRFRepeatTest4P70_Rat41.csv,41____,70,13,1,C,Marios,303,12,914.32,974.32,3,2.98000000000002,0,0,0,0,0,0,0,0,0,0,1,2,0,0
RepeatTest4_Day25,CRFRepeatTest4P70,CRFRepeatTest4P70_Rat41.csv,41____,70,13,1,C,Marios,303,13,974.32,1034.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest4_Day25,CRFRepeatTest4P70,CRFRepeatTest4P70_Rat41.csv,41____,70,13,1,C,Marios,303,14,1034.32,1094.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest4_Day25,CRFRepeatTest4P70,CRFRepeatTest4P70_Rat41.csv,41____,70,13,1,C,Marios,303,15,1094.32,1154.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest4_Day25,CRFRepeatTest4P70,CRFRepeatTest4P70_Rat41.csv,41____,70,13,1,C,Marios,303,16,1154.32,1214.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest4_Day25,CRFRepeatTest4P70,CRFRepeatTest4P70_Rat41.csv,41____,70,13,1,C,Marios,303,17,1214.32,1274.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest4_Day25,CRFRepeatTest4P70,CRFRepeatTest4P70_Rat41.csv,41____,70,13,1,C,Marios,303,18,1274.32,1334.32,3,2.5,0,0,0,0,0,0,0,0,0,0,1,2,0,0
RepeatTest4_Day25,CRFRepeatTest4P70,CRFRepeatTest4P70_Rat41.csv,41____,70,13,1,C,Marios,303,19,1334.32,1394.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest4_Day25,CRFRepeatTest4P70,CRFRepeatTest4P70_Rat41.csv,41____,70,13,1,C,Marios,303,20,1394.32,1454.32,4,4.94000000000006,0,0,0,0,0,0,0,0,0,0,2,4,0,0
RepeatTest4_Day25,CRFRepeatTest4P70,CRFRepeatTest4P70_Rat41.csv,41____,70,13,1,C,Marios,303,21,1454.32,1514.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest4_Day25,CRFRepeatTest4P70,CRFRepeatTest4P70_Rat41.csv,41____,70,13,1,C,Marios,303,22,1514.32,1574.32,2,4.03999999999996,0,0,0,0,0,0,0,0,0,0,1,2,0,0
RepeatTest4_Day25,CRFRepeatTest4P70,CRFRepeatTest4P70_Rat41.csv,41____,70,13,1,C,Marios,303,23,1574.32,1634.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest4_Day25,CRFRepeatTest4P70,CRFRepeatTest4P70_Rat41.csv,41____,70,13,1,C,Marios,303,24,1634.32,1694.32,7,17.8799999999999,0,0,0,0,0,0,0,0,0,0,3,6,0,0
RepeatTest4_Day25,CRFRepeatTest4P70,CRFRepeatTest4P70_Rat41.csv,41____,70,13,1,C,Marios,303,25,1694.32,1754.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest4_Day25,CRFRepeatTest4P70,CRFRepeatTest4P70_Rat41.csv,41____,70,13,1,C,Marios,303,26,1754.32,1814.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
