Group,Exclusion,Subj,Period,Day,MagEntries
Muscimol,1,11,Pre,Day1,1.0625
Muscimol,1,11,Pre,Day2,0.9375
Muscimol,1,11,Pre,Day3,0.125
Muscimol,1,11,Pre,Day4,0.125
Muscimol,1,11,Pre,Day5,0.1875
Muscimol,1,11,Pre,Day6,0.4375
Muscimol,1,11,Pre,Day7,0.5625
Muscimol,1,11,Pre,Day8,0.375
Muscimol,1,11,Pre,Day9,0.8125
Muscimol,1,11,Pre,Day10,1.0625
Muscimol,1,11,CS,Day1,0.9375
Muscimol,1,11,CS,Day2,1
Muscimol,1,11,CS,Day3,0.125
Muscimol,1,11,CS,Day4,0.8125
Muscimol,1,11,CS,Day5,1.6875
Muscimol,1,11,CS,Day6,0.6875
Muscimol,1,11,CS,Day7,1.625
Muscimol,1,11,CS,Day8,1.1875
Muscimol,1,11,CS,Day9,2.0625
Muscimol,1,11,CS,Day10,2.25
Muscimol,1,11,CSPre,Day1,-0.125
Muscimol,1,11,CSPre,Day2,0.0625
Muscimol,1,11,CSPre,Day3,0
Muscimol,1,11,CSPre,Day4,0.6875
Muscimol,1,11,CSPre,Day5,1.5
Muscimol,1,11,CSPre,Day6,0.25
Muscimol,1,11,CSPre,Day7,1.0625
Muscimol,1,11,CSPre,Day8,0.8125
Muscimol,1,11,CSPre,Day9,1.25
Muscimol,1,11,CSPre,Day10,1.1875
Muscimol,1,12,Pre,Day1,0.875
Muscimol,1,12,Pre,Day2,0.0625
Muscimol,1,12,Pre,Day3,0
Muscimol,1,12,Pre,Day4,0
Muscimol,1,12,Pre,Day5,0
Muscimol,1,12,Pre,Day6,0.0625
Muscimol,1,12,Pre,Day7,0.8125
Muscimol,1,12,Pre,Day8,0.375
Muscimol,1,12,Pre,Day9,0.125
Muscimol,1,12,Pre,Day10,0.3125
Muscimol,1,12,CS,Day1,0.0625
Muscimol,1,12,CS,Day2,0.125
Muscimol,1,12,CS,Day3,0.375
Muscimol,1,12,CS,Day4,0.5
Muscimol,1,12,CS,Day5,0.4375
Muscimol,1,12,CS,Day6,0.4375
Muscimol,1,12,CS,Day7,1.125
Muscimol,1,12,CS,Day8,0.9375
Muscimol,1,12,CS,Day9,0.625
Muscimol,1,12,CS,Day10,0.25
Muscimol,1,12,CSPre,Day1,-0.8125
Muscimol,1,12,CSPre,Day2,0.0625
Muscimol,1,12,CSPre,Day3,0.375
Muscimol,1,12,CSPre,Day4,0.5
Muscimol,1,12,CSPre,Day5,0.4375
Muscimol,1,12,CSPre,Day6,0.375
Muscimol,1,12,CSPre,Day7,0.3125
Muscimol,1,12,CSPre,Day8,0.5625
Muscimol,1,12,CSPre,Day9,0.5
Muscimol,1,12,CSPre,Day10,-0.0625
Muscimol,1,13,Pre,Day1,0.625
Muscimol,1,13,Pre,Day2,0.5625
Muscimol,1,13,Pre,Day3,0.5
Muscimol,1,13,Pre,Day4,1.375
Muscimol,1,13,Pre,Day5,0.8125
Muscimol,1,13,Pre,Day6,0.5625
Muscimol,1,13,Pre,Day7,0.1875
Muscimol,1,13,Pre,Day8,1.125
Muscimol,1,13,Pre,Day9,0.875
Muscimol,1,13,Pre,Day10,0.125
Muscimol,1,13,CS,Day1,0.125
Muscimol,1,13,CS,Day2,0.6875
Muscimol,1,13,CS,Day3,0.875
Muscimol,1,13,CS,Day4,1.5
Muscimol,1,13,CS,Day5,0.125
Muscimol,1,13,CS,Day6,0.5625
Muscimol,1,13,CS,Day7,0.4375
Muscimol,1,13,CS,Day8,1.625
Muscimol,1,13,CS,Day9,1.25
Muscimol,1,13,CS,Day10,0.875
Muscimol,1,13,CSPre,Day1,-0.5
Muscimol,1,13,CSPre,Day2,0.125
Muscimol,1,13,CSPre,Day3,0.375
Muscimol,1,13,CSPre,Day4,0.125
Muscimol,1,13,CSPre,Day5,-0.6875
Muscimol,1,13,CSPre,Day6,0
Muscimol,1,13,CSPre,Day7,0.25
Muscimol,1,13,CSPre,Day8,0.5
Muscimol,1,13,CSPre,Day9,0.375
Muscimol,1,13,CSPre,Day10,0.75
Muscimol,1,14,Pre,Day1,0.3125
Muscimol,1,14,Pre,Day2,0.4375
Muscimol,1,14,Pre,Day3,0.375
Muscimol,1,14,Pre,Day4,0.1875
Muscimol,1,14,Pre,Day5,0.875
Muscimol,1,14,Pre,Day6,0.625
Muscimol,1,14,Pre,Day7,1.75
Muscimol,1,14,Pre,Day8,1.5
Muscimol,1,14,Pre,Day9,2.0625
Muscimol,1,14,Pre,Day10,0.625
Muscimol,1,14,CS,Day1,0.6875
Muscimol,1,14,CS,Day2,0.5
Muscimol,1,14,CS,Day3,0.5625
Muscimol,1,14,CS,Day4,1
Muscimol,1,14,CS,Day5,1.1875
Muscimol,1,14,CS,Day6,0.8125
Muscimol,1,14,CS,Day7,1.25
Muscimol,1,14,CS,Day8,2.4375
Muscimol,1,14,CS,Day9,2.8125
Muscimol,1,14,CS,Day10,1.1875
Muscimol,1,14,CSPre,Day1,0.375
Muscimol,1,14,CSPre,Day2,0.0625
Muscimol,1,14,CSPre,Day3,0.1875
Muscimol,1,14,CSPre,Day4,0.8125
Muscimol,1,14,CSPre,Day5,0.3125
Muscimol,1,14,CSPre,Day6,0.1875
Muscimol,1,14,CSPre,Day7,-0.5
Muscimol,1,14,CSPre,Day8,0.9375
Muscimol,1,14,CSPre,Day9,0.75
Muscimol,1,14,CSPre,Day10,0.5625
Muscimol,1,16,Pre,Day1,0.8125
Muscimol,1,16,Pre,Day2,0.5
Muscimol,1,16,Pre,Day3,0.4375
Muscimol,1,16,Pre,Day4,0.9375
Muscimol,1,16,Pre,Day5,0.25
Muscimol,1,16,Pre,Day6,0.25
Muscimol,1,16,Pre,Day7,0.625
Muscimol,1,16,Pre,Day8,0.3125
Muscimol,1,16,Pre,Day9,0.375
Muscimol,1,16,Pre,Day10,0.0625
Muscimol,1,16,CS,Day1,0.25
Muscimol,1,16,CS,Day2,0.5
Muscimol,1,16,CS,Day3,0.125
Muscimol,1,16,CS,Day4,0.375
Muscimol,1,16,CS,Day5,0.9375
Muscimol,1,16,CS,Day6,1.25
Muscimol,1,16,CS,Day7,1.75
Muscimol,1,16,CS,Day8,2.1875
Muscimol,1,16,CS,Day9,1.625
Muscimol,1,16,CS,Day10,0.4375
Muscimol,1,16,CSPre,Day1,-0.5625
Muscimol,1,16,CSPre,Day2,0
Muscimol,1,16,CSPre,Day3,-0.3125
Muscimol,1,16,CSPre,Day4,-0.5625
Muscimol,1,16,CSPre,Day5,0.6875
Muscimol,1,16,CSPre,Day6,1
Muscimol,1,16,CSPre,Day7,1.125
Muscimol,1,16,CSPre,Day8,1.875
