Group,Subject,Cue,Day,TrialBlock2,Period,MagEntries
Muscimol,15,AB,12,1,PreCS,0.5
Muscimol,15,AB,12,1,CS,1
Muscimol,15,AB,12,1,CSPre,0.5
Muscimol,15,AB,12,2,PreCS,0
Muscimol,15,AB,12,2,CS,4.5
Muscimol,15,AB,12,2,CSPre,4.5
Muscimol,15,AB,12,3,PreCS,0
Muscimol,15,AB,12,3,CS,4
Muscimol,15,AB,12,3,CSPre,4
Muscimol,15,CD,12,1,PreCS,0.5
Muscimol,15,CD,12,1,CS,4.5
Muscimol,15,CD,12,1,CSPre,4
Muscimol,15,CD,12,2,PreCS,0
Muscimol,15,CD,12,2,CS,2
Muscimol,15,CD,12,2,CSPre,2
Muscimol,15,CD,12,3,PreCS,0
Muscimol,15,CD,12,3,CS,3
Muscimol,15,CD,12,3,CSPre,3
Muscimol,16,AB,12,1,PreCS,0
Muscimol,16,AB,12,1,CS,5.5
Muscimol,16,AB,12,1,CSPre,5.5
Muscimol,16,AB,12,2,PreCS,0
Muscimol,16,AB,12,2,CS,7.5
Muscimol,16,AB,12,2,CSPre,7.5
Muscimol,16,AB,12,3,PreCS,3
Muscimol,16,AB,12,3,CS,7
Muscimol,16,AB,12,3,CSPre,4
Muscimol,16,CD,12,1,PreCS,0
Muscimol,16,CD,12,1,CS,2.5
Muscimol,16,CD,12,1,CSPre,2.5
Muscimol,16,CD,12,2,PreCS,0
Muscimol,16,CD,12,2,CS,7
Muscimol,16,CD,12,2,CSPre,7
Muscimol,16,CD,12,3,PreCS,0.5
Muscimol,16,CD,12,3,CS,3
Muscimol,16,CD,12,3,CSPre,2.5
Muscimol,18,AB,12,1,PreCS,0.5
Muscimol,18,AB,12,1,CS,2
Muscimol,18,AB,12,1,CSPre,1.5
Muscimol,18,AB,12,2,PreCS,0
Muscimol,18,AB,12,2,CS,3
Muscimol,18,AB,12,2,CSPre,3
Muscimol,18,AB,12,3,PreCS,1.5
Muscimol,18,AB,12,3,CS,5.5
Muscimol,18,AB,12,3,CSPre,4
Muscimol,18,CD,12,1,PreCS,1.5
Muscimol,18,CD,12,1,CS,2
Muscimol,18,CD,12,1,CSPre,0.5
Muscimol,18,CD,12,2,PreCS,0
Muscimol,18,CD,12,2,CS,3
Muscimol,18,CD,12,2,CSPre,3
Muscimol,18,CD,12,3,PreCS,0
Muscimol,18,CD,12,3,CS,5
Muscimol,18,CD,12,3,CSPre,5
