Experiment,Group,Subject,Stage,Period,Day,MagEntries
SKR064,Sham,1,Acq,PreCS,Day 1,1.396666667
SKR064,Sham,1,Acq,PreCS,Day 2,1.333333333
SKR064,Sham,1,Acq,PreCS,Day 3,0.94
SKR064,Sham,1,Acq,PreCS,Day 4,1.483333333
SKR064,Sham,1,Acq,PreCS,Day 5,2.166666667
SKR064,Sham,1,Acq,PreCS,Day 6,1.77
SKR064,Sham,1,Acq,PreCS,Day 7,1.23
SKR064,Sham,1,Acq,CS,Day 1,2.666666667
SKR064,Sham,1,Acq,CS,Day 2,4.69
SKR064,Sham,1,Acq,CS,Day 3,5.17
SKR064,Sham,1,Acq,CS,Day 4,6.44
SKR064,Sham,1,Acq,CS,Day 5,7.316666667
SKR064,Sham,1,Acq,CS,Day 6,7.73
SKR064,Sham,1,Acq,CS,Day 7,5.856666667
SKR064,Sham,1,Acq,CSPre,Day 1,1.27
SKR064,Sham,1,Acq,CSPre,Day 2,3.36
SKR064,Sham,1,Acq,CSPre,Day 3,4.23
SKR064,Sham,1,Acq,CSPre,Day 4,4.96
SKR064,Sham,1,Acq,CSPre,Day 5,5.15
SKR064,Sham,1,Acq,CSPre,Day 6,5.96
SKR064,Sham,1,Acq,CSPre,Day 7,4.63
SKR064,Sham,2,Acq,PreCS,Day 1,1.583333333
SKR064,Sham,2,Acq,PreCS,Day 2,1.356666667
SKR064,Sham,2,Acq,PreCS,Day 3,1.186666667
SKR064,Sham,2,Acq,PreCS,Day 4,0.523333333
SKR064,Sham,2,Acq,PreCS,Day 5,1.46
SKR064,Sham,2,Acq,PreCS,Day 6,1.67
SKR064,Sham,2,Acq,PreCS,Day 7,1.463333333
SKR064,Sham,2,Acq,CS,Day 1,3.483333333
SKR064,Sham,2,Acq,CS,Day 2,4.02
SKR064,Sham,2,Acq,CS,Day 3,3.626666667
SKR064,Sham,2,Acq,CS,Day 4,3.25
SKR064,Sham,2,Acq,CS,Day 5,4.586666667
SKR064,Sham,2,Acq,CS,Day 6,5.98
SKR064,Sham,2,Acq,CS,Day 7,7.646666667
SKR064,Sham,2,Acq,CSPre,Day 1,1.9
SKR064,Sham,2,Acq,CSPre,Day 2,2.66
SKR064,Sham,2,Acq,CSPre,Day 3,2.44
SKR064,Sham,2,Acq,CSPre,Day 4,2.73
SKR064,Sham,2,Acq,CSPre,Day 5,3.13
SKR064,Sham,2,Acq,CSPre,Day 6,4.31
SKR064,Sham,2,Acq,CSPre,Day 7,6.19
SKR064,Sham,3,Acq,PreCS,Day 1,1.523333333
SKR064,Sham,3,Acq,PreCS,Day 2,1.956666667
SKR064,Sham,3,Acq,PreCS,Day 3,2.273333333
SKR064,Sham,3,Acq,PreCS,Day 4,1.25
SKR064,Sham,3,Acq,PreCS,Day 5,0.833333333
SKR064,Sham,3,Acq,PreCS,Day 6,3.043333333
SKR064,Sham,3,Acq,PreCS,Day 7,4.856666667
SKR064,Sham,3,Acq,CS,Day 1,2.416666667
SKR064,Sham,3,Acq,CS,Day 2,6.336666667
SKR064,Sham,3,Acq,CS,Day 3,7.92
SKR064,Sham,3,Acq,CS,Day 4,6.04
SKR064,Sham,3,Acq,CS,Day 5,5.666666667
SKR064,Sham,3,Acq,CS,Day 6,9.773333333
SKR064,Sham,3,Acq,CS,Day 7,10.23
SKR064,Sham,3,Acq,CSPre,Day 1,0.9
SKR064,Sham,3,Acq,CSPre,Day 2,4.38
SKR064,Sham,3,Acq,CSPre,Day 3,5.65
SKR064,Sham,3,Acq,CSPre,Day 4,4.79
SKR064,Sham,3,Acq,CSPre,Day 5,4.84
SKR064,Sham,3,Acq,CSPre,Day 6,6.73
SKR064,Sham,3,Acq,CSPre,Day 7,5.37
SKR064,Sham,4,Acq,PreCS,Day 1,2.273333333
SKR064,Sham,4,Acq,PreCS,Day 2,1
