Group,Subject,Day,Period,Trial,MagEntries
Sham,5,Day22,CS,10,11
Sham,5,Day22,CS,11,4
Sham,5,Day22,CS,12,7
Sham,5,Day22,CS,13,3
Sham,5,Day22,CS,14,9
Sham,5,Day22,CS,15,3
Sham,5,Day22,CS,16,4
Sham,6,Day22,PreCS,1,10
Sham,6,Day22,PreCS,2,0
Sham,6,Day22,PreCS,3,1
Sham,6,Day22,PreCS,4,0
Sham,6,Day22,PreCS,5,0
Sham,6,Day22,PreCS,6,0
Sham,6,Day22,PreCS,7,1
Sham,6,Day22,PreCS,8,0
Sham,6,Day22,PreCS,9,0
Sham,6,Day22,PreCS,10,0
Sham,6,Day22,PreCS,11,0
Sham,6,Day22,PreCS,12,0
Sham,6,Day22,PreCS,13,1
Sham,6,Day22,PreCS,14,6
Sham,6,Day22,PreCS,15,0
Sham,6,Day22,PreCS,16,0
Sham,6,Day22,CS,1,12
Sham,6,Day22,CS,2,17
Sham,6,Day22,CS,3,12
Sham,6,Day22,CS,4,7
Sham,6,Day22,CS,5,7
Sham,6,Day22,CS,6,7
Sham,6,Day22,CS,7,13
Sham,6,Day22,CS,8,8
Sham,6,Day22,CS,9,5
Sham,6,Day22,CS,10,6
Sham,6,Day22,CS,11,10
Sham,6,Day22,CS,12,4
Sham,6,Day22,CS,13,2
Sham,6,Day22,CS,14,13
Sham,6,Day22,CS,15,10
Sham,6,Day22,CS,16,11
Sham,7,Day22,PreCS,1,1
Sham,7,Day22,PreCS,2,1
Sham,7,Day22,PreCS,3,22
Sham,7,Day22,PreCS,4,0
Sham,7,Day22,PreCS,5,0
Sham,7,Day22,PreCS,6,3
Sham,7,Day22,PreCS,7,0
Sham,7,Day22,PreCS,8,0
Sham,7,Day22,PreCS,9,5
Sham,7,Day22,PreCS,10,3
Sham,7,Day22,PreCS,11,0
Sham,7,Day22,PreCS,12,2
Sham,7,Day22,PreCS,13,0
Sham,7,Day22,PreCS,14,0
Sham,7,Day22,PreCS,15,0
Sham,7,Day22,PreCS,16,0
Sham,7,Day22,CS,1,1
Sham,7,Day22,CS,2,32
Sham,7,Day22,CS,3,34
Sham,7,Day22,CS,4,3
Sham,7,Day22,CS,5,33
Sham,7,Day22,CS,6,16
Sham,7,Day22,CS,7,2
Sham,7,Day22,CS,8,24
Sham,7,Day22,CS,9,16
Sham,7,Day22,CS,10,4
Sham,7,Day22,CS,11,8
Sham,7,Day22,CS,12,39
Sham,7,Day22,CS,13,1
Sham,7,Day22,CS,14,15
Sham,7,Day22,CS,15,5
Sham,7,Day22,CS,16,14
Sham,8,Day22,PreCS,1,6
Sham,8,Day22,PreCS,2,1
