Subject,Drug,Period,Probability,Magazine,MagEntries
30,Musscimol,PreCS,prob8,Pellet,0.2
30,Musscimol,CS,prob2,Dipper,1.2
30,Musscimol,CS,prob2,Pellet,1.5
30,Musscimol,CS,prob8,Dipper,0.777777778
30,Musscimol,CS,prob8,Pellet,2.888888889
30,Saline,PreCS,prob2,Diff,-0.64
30,Saline,PreCS,prob8,Diff,-0.33
30,Saline,CS,prob2,Diff,1.42
30,Saline,CS,prob8,Diff,1.71
30,Musscimol,PreCS,prob2,Diff,-0.64
30,Musscimol,PreCS,prob8,Diff,-1.4
30,Musscimol,CS,prob2,Diff,0.3
30,Musscimol,CS,prob8,Diff,2.11
