Room,Run,Rat_ID,Tailmark,Earclip,Sex,Genotype,CageNum,LEVER,EDEVDAY1,EDEVDAY2,MDEVDAY1,MDEVDAY2,LDEVDAY1,LDEVDAY2,FDEVDAY1,FDEVDAY2,FFDEV1,FFDEV2
A,3,F20,3,1,F,WT,7,R,Devalued,NonDeval,NonDeval,Devalued,Devalued,NonDeval,NonDeval,Devalued,NonDeval,Devalued
A,3,M17,1,1,M,KO,10,L,Devalued,NonDeval,NonDeval,Devalued,Devalued,NonDeval,NonDeval,Devalued,NonDeval,Devalued
A,3,M18,2,3,M,KO,10,R,NonDeval,Devalued,Devalued,NonDeval,NonDeval,Devalued,Devalued,NonDeval,Devalued,NonDeval
A,3,M19,3,10,M,WT,10,L,NonDeval,Devalued,Devalued,NonDeval,NonDeval,Devalued,Devalued,NonDeval,Devalued,NonDeval
A,3,M20,1,3,M,WT,11,R,Devalued,NonDeval,NonDeval,Devalued,Devalued,NonDeval,NonDeval,Devalued,NonDeval,Devalued
B,3,F21,4,10,F,WT,7,R,Devalued,NonDeval,NonDeval,Devalued,Devalued,NonDeval,NonDeval,Devalued,NonDeval,Devalued
B,3,F22,1,11,F,WT,8,L,NonDeval,Devalued,Devalued,NonDeval,NonDeval,Devalued,Devalued,NonDeval,Devalued,NonDeval
B,3,F23,2,30,F,KO,8,R,NonDeval,Devalued,Devalued,NonDeval,NonDeval,Devalued,Devalued,NonDeval,Devalued,NonDeval
B,3,F24,3,3,F,KO,8,L,Devalued,NonDeval,NonDeval,Devalued,Devalued,NonDeval,NonDeval,Devalued,NonDeval,Devalued
B,3,M21,1,1,M,KO,12,R,NonDeval,Devalued,Devalued,NonDeval,NonDeval,Devalued,Devalued,NonDeval,Devalued,NonDeval
B,3,M22,1,10,M,KO,13,L,Devalued,NonDeval,NonDeval,Devalued,Devalued,NonDeval,NonDeval,Devalued,NonDeval,Devalued
B,3,M23,1,3,M,WT,14,R,Devalued,NonDeval,NonDeval,Devalued,Devalued,NonDeval,NonDeval,Devalued,NonDeval,Devalued
B,3,M24,1,3,M,WT,16,L,NonDeval,Devalued,Devalued,NonDeval,NonDeval,Devalued,Devalued,NonDeval,Devalued,NonDeval
