Day,counterbalancing,Pavlovian_cbx,Instrumental_cbx,timebins,subject,Stimulus,LPFreq,LPDur,Reinforcer
Day2,A,X,A,2,17____,Flash,15,6.27999999999986,5
Day2,A,X,A,2,17____,Steady,4,13.84,0
Day2,A,X,A,2,21____,Flash,0,0,0
Day2,A,X,A,2,21____,Steady,0,0,0
Day2,A,X,A,2,23____,Flash,15,6.27999999999986,3
Day2,A,X,A,2,23____,Steady,10,69.16,5
Day2,A,X,A,2,44____,Flash,3,0.539999999999964,1
Day2,A,X,A,2,44____,Steady,4,1.50000000000011,1
Day2,A,X,A,3,17____,Flash,16,9.25999999999976,6
Day2,A,X,A,3,17____,Steady,1,1.98000000000002,0
Day2,A,X,A,3,21____,Flash,0,0,0
Day2,A,X,A,3,21____,Steady,1,0.0600000000001728,1
Day2,A,X,A,3,23____,Flash,26,32.26,9
Day2,A,X,A,3,23____,Steady,10,9.32000000000016,3
Day2,A,X,A,3,44____,Flash,6,4.26000000000022,2
Day2,A,X,A,3,44____,Steady,0,0,0
Day2,A,X,A,4,17____,Flash,16,6.61999999999966,4
Day2,A,X,A,4,17____,Steady,0,0,0
Day2,A,X,A,4,21____,Flash,0,0,0
Day2,A,X,A,4,21____,Steady,0,0,0
Day2,A,X,A,4,23____,Flash,5,3.11999999999989,1
Day2,A,X,A,4,23____,Steady,12,12,3
Day2,A,X,A,4,44____,Flash,5,11.5200000000002,2
Day2,A,X,A,4,44____,Steady,2,0.0999999999999091,1
Day2,A,Y,A,1,19____,Flash,12,1.25999999999998,5
Day2,A,Y,A,1,19____,Steady,29,25.2200000000001,10
Day2,A,Y,A,1,42____,Flash,7,8.62000000000005,4
Day2,A,Y,A,1,42____,Steady,0,0,0
Day2,A,Y,A,2,19____,Flash,4,14.0599999999999,1
Day2,A,Y,A,2,19____,Steady,6,11.7800000000001,3
Day2,A,Y,A,2,42____,Flash,3,5.62000000000006,0
Day2,A,Y,A,2,42____,Steady,5,4.67999999999995,2
Day2,A,Y,A,3,19____,Flash,4,3.98000000000013,0
Day2,A,Y,A,3,19____,Steady,9,25.2799999999999,4
Day2,A,Y,A,3,42____,Flash,3,16.28,3
Day2,A,Y,A,3,42____,Steady,0,0,0
Day2,A,Y,A,4,19____,Flash,21,15.8399999999997,6
