Day,subject,Outcome,CSPair,CS_name,Period,MagEntries,MagDuration
1,1_____,O1,AB,A_O1,CS,2.166666666666667,3.4833333333333676
1,1_____,O1,AB,A_O1,Post,2.166666666666667,3.129999999999986
1,1_____,O1,AB,A_O1,Pre,2.166666666666667,1.7666666666666133
1,1_____,O1,AB,A_O1,CSPre,0,1.7166666666667543
1,1_____,O1,CD,C_O1,CS,1,2.010000000000029
1,1_____,O1,CD,C_O1,Post,2.6666666666666665,5.12999999999992
1,1_____,O1,CD,C_O1,Pre,1.6666666666666665,1.2799999999999891
1,1_____,O1,CD,C_O1,CSPre,-0.6666666666666665,0.73000000000004
1,1_____,O2,AB,B_O2,CS,3.1666666666666665,4.449999999999856
1,1_____,O2,AB,B_O2,Post,2.5,5.063333333333314
1,1_____,O2,AB,B_O2,Pre,1,2.603333333333353
1,1_____,O2,AB,B_O2,CSPre,2.1666666666666665,1.8466666666665033
1,1_____,O2,CD,D_O2,CS,1.3333333333333333,3.8433333333332675
1,1_____,O2,CD,D_O2,Post,3.6666666666666665,4.463333333333461
1,1_____,O2,CD,D_O2,Pre,2.833333333333333,3.20999999999997
1,1_____,O2,CD,D_O2,CSPre,-1.4999999999999998,0.6333333333332973
1,2_____,O1,AB,A_O1,CS,2,2.086666666666649
1,2_____,O1,AB,A_O1,Post,4,3.1066666666667593
1,2_____,O1,AB,A_O1,Pre,1.8333333333333333,1.6333333333333921
1,2_____,O1,AB,A_O1,CSPre,0.16666666666666674,0.453333333333257
1,2_____,O1,CD,C_O1,CS,1,1.8833333333332878
1,2_____,O1,CD,C_O1,Post,1.8333333333333333,2.5633333333333894
1,2_____,O1,CD,C_O1,Pre,0.6666666666666666,1.3366666666666638
1,2_____,O1,CD,C_O1,CSPre,0.33333333333333337,0.546666666666624
1,2_____,O2,AB,B_O2,CS,1.1666666666666667,1.343333333333381
1,2_____,O2,AB,B_O2,Post,1.6666666666666665,3.206666666666706
1,2_____,O2,AB,B_O2,Pre,0.6666666666666666,0.9200000000000729
1,2_____,O2,AB,B_O2,CSPre,0.5000000000000001,0.42333333333330814
1,2_____,O2,CD,D_O2,CS,0.5,1.4333333333333371
1,2_____,O2,CD,D_O2,Post,3.6666666666666665,4.406666666666638
1,2_____,O2,CD,D_O2,Pre,1,1.3800000000000523
1,2_____,O2,CD,D_O2,CSPre,-0.5,0.05333333333328483
1,26____,O1,AB,A_O1,CS,2.166666666666667,2.629999999999958
1,26____,O1,AB,A_O1,Post,2.3333333333333335,4.1133333333333635
1,26____,O1,AB,A_O1,Pre,1.6666666666666665,1.4433333333333753
1,26____,O1,AB,A_O1,CSPre,0.5000000000000004,1.1866666666665828
1,26____,O1,CD,C_O1,CS,1.6666666666666665,1.2766666666666802
1,26____,O1,CD,C_O1,Post,3,3.1166666666665606
1,26____,O1,CD,C_O1,Pre,0.16666666666666666,0.160000000000006
1,26____,O1,CD,C_O1,CSPre,1.4999999999999998,1.1166666666666742
1,26____,O2,AB,B_O2,CS,1.6666666666666665,1.4800000000000084
1,26____,O2,AB,B_O2,Post,2.5,2.463333333333357
1,26____,O2,AB,B_O2,Pre,0.3333333333333333,0.42333333333333667
1,26____,O2,AB,B_O2,CSPre,1.3333333333333333,1.0566666666666718
1,26____,O2,CD,D_O2,CS,1.1666666666666667,1.3600000000000514
1,26____,O2,CD,D_O2,Post,2.833333333333333,5.123333333333458
1,26____,O2,CD,D_O2,Pre,0.3333333333333333,0.3466666666666546
1,26____,O2,CD,D_O2,CSPre,0.8333333333333335,1.0133333333333967
1,27____,O1,AB,A_O1,CS,4.166666666666667,1.8666666666667497
1,27____,O1,AB,A_O1,Post,3.1666666666666665,3.2100000000000173
1,27____,O1,AB,A_O1,Pre,0.3333333333333333,0.19666666666663934
1,27____,O1,AB,A_O1,CSPre,3.8333333333333335,1.6700000000001105
1,27____,O1,CD,C_O1,CS,0.6666666666666666,0.5733333333333425
1,27____,O1,CD,C_O1,Post,3.5,2.43666666666662
1,27____,O1,CD,C_O1,Pre,0,0.1766666666666576
1,27____,O1,CD,C_O1,CSPre,0.6666666666666666,0.3966666666666849
1,27____,O2,AB,B_O2,CS,2.6666666666666665,1.8833333333333635
1,27____,O2,AB,B_O2,Post,2,3.3966666666667416
1,27____,O2,AB,B_O2,Pre,0.16666666666666666,0.07000000000002154
1,27____,O2,AB,B_O2,CSPre,2.5,1.813333333333342
1,27____,O2,CD,D_O2,CS,0,0
1,27____,O2,CD,D_O2,Post,3.6666666666666665,4.0633333333333805
1,27____,O2,CD,D_O2,Pre,0.3333333333333333,0.3500000000000605
1,27____,O2,CD,D_O2,CSPre,-0.3333333333333333,-0.3500000000000605
1,28____,O1,AB,A_O1,CS,2.3333333333333335,2.5699999999998986
1,28____,O1,AB,A_O1,Post,3.1666666666666665,6.103333333333401
1,28____,O1,AB,A_O1,Pre,1.1666666666666667,0.35666666666661234
1,28____,O1,AB,A_O1,CSPre,1.1666666666666667,2.2133333333332863
1,28____,O1,CD,C_O1,CS,2.5,3.4499999999998754
1,28____,O1,CD,C_O1,Post,2.166666666666667,5.993333333333387
1,28____,O1,CD,C_O1,Pre,2,2.7233333333333762
1,28____,O1,CD,C_O1,CSPre,0.5,0.7266666666664992
1,28____,O2,AB,B_O2,CS,2.5,4.160000000000158
1,28____,O2,AB,B_O2,Post,2.833333333333333,6.636666666666619
1,28____,O2,AB,B_O2,Pre,1.1666666666666667,2.5000000000000377
1,28____,O2,AB,B_O2,CSPre,1.3333333333333333,1.6600000000001205
1,28____,O2,CD,D_O2,CS,1.8333333333333333,2.956666666666725
1,28____,O2,CD,D_O2,Post,5.666666666666666,5.320000000000013
1,28____,O2,CD,D_O2,Pre,1.6666666666666665,3.7500000000000755
1,28____,O2,CD,D_O2,CSPre,0.16666666666666674,-0.7933333333333503
1,29____,O1,AB,A_O1,CS,0.8333333333333333,1.533333333333303
1,29____,O1,AB,A_O1,Post,3.5,6.043333333333388
1,29____,O1,AB,A_O1,Pre,0.6666666666666666,0.20333333333333783
1,29____,O1,AB,A_O1,CSPre,0.16666666666666663,1.3299999999999652
1,29____,O1,CD,C_O1,CS,2.3333333333333335,1.2133333333333192
1,29____,O1,CD,C_O1,Post,1.8333333333333333,5.066666666666809
1,29____,O1,CD,C_O1,Pre,0.3333333333333333,0.6499999999999774
1,29____,O1,CD,C_O1,CSPre,2,0.5633333333333418
1,29____,O2,AB,B_O2,CS,2.833333333333333,3.4433333333331575
1,29____,O2,AB,B_O2,Post,2.833333333333333,5.833333333333447
1,29____,O2,AB,B_O2,Pre,0.16666666666666666,0.5266666666666613
1,29____,O2,AB,B_O2,CSPre,2.6666666666666665,2.9166666666664964
1,29____,O2,CD,D_O2,CS,1,2.3233333333333044
1,29____,O2,CD,D_O2,Post,4.166666666666667,5.5266666666664435
1,29____,O2,CD,D_O2,Pre,0.6666666666666666,0.5066666666666985
1,29____,O2,CD,D_O2,CSPre,0.33333333333333337,1.816666666666606
1,3_____,O1,AB,A_O1,CS,2.6666666666666665,2.466666666666792
1,3_____,O1,AB,A_O1,Post,1.1666666666666667,4.606666666666665
1,3_____,O1,AB,A_O1,Pre,2.166666666666667,1.393333333333402
1,3_____,O1,AB,A_O1,CSPre,0.49999999999999956,1.07333333333339
1,3_____,O1,CD,C_O1,CS,1.3333333333333333,2.683333333333403
1,3_____,O1,CD,C_O1,Post,1.1666666666666667,5.389999999999996
1,3_____,O1,CD,C_O1,Pre,1.5,1.2466666666666129
1,3_____,O1,CD,C_O1,CSPre,-0.16666666666666674,1.43666666666679
1,3_____,O2,AB,B_O2,CS,3.1666666666666665,2.6600000000001014
1,3_____,O2,AB,B_O2,Post,1.8333333333333333,6.486666666666679
1,3_____,O2,AB,B_O2,Pre,0.5,1.0266666666666804
1,3_____,O2,AB,B_O2,CSPre,2.6666666666666665,1.633333333333421
