Day,subject,sex,CS_name,Period,MagEntries,MagDuration
5,3_____,F,A_O1,CSPre,1.75,1.0299999999999718
5,3_____,F,AX_,CS,0.25,0.13999999999998636
5,3_____,F,AX_,Post,1.375,1.8849999999999336
5,3_____,F,AX_,Pre,0.5,2.0999999999999943
5,3_____,F,AX_,CSPre,-0.25,-1.960000000000008
5,3_____,F,B_O2,CS,2.25,5.079999999999956
5,3_____,F,B_O2,Post,1,4.939999999999969
5,3_____,F,B_O2,Pre,1,2.5949999999999704
5,3_____,F,B_O2,CSPre,1.25,2.484999999999985
5,3_____,F,BY_,CS,2.125,2.9900000000000233
5,3_____,F,BY_,Post,2,3.1525000000000887
5,3_____,F,BY_,Pre,0.5,3.0600000000000094
5,3_____,F,BY_,CSPre,1.625,-0.06999999999998607
5,30____,M,A_O1,CS,7.25,4.039999999999907
5,30____,M,A_O1,Post,4,6.430000000000234
5,30____,M,A_O1,Pre,0.5,0.26000000000004775
5,30____,M,A_O1,CSPre,6.75,3.779999999999859
5,30____,M,AX_,CS,1.625,0.7424999999998649
5,30____,M,AX_,Post,3.375,2.540000000000035
5,30____,M,AX_,Pre,1.75,0.9675000000000296
5,30____,M,AX_,CSPre,-0.125,-0.22500000000016462
5,30____,M,B_O2,CS,6.5,4.075000000000159
5,30____,M,B_O2,Post,2.5,7.514999999999759
5,30____,M,B_O2,Pre,1.75,2.134999999999905
5,30____,M,B_O2,CSPre,4.75,1.940000000000254
5,30____,M,BY_,CS,1.5,1.1750000000000895
5,30____,M,BY_,Post,2.125,2.625
5,30____,M,BY_,Pre,3.125,2.702499999999951
5,30____,M,BY_,CSPre,-1.625,-1.5274999999998613
5,31____,M,A_O1,CS,3.75,7.339999999999932
5,31____,M,A_O1,Post,0.75,6.825000000000088
5,31____,M,A_O1,Pre,0.75,1.4849999999999715
5,31____,M,A_O1,CSPre,3,5.854999999999961
5,31____,M,AX_,CS,1.375,1.2875000000000791
5,31____,M,AX_,Post,1.125,2.014999999999965
5,31____,M,AX_,Pre,0.5,0.4825000000000443
5,31____,M,AX_,CSPre,0.875,0.8050000000000348
