TestCondition,Day,subject,ExcludeSubject,Value,Probability,measure,Freq
Low_100Vs50,Day16,36____,Exclude,Low,P100,LP,3
Low_100Vs50,Day16,36____,Exclude,Low,P50,LP,0
Low_100Vs50,Day16,36____,Exclude,Diff,Low,CS,1
Low_100Vs50,Day16,36____,Exclude,Diff,Low,LP,3
Low_100Vs50,Day16,36____,Exclude,PercDiff,Low,LP,100
Low_100Vs50,Day16,38____,Keep,Low,P100,CS,1
Low_100Vs50,Day16,38____,Keep,Low,P50,CS,8
Low_100Vs50,Day16,38____,Keep,Low,P100,LP,2
Low_100Vs50,Day16,38____,Keep,Low,P50,LP,24
Low_100Vs50,Day16,38____,Keep,Diff,Low,CS,-7
Low_100Vs50,Day16,38____,Keep,Diff,Low,LP,-22
Low_100Vs50,Day16,38____,Keep,PercDiff,Low,LP,-84.61538461538461
Low_100Vs50,Day16,40____,Keep,Low,P100,CS,3
Low_100Vs50,Day16,40____,Keep,Low,P50,CS,18
Low_100Vs50,Day16,40____,Keep,Low,P100,LP,8
Low_100Vs50,Day16,40____,Keep,Low,P50,LP,43
Low_100Vs50,Day16,40____,Keep,Diff,Low,CS,-15
Low_100Vs50,Day16,40____,Keep,Diff,Low,LP,-35
Low_100Vs50,Day16,40____,Keep,PercDiff,Low,LP,-68.62745098039215
Low_100Vs50,Day16,9_____,Exclude,Low,P100,CS,18
Low_100Vs50,Day16,9_____,Exclude,Low,P50,CS,0
Low_100Vs50,Day16,9_____,Exclude,Low,P100,LP,48
Low_100Vs50,Day16,9_____,Exclude,Low,P50,LP,2
Low_100Vs50,Day16,9_____,Exclude,Diff,Low,CS,18
Low_100Vs50,Day16,9_____,Exclude,Diff,Low,LP,46
Low_100Vs50,Day16,9_____,Exclude,PercDiff,Low,LP,92
