TestCondition,Day,subject,ExcludeSubject,Value,Probability,measure,Freq
P100_HighVsLow,Day16,37____,Exclude,Low,P100,LP,1
P100_HighVsLow,Day16,37____,Exclude,Diff,P100,CS,8
P100_HighVsLow,Day16,37____,Exclude,Diff,P100,LP,16
P100_HighVsLow,Day16,37____,Exclude,PercDiff,P100,LP,88.88888888888889
P100_HighVsLow,Day16,39____,Keep,High,P100,CS,12
P100_HighVsLow,Day16,39____,Keep,Low,P100,CS,13
P100_HighVsLow,Day16,39____,Keep,High,P100,LP,27
P100_HighVsLow,Day16,39____,Keep,Low,P100,LP,29
P100_HighVsLow,Day16,39____,Keep,Diff,P100,CS,-1
P100_HighVsLow,Day16,39____,Keep,Diff,P100,LP,-2
P100_HighVsLow,Day16,39____,Keep,PercDiff,P100,LP,-3.5714285714285716
P100_HighVsLow,Day16,41____,Keep,High,P100,CS,22
P100_HighVsLow,Day16,41____,Keep,Low,P100,CS,2
P100_HighVsLow,Day16,41____,Keep,High,P100,LP,51
P100_HighVsLow,Day16,41____,Keep,Low,P100,LP,6
P100_HighVsLow,Day16,41____,Keep,Diff,P100,CS,20
P100_HighVsLow,Day16,41____,Keep,Diff,P100,LP,45
P100_HighVsLow,Day16,41____,Keep,PercDiff,P100,LP,78.94736842105263
P50_HighVsLow,Day13,11____,Keep,High,P50,CS,1
P50_HighVsLow,Day13,11____,Keep,Low,P50,CS,9
P50_HighVsLow,Day13,11____,Keep,High,P50,LP,3
P50_HighVsLow,Day13,11____,Keep,Low,P50,LP,22
P50_HighVsLow,Day13,11____,Keep,Diff,P50,CS,-8
P50_HighVsLow,Day13,11____,Keep,Diff,P50,LP,-19
P50_HighVsLow,Day13,11____,Keep,PercDiff,P50,LP,-76
P50_HighVsLow,Day13,14____,Exclude,High,P50,CS,0
P50_HighVsLow,Day13,14____,Exclude,Low,P50,CS,0
P50_HighVsLow,Day13,14____,Exclude,High,P50,LP,1
P50_HighVsLow,Day13,14____,Exclude,Low,P50,LP,0
P50_HighVsLow,Day13,14____,Exclude,Diff,P50,CS,0
P50_HighVsLow,Day13,14____,Exclude,Diff,P50,LP,1
P50_HighVsLow,Day13,14____,Exclude,PercDiff,P50,LP,100
P50_HighVsLow,Day13,16____,Keep,High,P50,CS,3
P50_HighVsLow,Day13,16____,Keep,Low,P50,CS,8
P50_HighVsLow,Day13,16____,Keep,High,P50,LP,9
P50_HighVsLow,Day13,16____,Keep,Low,P50,LP,20
P50_HighVsLow,Day13,16____,Keep,Diff,P50,CS,-5
P50_HighVsLow,Day13,16____,Keep,Diff,P50,LP,-11
P50_HighVsLow,Day13,16____,Keep,PercDiff,P50,LP,-37.93103448275862
P50_HighVsLow,Day13,34____,Exclude,High,P50,CS,0
P50_HighVsLow,Day13,34____,Exclude,Low,P50,CS,5
P50_HighVsLow,Day13,34____,Exclude,High,P50,LP,0
P50_HighVsLow,Day13,34____,Exclude,Low,P50,LP,16
P50_HighVsLow,Day13,34____,Exclude,Diff,P50,CS,-5
P50_HighVsLow,Day13,34____,Exclude,Diff,P50,LP,-16
P50_HighVsLow,Day13,34____,Exclude,PercDiff,P50,LP,-100
P50_HighVsLow,Day13,36____,Exclude,High,P50,CS,2
P50_HighVsLow,Day13,36____,Exclude,Low,P50,CS,0
P50_HighVsLow,Day13,36____,Exclude,High,P50,LP,5
P50_HighVsLow,Day13,36____,Exclude,Low,P50,LP,0
P50_HighVsLow,Day13,36____,Exclude,Diff,P50,CS,2
P50_HighVsLow,Day13,36____,Exclude,Diff,P50,LP,5
P50_HighVsLow,Day13,36____,Exclude,PercDiff,P50,LP,100
P50_HighVsLow,Day13,38____,Keep,High,P50,CS,21
P50_HighVsLow,Day13,38____,Keep,Low,P50,CS,2
P50_HighVsLow,Day13,38____,Keep,High,P50,LP,55
P50_HighVsLow,Day13,38____,Keep,Low,P50,LP,7
P50_HighVsLow,Day13,38____,Keep,Diff,P50,CS,19
P50_HighVsLow,Day13,38____,Keep,Diff,P50,LP,48
P50_HighVsLow,Day13,38____,Keep,PercDiff,P50,LP,77.41935483870968
P50_HighVsLow,Day13,40____,Keep,High,P50,CS,14
P50_HighVsLow,Day13,40____,Keep,Low,P50,CS,3
P50_HighVsLow,Day13,40____,Keep,High,P50,LP,41
P50_HighVsLow,Day13,40____,Keep,Low,P50,LP,7
P50_HighVsLow,Day13,40____,Keep,Diff,P50,CS,11
P50_HighVsLow,Day13,40____,Keep,Diff,P50,LP,34
P50_HighVsLow,Day13,40____,Keep,PercDiff,P50,LP,70.83333333333333
P50_HighVsLow,Day13,9_____,Keep,High,P50,CS,1
P50_HighVsLow,Day13,9_____,Keep,Low,P50,CS,26
P50_HighVsLow,Day13,9_____,Keep,High,P50,LP,6
P50_HighVsLow,Day13,9_____,Keep,Low,P50,LP,83
P50_HighVsLow,Day13,9_____,Keep,Diff,P50,CS,-25
P50_HighVsLow,Day13,9_____,Keep,Diff,P50,LP,-77
P50_HighVsLow,Day13,9_____,Keep,PercDiff,P50,LP,-86.51685393258427
P50_HighVsLow,Day16,10____,Exclude,High,P50,CS,20
P50_HighVsLow,Day16,10____,Exclude,Low,P50,CS,0
P50_HighVsLow,Day16,10____,Exclude,High,P50,LP,47
P50_HighVsLow,Day16,10____,Exclude,Low,P50,LP,0
P50_HighVsLow,Day16,10____,Exclude,Diff,P50,CS,20
P50_HighVsLow,Day16,10____,Exclude,Diff,P50,LP,47
P50_HighVsLow,Day16,10____,Exclude,PercDiff,P50,LP,100
P50_HighVsLow,Day16,12____,Exclude,High,P50,CS,0
P50_HighVsLow,Day16,12____,Exclude,Low,P50,CS,0
P50_HighVsLow,Day16,12____,Exclude,High,P50,LP,0
P50_HighVsLow,Day16,12____,Exclude,Low,P50,LP,0
P50_HighVsLow,Day16,12____,Exclude,Diff,P50,CS,0
P50_HighVsLow,Day16,12____,Exclude,Diff,P50,LP,0
P50_HighVsLow,Day16,12____,Exclude,PercDiff,P50,LP,NA
P50_HighVsLow,Day16,13____,Keep,High,P50,CS,2
P50_HighVsLow,Day16,13____,Keep,Low,P50,CS,1
P50_HighVsLow,Day16,13____,Keep,High,P50,LP,4
P50_HighVsLow,Day16,13____,Keep,Low,P50,LP,3
P50_HighVsLow,Day16,13____,Keep,Diff,P50,CS,1
P50_HighVsLow,Day16,13____,Keep,Diff,P50,LP,1
P50_HighVsLow,Day16,13____,Keep,PercDiff,P50,LP,14.285714285714286
P50_HighVsLow,Day16,15____,Keep,High,P50,CS,7
P50_HighVsLow,Day16,15____,Keep,Low,P50,CS,3
P50_HighVsLow,Day16,15____,Keep,High,P50,LP,16
P50_HighVsLow,Day16,15____,Keep,Low,P50,LP,9
P50_HighVsLow,Day16,15____,Keep,Diff,P50,CS,4
P50_HighVsLow,Day16,15____,Keep,Diff,P50,LP,7
P50_HighVsLow,Day16,15____,Keep,PercDiff,P50,LP,28
P50_HighVsLow,Day16,35____,Exclude,High,P50,CS,0
P50_HighVsLow,Day16,35____,Exclude,Low,P50,CS,3
P50_HighVsLow,Day16,35____,Exclude,High,P50,LP,3
P50_HighVsLow,Day16,35____,Exclude,Low,P50,LP,9
P50_HighVsLow,Day16,35____,Exclude,Diff,P50,CS,-3
P50_HighVsLow,Day16,35____,Exclude,Diff,P50,LP,-6
P50_HighVsLow,Day16,35____,Exclude,PercDiff,P50,LP,-50
P50_HighVsLow,Day16,37____,Exclude,High,P50,CS,0
P50_HighVsLow,Day16,37____,Exclude,Low,P50,CS,0
P50_HighVsLow,Day16,37____,Exclude,High,P50,LP,0
P50_HighVsLow,Day16,37____,Exclude,Low,P50,LP,0
P50_HighVsLow,Day16,37____,Exclude,Diff,P50,CS,0
P50_HighVsLow,Day16,37____,Exclude,Diff,P50,LP,0
P50_HighVsLow,Day16,37____,Exclude,PercDiff,P50,LP,NA
P50_HighVsLow,Day16,39____,Keep,High,P50,CS,7
P50_HighVsLow,Day16,39____,Keep,Low,P50,CS,1
P50_HighVsLow,Day16,39____,Keep,High,P50,LP,14
P50_HighVsLow,Day16,39____,Keep,Low,P50,LP,4
P50_HighVsLow,Day16,39____,Keep,Diff,P50,CS,6
P50_HighVsLow,Day16,39____,Keep,Diff,P50,LP,10
P50_HighVsLow,Day16,39____,Keep,PercDiff,P50,LP,55.55555555555556
P50_HighVsLow,Day16,41____,Exclude,High,P50,CS,0
P50_HighVsLow,Day16,41____,Exclude,Low,P50,CS,23
P50_HighVsLow,Day16,41____,Exclude,High,P50,LP,4
P50_HighVsLow,Day16,41____,Exclude,Low,P50,LP,51
P50_HighVsLow,Day16,41____,Exclude,Diff,P50,CS,-23
P50_HighVsLow,Day16,41____,Exclude,Diff,P50,LP,-47
P50_HighVsLow,Day16,41____,Exclude,PercDiff,P50,LP,-85.45454545454545
High_100Vs50,Day13,10____,Exclude,High,P100,CS,3
High_100Vs50,Day13,10____,Exclude,High,P50,CS,0
High_100Vs50,Day13,10____,Exclude,High,P100,LP,7
High_100Vs50,Day13,10____,Exclude,High,P50,LP,1
High_100Vs50,Day13,10____,Exclude,Diff,High,CS,3
High_100Vs50,Day13,10____,Exclude,Diff,High,LP,6
High_100Vs50,Day13,10____,Exclude,PercDiff,High,LP,75
High_100Vs50,Day13,12____,Keep,High,P100,CS,4
High_100Vs50,Day13,12____,Keep,High,P50,CS,1
High_100Vs50,Day13,12____,Keep,High,P100,LP,9
High_100Vs50,Day13,12____,Keep,High,P50,LP,3
High_100Vs50,Day13,12____,Keep,Diff,High,CS,3
High_100Vs50,Day13,12____,Keep,Diff,High,LP,6
High_100Vs50,Day13,12____,Keep,PercDiff,High,LP,50
High_100Vs50,Day13,13____,Exclude,High,P100,CS,0
High_100Vs50,Day13,13____,Exclude,High,P50,CS,0
High_100Vs50,Day13,13____,Exclude,High,P100,LP,0
High_100Vs50,Day13,13____,Exclude,High,P50,LP,0
High_100Vs50,Day13,13____,Exclude,Diff,High,CS,0
High_100Vs50,Day13,13____,Exclude,Diff,High,LP,0
High_100Vs50,Day13,13____,Exclude,PercDiff,High,LP,NA
