Day,subject,Outcome,CSPair,CS_name,Period,MagEntries,MagDuration
13,1_____,O1,CD,C_O1,CS,5.166666666666667,3.073333333333293
13,1_____,O1,CD,C_O1,Post,1.75,2.334999999999989
13,1_____,O1,CD,C_O1,Pre,0.75,0.3466666666666926
13,1_____,O1,CD,C_O1,CSPre,4.416666666666667,2.7266666666666004
13,1_____,O2,CD,D_O2,CS,5.416666666666666,2.73333333333333
13,1_____,O2,CD,D_O2,Post,2,1.8383333333333867
13,1_____,O2,CD,D_O2,Pre,0.41666666666666663,0.7166666666666779
13,1_____,O2,CD,D_O2,CSPre,4.999999999999999,2.016666666666652
13,2_____,O1,CD,C_O1,CS,2.833333333333333,2.218333333333258
13,2_____,O1,CD,C_O1,Post,1.5833333333333333,0.9799999999999519
13,2_____,O1,CD,C_O1,Pre,0.75,1.8033333333333132
13,2_____,O1,CD,C_O1,CSPre,2.083333333333333,0.41499999999994497
13,2_____,O2,CD,D_O2,CS,2.5,2.425000000000002
13,2_____,O2,CD,D_O2,Post,1.4166666666666665,1.5700000000000311
13,2_____,O2,CD,D_O2,Pre,0.5833333333333334,1.3866666666666183
13,2_____,O2,CD,D_O2,CSPre,1.9166666666666665,1.0383333333333837
13,26____,O1,CD,C_O1,CS,1.25,1.1999999999999555
13,26____,O1,CD,C_O1,Post,1.5833333333333333,1.7033333333333096
13,26____,O1,CD,C_O1,Pre,0.08333333333333333,0.11666666666667434
13,26____,O1,CD,C_O1,CSPre,1.1666666666666667,1.0833333333332813
13,26____,O2,CD,D_O2,CS,1.8333333333333333,2.199999999999971
13,26____,O2,CD,D_O2,Post,4.416666666666666,2.7950000000000075
13,26____,O2,CD,D_O2,Pre,0,0
13,26____,O2,CD,D_O2,CSPre,1.8333333333333333,2.199999999999971
13,27____,O1,CD,C_O1,CS,0.5833333333333334,3.831666666666635
13,27____,O1,CD,C_O1,Post,0.75,0.48000000000000403
13,27____,O1,CD,C_O1,Pre,0.08333333333333333,0.10333333333335301
13,27____,O1,CD,C_O1,CSPre,0.5,3.728333333333282
13,27____,O2,CD,D_O2,CS,1.4166666666666665,3.2316666666666434
13,27____,O2,CD,D_O2,Post,1.25,1.1483333333333452
13,27____,O2,CD,D_O2,Pre,0.08333333333333333,0.08499999999999847
13,27____,O2,CD,D_O2,CSPre,1.3333333333333333,3.1466666666666447
13,28____,O1,CD,C_O1,CS,2,1.2466666666666675
13,28____,O1,CD,C_O1,Post,0.5,0.8783333333333564
13,28____,O1,CD,C_O1,Pre,0.16666666666666666,0.03166666666668286
13,28____,O1,CD,C_O1,CSPre,1.8333333333333333,1.2149999999999845
13,28____,O2,CD,D_O2,CS,1.4166666666666665,1.3033333333332777
13,28____,O2,CD,D_O2,Post,0.5,1.7483333333333122
13,28____,O2,CD,D_O2,Pre,0.5,0.5299999999999965
13,28____,O2,CD,D_O2,CSPre,0.9166666666666665,0.7733333333332812
13,29____,O1,CD,C_O1,CS,2.25,2.7449999999999313
13,29____,O1,CD,C_O1,Post,0.6666666666666666,0.7950000000000064
13,29____,O1,CD,C_O1,Pre,0.08333333333333333,0.030000000000001165
13,29____,O1,CD,C_O1,CSPre,2.1666666666666665,2.71499999999993
13,29____,O2,CD,D_O2,CS,2.3333333333333335,2.0733333333332715
13,29____,O2,CD,D_O2,Post,0.9166666666666666,1.3466666666666547
13,29____,O2,CD,D_O2,Pre,0.25,0.21500000000001293
13,29____,O2,CD,D_O2,CSPre,2.0833333333333335,1.8583333333332586
13,3_____,O1,CD,C_O1,CS,1.25,2.913333333333284
13,3_____,O1,CD,C_O1,Post,1.1666666666666667,2.660000000000025
13,3_____,O1,CD,C_O1,Pre,0.08333333333333333,0.14333333333334508
13,3_____,O1,CD,C_O1,CSPre,1.1666666666666667,2.7699999999999387
13,3_____,O2,CD,D_O2,CS,1.4166666666666665,2.5066666666666606
13,3_____,O2,CD,D_O2,Post,1.3333333333333333,2.7633333333333203
13,3_____,O2,CD,D_O2,Pre,0.8333333333333333,1.830000000000003
13,3_____,O2,CD,D_O2,CSPre,0.5833333333333333,0.6766666666666576
13,30____,O1,CD,C_O1,CS,2.75,3.5133333333333567
13,30____,O1,CD,C_O1,Post,1.8333333333333333,1.809999999999943
13,30____,O1,CD,C_O1,Pre,0.3333333333333333,0.2133333333332814
13,30____,O1,CD,C_O1,CSPre,2.4166666666666665,3.3000000000000753
13,30____,O2,CD,D_O2,CS,4.25,3.913333333333287
13,30____,O2,CD,D_O2,Post,2.25,2.6116666666666917
13,30____,O2,CD,D_O2,Pre,0.8333333333333333,0.8533333333333339
13,30____,O2,CD,D_O2,CSPre,3.416666666666667,3.059999999999953
13,31____,O1,CD,C_O1,CS,3.6666666666666665,3.388333333333321
13,31____,O1,CD,C_O1,Post,1.75,1.4316666666666578
13,31____,O1,CD,C_O1,Pre,0,0
13,31____,O1,CD,C_O1,CSPre,3.6666666666666665,3.388333333333321
13,31____,O2,CD,D_O2,CS,3.1666666666666665,3.5416666666666288
13,31____,O2,CD,D_O2,Post,1.25,3.0950000000000024
13,31____,O2,CD,D_O2,Pre,0,0.41666666666666663
13,31____,O2,CD,D_O2,CSPre,3.1666666666666665,3.1249999999999623
13,32____,O1,CD,C_O1,CS,2.3333333333333335,3.276666666666711
13,32____,O1,CD,C_O1,Post,4.166666666666667,3.4883333333333533
13,32____,O1,CD,C_O1,Pre,0.5,0.5533333333333156
13,32____,O1,CD,C_O1,CSPre,1.8333333333333335,2.7233333333333953
13,32____,O2,CD,D_O2,CS,2.833333333333333,3.2699999999999934
13,32____,O2,CD,D_O2,Post,3.8333333333333335,3.9883333333334163
13,32____,O2,CD,D_O2,Pre,0.16666666666666666,0.6583333333333505
13,32____,O2,CD,D_O2,CSPre,2.6666666666666665,2.611666666666643
13,33____,O1,CD,C_O1,CS,1.3333333333333333,2.585000000000016
13,33____,O1,CD,C_O1,Post,1.25,1.2800000000000251
13,33____,O1,CD,C_O1,Pre,0.3333333333333333,0.1883333333333327
13,33____,O1,CD,C_O1,CSPre,1,2.3966666666666834
13,33____,O2,CD,D_O2,CS,1,2.329999999999913
13,33____,O2,CD,D_O2,Post,3.8333333333333335,2.8549999999999374
13,33____,O2,CD,D_O2,Pre,0.16666666666666666,0.12333333333333482
13,33____,O2,CD,D_O2,CSPre,0.8333333333333334,2.206666666666578
13,4_____,O1,CD,C_O1,CS,1.9166666666666667,2.6999999999999744
13,4_____,O1,CD,C_O1,Post,0.5,0.5433333333333602
13,4_____,O1,CD,C_O1,Pre,0.16666666666666666,0.024999999999991508
13,4_____,O1,CD,C_O1,CSPre,1.75,2.674999999999983
13,4_____,O2,CD,D_O2,CS,1.75,2.5950000000000086
13,4_____,O2,CD,D_O2,Post,0.75,0.8500000000000134
13,4_____,O2,CD,D_O2,Pre,0.6666666666666666,0.28000000000003195
13,4_____,O2,CD,D_O2,CSPre,1.0833333333333335,2.314999999999977
13,5_____,O1,CD,C_O1,CS,1.5833333333333333,2.3049999999999975
13,5_____,O1,CD,C_O1,Post,1.6666666666666665,2.4566666666666706
13,5_____,O1,CD,C_O1,Pre,0.25,0.238333333333325
13,5_____,O1,CD,C_O1,CSPre,1.3333333333333333,2.0666666666666726
13,5_____,O2,CD,D_O2,CS,2.0833333333333335,2.324999999999948
13,5_____,O2,CD,D_O2,Post,1.6666666666666665,3.7266666666667376
13,5_____,O2,CD,D_O2,Pre,0.16666666666666666,0.6849999999999928
13,5_____,O2,CD,D_O2,CSPre,1.9166666666666667,1.6399999999999553
13,6_____,O1,CD,C_O1,CS,2.166666666666667,1.8883333333333343
13,6_____,O1,CD,C_O1,Post,1,0.7583333333333069
13,6_____,O1,CD,C_O1,Pre,0.25,0.2716666666666754
13,6_____,O1,CD,C_O1,CSPre,1.916666666666667,1.616666666666659
13,6_____,O2,CD,D_O2,CS,3.333333333333333,1.5983333333333647
13,6_____,O2,CD,D_O2,Post,0.75,0.3766666666666652
13,6_____,O2,CD,D_O2,Pre,0.25,1.075000000000017
13,6_____,O2,CD,D_O2,CSPre,3.083333333333333,0.5233333333333476
13,7_____,O1,CD,C_O1,CS,3.25,2.14666666666664
13,7_____,O1,CD,C_O1,Post,0.5833333333333334,0.2866666666667187
13,7_____,O1,CD,C_O1,Pre,0.25,0.173333333333332
13,7_____,O1,CD,C_O1,CSPre,3,1.9733333333333078
13,7_____,O2,CD,D_O2,CS,3,1.6766666666667156
13,7_____,O2,CD,D_O2,Post,1.75,1.2883333333332605
13,7_____,O2,CD,D_O2,Pre,0.16666666666666666,0.30000000000002086
13,7_____,O2,CD,D_O2,CSPre,2.8333333333333335,1.3766666666666947
