TestCondition,protocol,subject,ID_Comparison,ExcludeSubject,Value,Probability,measure,Freq
P100_HighVsLow,73,34____,Tone_Siren,Keep,Diff,P100,CS,0
P100_HighVsLow,73,34____,Tone_Siren,Keep,Diff,P100,LP,0
P100_HighVsLow,73,34____,Tone_Siren,Keep,PercDiff,P100,LP,0
P100_HighVsLow,73,9_____,Tone_Siren,Keep,High,P100,CS,4
P100_HighVsLow,73,9_____,Tone_Siren,Keep,Low,P100,CS,3
P100_HighVsLow,73,9_____,Tone_Siren,Keep,High,P100,LP,12
P100_HighVsLow,73,9_____,Tone_Siren,Keep,Low,P100,LP,6
P100_HighVsLow,73,9_____,Tone_Siren,Keep,Diff,P100,CS,1
P100_HighVsLow,73,9_____,Tone_Siren,Keep,Diff,P100,LP,6
P100_HighVsLow,73,9_____,Tone_Siren,Keep,PercDiff,P100,LP,33.333333333333336
P100_HighVsLow,74,13____,Tone_Siren,Keep,High,P100,CS,13
P100_HighVsLow,74,13____,Tone_Siren,Keep,Low,P100,CS,5
P100_HighVsLow,74,13____,Tone_Siren,Keep,High,P100,LP,27
P100_HighVsLow,74,13____,Tone_Siren,Keep,Low,P100,LP,13
P100_HighVsLow,74,13____,Tone_Siren,Keep,Diff,P100,CS,8
P100_HighVsLow,74,13____,Tone_Siren,Keep,Diff,P100,LP,14
P100_HighVsLow,74,13____,Tone_Siren,Keep,PercDiff,P100,LP,35
P50_HighVsLow,63,13____,Click_Noise,Exclude,High,P50,CS,0
P50_HighVsLow,63,13____,Click_Noise,Exclude,Low,P50,CS,2
P50_HighVsLow,63,13____,Click_Noise,Exclude,High,P50,LP,0
P50_HighVsLow,63,13____,Click_Noise,Exclude,Low,P50,LP,9
P50_HighVsLow,63,13____,Click_Noise,Exclude,Diff,P50,CS,-2
P50_HighVsLow,63,13____,Click_Noise,Exclude,Diff,P50,LP,-9
P50_HighVsLow,63,13____,Click_Noise,Exclude,PercDiff,P50,LP,-100
P50_HighVsLow,63,38____,Click_Noise,Keep,High,P50,CS,4
P50_HighVsLow,63,38____,Click_Noise,Keep,Low,P50,CS,1
P50_HighVsLow,63,38____,Click_Noise,Keep,High,P50,LP,9
P50_HighVsLow,63,38____,Click_Noise,Keep,Low,P50,LP,3
P50_HighVsLow,63,38____,Click_Noise,Keep,Diff,P50,CS,3
P50_HighVsLow,63,38____,Click_Noise,Keep,Diff,P50,LP,6
P50_HighVsLow,63,38____,Click_Noise,Keep,PercDiff,P50,LP,50
