TestCondition,protocol,subject,ID_Comparison,ExcludeSubject,Value,Probability,measure,Freq
Low_100Vs50,71,38____,Siren_Noise,Keep,Low,P50,LP,17
Low_100Vs50,71,38____,Siren_Noise,Keep,Diff,Low,CS,-3
Low_100Vs50,71,38____,Siren_Noise,Keep,Diff,Low,LP,-13
Low_100Vs50,71,38____,Siren_Noise,Keep,PercDiff,Low,LP,-61.904761904761905
Low_100Vs50,72,15____,Noise_Siren,Keep,Low,P100,CS,1
Low_100Vs50,72,15____,Noise_Siren,Keep,Low,P50,CS,7
Low_100Vs50,72,15____,Noise_Siren,Keep,Low,P100,LP,4
Low_100Vs50,72,15____,Noise_Siren,Keep,Low,P50,LP,16
Low_100Vs50,72,15____,Noise_Siren,Keep,Diff,Low,CS,-6
Low_100Vs50,72,15____,Noise_Siren,Keep,Diff,Low,LP,-12
Low_100Vs50,72,15____,Noise_Siren,Keep,PercDiff,Low,LP,-60
Low_100Vs50,72,34____,Siren_Noise,Exclude,Low,P100,CS,1
Low_100Vs50,72,34____,Siren_Noise,Exclude,Low,P50,CS,0
Low_100Vs50,72,34____,Siren_Noise,Exclude,Low,P100,LP,3
Low_100Vs50,72,34____,Siren_Noise,Exclude,Low,P50,LP,0
Low_100Vs50,72,34____,Siren_Noise,Exclude,Diff,Low,CS,1
Low_100Vs50,72,34____,Siren_Noise,Exclude,Diff,Low,LP,3
Low_100Vs50,72,34____,Siren_Noise,Exclude,PercDiff,Low,LP,100
Low_100Vs50,72,40____,Noise_Siren,Keep,Low,P100,CS,12
Low_100Vs50,72,40____,Noise_Siren,Keep,Low,P50,CS,14
Low_100Vs50,72,40____,Noise_Siren,Keep,Low,P100,LP,32
Low_100Vs50,72,40____,Noise_Siren,Keep,Low,P50,LP,51
Low_100Vs50,72,40____,Noise_Siren,Keep,Diff,Low,CS,-2
Low_100Vs50,72,40____,Noise_Siren,Keep,Diff,Low,LP,-19
Low_100Vs50,72,40____,Noise_Siren,Keep,PercDiff,Low,LP,-22.89156626506024
Low_100Vs50,72,9_____,Siren_Noise,Keep,Low,P100,CS,3
Low_100Vs50,72,9_____,Siren_Noise,Keep,Low,P50,CS,5
Low_100Vs50,72,9_____,Siren_Noise,Keep,Low,P100,LP,9
Low_100Vs50,72,9_____,Siren_Noise,Keep,Low,P50,LP,11
Low_100Vs50,72,9_____,Siren_Noise,Keep,Diff,Low,CS,-2
Low_100Vs50,72,9_____,Siren_Noise,Keep,Diff,Low,LP,-2
Low_100Vs50,72,9_____,Siren_Noise,Keep,PercDiff,Low,LP,-10
