Day,subject,outcome_ID,CS_name,Lever_name,Period,MagEntries,MagDuration
7,17____,Banana,Flash,Left,CS,0.5,0.9166666666666762
7,17____,Banana,Flash,Left,Post1,1,3.0066666666666704
7,17____,Banana,Flash,Left,Post2,0.3333333333333333,3.21333333333331
7,17____,Banana,Flash,Left,Pre1,2.166666666666667,1.3466666666667304
7,17____,Banana,Flash,Left,Pre2,0.6666666666666666,0.9599999999999891
7,17____,Banana,Flash,Left,CSPre,-0.16666666666666663,-0.04333333333331291
7,17____,Chocolate,Steady,Right,CS,0.3333333333333333,0.4700000000000083
7,17____,Chocolate,Steady,Right,Post1,0.6666666666666666,3.1333333333333444
7,17____,Chocolate,Steady,Right,Post2,1.5,3.066666666666663
7,17____,Chocolate,Steady,Right,Pre1,0.16666666666666666,0.8066666666666721
7,17____,Chocolate,Steady,Right,Pre2,0.5,1.1666666666666807
7,17____,Chocolate,Steady,Right,CSPre,-0.16666666666666669,-0.6966666666666724
7,18____,Banana,Flash,Right,CS,0.16666666666666666,0.21333333333333818
7,18____,Banana,Flash,Right,Post1,1.8333333333333333,1.7066666666666728
7,18____,Banana,Flash,Right,Post2,1.8333333333333333,2.3500000000000796
7,18____,Banana,Flash,Right,Pre1,0.16666666666666666,0.18333333333333718
7,18____,Banana,Flash,Right,Pre2,0.6666666666666666,0.4700000000000082
7,18____,Banana,Flash,Right,CSPre,-0.5,-0.25666666666667004
7,18____,Chocolate,Steady,Left,CS,0,0
7,18____,Chocolate,Steady,Left,Post1,1.6666666666666665,3.1700000000000603
7,18____,Chocolate,Steady,Left,Post2,3.1666666666666665,1.9099999999999753
7,18____,Chocolate,Steady,Left,Pre1,0.6666666666666666,1.1966666666667152
7,18____,Chocolate,Steady,Left,Pre2,0.6666666666666666,0.9433333333333564
7,18____,Chocolate,Steady,Left,CSPre,-0.6666666666666666,-0.9433333333333564
7,19____,Banana,Steady,Right,CS,0.5,0.45999999999998686
7,19____,Banana,Steady,Right,Post1,1,3.383333333333331
7,19____,Banana,Steady,Right,Post2,1.3333333333333333,2.666666666666602
7,19____,Banana,Steady,Right,Pre1,0.5,0.9200000000000159
7,19____,Banana,Steady,Right,Pre2,0.3333333333333333,2.2000000000000077
7,19____,Banana,Steady,Right,CSPre,0.16666666666666669,-1.7400000000000209
7,19____,Chocolate,Flash,Left,CS,0,0.5366666666666665
7,19____,Chocolate,Flash,Left,Post1,2,2.173333333333346
7,19____,Chocolate,Flash,Left,Post2,3.333333333333333,2.5466666666666713
7,19____,Chocolate,Flash,Left,Pre1,0.3333333333333333,0.9533333333333378
7,19____,Chocolate,Flash,Left,Pre2,0.16666666666666666,1.0799999999999983
7,19____,Chocolate,Flash,Left,CSPre,-0.16666666666666666,-0.5433333333333318
7,20____,Banana,Steady,Left,CS,0,0
7,20____,Banana,Steady,Left,Post1,1,2.793333333333294
7,20____,Banana,Steady,Left,Post2,1.1666666666666667,4.093333333333286
7,20____,Banana,Steady,Left,Pre1,1.1666666666666667,0.7166666666666212
7,20____,Banana,Steady,Left,Pre2,0,0.08333333333333333
7,20____,Banana,Steady,Left,CSPre,0,-0.08333333333333333
7,20____,Chocolate,Flash,Right,CS,0.16666666666666666,0.08666666666666367
7,20____,Chocolate,Flash,Right,Post1,1.1666666666666667,3.2066666666666563
7,20____,Chocolate,Flash,Right,Post2,0.16666666666666666,4.820000000000012
7,20____,Chocolate,Flash,Right,Pre1,0.5,1.3000000000000114
7,20____,Chocolate,Flash,Right,Pre2,0.3333333333333333,0.4200000000000064
7,20____,Chocolate,Flash,Right,CSPre,-0.16666666666666666,-0.33333333333334275
7,21____,Banana,Flash,Left,CS,1.3333333333333333,1.5599999999999927
7,21____,Banana,Flash,Left,Post1,0.3333333333333333,3.420000000000006
7,21____,Banana,Flash,Left,Post2,0.5,3.5499999999999545
7,21____,Banana,Flash,Left,Pre1,1,2.0033333333333116
7,21____,Banana,Flash,Left,Pre2,1.3333333333333333,1.1533333333333171
7,21____,Banana,Flash,Left,CSPre,0,0.4066666666666756
7,21____,Chocolate,Steady,Right,CS,0.6666666666666666,1.3033333333333605
7,21____,Chocolate,Steady,Right,Post1,0.8333333333333333,3.1933333333333493
