Stage,Day,subject,probability,magnitude,sex,CS_name,Period,MagEntries,MagDuration
1.Acquisition,1,15____,50,High,F,A++--,CSPre,-1.25,-1.66499999999985
1.Acquisition,1,15____,50,Low,F,B+-,CS,0.5,0.25
1.Acquisition,1,15____,50,Low,F,B+-,Post,1.25,2.984999999999964
1.Acquisition,1,15____,50,Low,F,B+-,Pre,0.75,0.1749999999998409
1.Acquisition,1,15____,50,Low,F,B+-,CSPre,-0.25,0.0750000000001591
1.Acquisition,1,15____,100,High,F,C++,CS,1.5,0.6200000000000616
1.Acquisition,1,15____,100,High,F,C++,Post,2.25,3.4850000000000136
1.Acquisition,1,15____,100,High,F,C++,Pre,1.25,0.5850000000002635
1.Acquisition,1,15____,100,High,F,C++,CSPre,0.25,0.03499999999979808
1.Acquisition,1,15____,100,Low,F,D+,CS,0.25,1.0249999999999773
1.Acquisition,1,15____,100,Low,F,D+,Post,0.75,1.9449999999999366
1.Acquisition,1,15____,100,Low,F,D+,Pre,1,2.2600000000001046
1.Acquisition,1,15____,100,Low,F,D+,CSPre,-0.75,-1.2350000000001273
1.Acquisition,1,16____,50,High,F,A++--,CS,0,0
1.Acquisition,1,16____,50,High,F,A++--,Post,0,0
1.Acquisition,1,16____,50,High,F,A++--,Pre,0,0
1.Acquisition,1,16____,50,High,F,A++--,CSPre,0,0
1.Acquisition,1,16____,50,Low,F,B+-,CS,0,0
1.Acquisition,1,16____,50,Low,F,B+-,Post,0,0
1.Acquisition,1,16____,50,Low,F,B+-,Pre,1,0.2600000000000053
1.Acquisition,1,16____,50,Low,F,B+-,CSPre,-1,-0.2600000000000053
1.Acquisition,1,16____,100,High,F,C++,CS,0,0
1.Acquisition,1,16____,100,High,F,C++,Post,0,0
1.Acquisition,1,16____,100,High,F,C++,Pre,1,0.09499999999991364
1.Acquisition,1,16____,100,High,F,C++,CSPre,-1,-0.09499999999991364
1.Acquisition,1,16____,100,Low,F,D+,CS,0,0
1.Acquisition,1,16____,100,Low,F,D+,Post,0,0
1.Acquisition,1,16____,100,Low,F,D+,Pre,0.25,1.3700000000000045
1.Acquisition,1,16____,100,Low,F,D+,CSPre,-0.25,-1.3700000000000045
1.Acquisition,1,34____,50,High,M,A++--,CS,1.25,2.96000000000015
1.Acquisition,1,34____,50,High,M,A++--,Post,1,6.530000000000058
1.Acquisition,1,34____,50,High,M,A++--,Pre,0.25,0.49000000000000926
1.Acquisition,1,34____,50,High,M,A++--,CSPre,1,2.470000000000141
1.Acquisition,1,34____,50,Low,M,B+-,CS,2.25,3.6650000000000773
1.Acquisition,1,34____,50,Low,M,B+-,Post,0.5,6.269999999999868
1.Acquisition,1,34____,50,Low,M,B+-,Pre,0.75,0.39499999999992497
1.Acquisition,1,34____,50,Low,M,B+-,CSPre,1.5,3.2700000000001523
1.Acquisition,1,34____,100,High,M,C++,CS,0,0
1.Acquisition,1,34____,100,High,M,C++,Post,6.25,7.420000000000044
1.Acquisition,1,34____,100,High,M,C++,Pre,0.25,2.05499999999995
1.Acquisition,1,34____,100,High,M,C++,CSPre,-0.25,-2.05499999999995
1.Acquisition,1,34____,100,Low,M,D+,CS,1.25,2.049999999999955
1.Acquisition,1,34____,100,Low,M,D+,Post,2,5.979999999999933
1.Acquisition,1,34____,100,Low,M,D+,Pre,0.75,0.5500000000000825
1.Acquisition,1,34____,100,Low,M,D+,CSPre,0.5,1.4999999999998725
1.Acquisition,1,35____,50,High,M,A++--,CS,0,0
1.Acquisition,1,35____,50,High,M,A++--,Post,0,0
1.Acquisition,1,35____,50,High,M,A++--,Pre,0.25,0.2800000000000295
1.Acquisition,1,35____,50,High,M,A++--,CSPre,-0.25,-0.2800000000000295
1.Acquisition,1,35____,50,Low,M,B+-,CS,0.25,0.04000000000007725
1.Acquisition,1,35____,50,Low,M,B+-,Post,1.25,0.6149999999998953
1.Acquisition,1,35____,50,Low,M,B+-,Pre,1.75,0.545000000000073
1.Acquisition,1,35____,50,Low,M,B+-,CSPre,-1.5,-0.5049999999999957
1.Acquisition,1,35____,100,High,M,C++,CS,0,0
1.Acquisition,1,35____,100,High,M,C++,Post,0.25,0.5149999999999864
1.Acquisition,1,35____,100,High,M,C++,Pre,0,0
1.Acquisition,1,35____,100,High,M,C++,CSPre,0,0
1.Acquisition,1,35____,100,Low,M,D+,CS,0.75,0.6550000000000012
1.Acquisition,1,35____,100,Low,M,D+,Post,1,1.800000000000068
1.Acquisition,1,35____,100,Low,M,D+,Pre,0.25,0.134999999999991
1.Acquisition,1,35____,100,Low,M,D+,CSPre,0.5,0.5200000000000102
1.Acquisition,1,36____,50,High,M,A++--,CS,0.75,1.689999999999998
1.Acquisition,1,36____,50,High,M,A++--,Post,0.25,3.465000000000032
1.Acquisition,1,36____,50,High,M,A++--,Pre,1,0.625
1.Acquisition,1,36____,50,High,M,A++--,CSPre,-0.25,1.064999999999998
1.Acquisition,1,36____,50,Low,M,B+-,CS,1.25,1.7249999999999095
1.Acquisition,1,36____,50,Low,M,B+-,Post,0.5,2.784999999999968
1.Acquisition,1,36____,50,Low,M,B+-,Pre,0,0
1.Acquisition,1,36____,50,Low,M,B+-,CSPre,1.25,1.7249999999999095
1.Acquisition,1,36____,100,High,M,C++,CS,0,0.01499999999998635
1.Acquisition,1,36____,100,High,M,C++,Post,1,3.6200000000000045
1.Acquisition,1,36____,100,High,M,C++,Pre,1.25,0.4550000000000126
1.Acquisition,1,36____,100,High,M,C++,CSPre,-1.25,-0.44000000000002626
1.Acquisition,1,36____,100,Low,M,D+,CS,0,0
1.Acquisition,1,36____,100,Low,M,D+,Post,0,0
1.Acquisition,1,36____,100,Low,M,D+,Pre,0.25,0.34500000000002723
1.Acquisition,1,36____,100,Low,M,D+,CSPre,-0.25,-0.34500000000002723
1.Acquisition,1,37____,50,High,M,A++--,CS,0.5,0.6699999999998456
1.Acquisition,1,37____,50,High,M,A++--,Post,0.5,1.6750000000000114
1.Acquisition,1,37____,50,High,M,A++--,Pre,0.25,0.05000000000001856
1.Acquisition,1,37____,50,High,M,A++--,CSPre,0.25,0.619999999999827
1.Acquisition,1,37____,50,Low,M,B+-,CS,0.5,0.9499999999999887
1.Acquisition,1,37____,50,Low,M,B+-,Post,0.5,4.154999999999973
1.Acquisition,1,37____,50,Low,M,B+-,Pre,0,0
1.Acquisition,1,37____,50,Low,M,B+-,CSPre,0.5,0.9499999999999887
1.Acquisition,1,37____,100,High,M,C++,CS,0,0
1.Acquisition,1,37____,100,High,M,C++,Post,0.75,2.4549999999999557
1.Acquisition,1,37____,100,High,M,C++,Pre,0,0
1.Acquisition,1,37____,100,High,M,C++,CSPre,0,0
1.Acquisition,1,37____,100,Low,M,D+,CS,1.5,2.4499999999999886
1.Acquisition,1,37____,100,Low,M,D+,Post,1.75,5.0750000000000455
1.Acquisition,1,37____,100,Low,M,D+,Pre,0.25,0.22999999999999
1.Acquisition,1,37____,100,Low,M,D+,CSPre,1.25,2.219999999999999
1.Acquisition,1,38____,50,High,M,A++--,CS,0.5,0.44499999999999323
1.Acquisition,1,38____,50,High,M,A++--,Post,0.75,3.5500000000000114
1.Acquisition,1,38____,50,High,M,A++--,Pre,0.75,1.439999999999998
1.Acquisition,1,38____,50,High,M,A++--,CSPre,-0.25,-0.9950000000000048
1.Acquisition,1,38____,50,Low,M,B+-,CS,1.25,0.6799999999999502
1.Acquisition,1,38____,50,Low,M,B+-,Post,2,4.400000000000091
1.Acquisition,1,38____,50,Low,M,B+-,Pre,0.25,0.30499999999995
1.Acquisition,1,38____,50,Low,M,B+-,CSPre,1,0.3750000000000002
1.Acquisition,1,38____,100,High,M,C++,CS,0.25,2.330000000000041
1.Acquisition,1,38____,100,High,M,C++,Post,2.25,4.190000000000225
1.Acquisition,1,38____,100,High,M,C++,Pre,1.5,0.4150000000000207
1.Acquisition,1,38____,100,High,M,C++,CSPre,-1.25,1.9150000000000202
1.Acquisition,1,38____,100,Low,M,D+,CS,0.75,0.49000000000006594
1.Acquisition,1,38____,100,Low,M,D+,Post,4,6.019999999999869
1.Acquisition,1,38____,100,Low,M,D+,Pre,0,2.5
1.Acquisition,1,38____,100,Low,M,D+,CSPre,0.75,-2.009999999999934
1.Acquisition,1,39____,50,High,M,A++--,CS,0.5,4.7000000000000455
1.Acquisition,1,39____,50,High,M,A++--,Post,0.5,4.829999999999984
1.Acquisition,1,39____,50,High,M,A++--,Pre,0.5,0.4849999999999
1.Acquisition,1,39____,50,High,M,A++--,CSPre,0,4.2150000000001455
1.Acquisition,1,39____,50,Low,M,B+-,CS,2.25,3.8850000000001046
1.Acquisition,1,39____,50,Low,M,B+-,Post,0.75,6.365000000000009
