Day,subject,CS_name,Period,MagEntries,MagDuration
1,1_____,A_O1,CS,0.8333333333333333,1.5333333333333976
1,1_____,A_O1,Post,0.8333333333333333,0.6533333333333456
1,1_____,A_O1,Pre,0.6666666666666666,0.6133333333333439
1,1_____,A_O1,CSPre,0.16666666666666663,0.9200000000000537
1,1_____,B_O2,CS,1.5,2.1966666666665633
1,1_____,B_O2,Post,0.6666666666666666,2.3233333333333803
1,1_____,B_O2,Pre,0.5,1.6566666666666756
1,1_____,B_O2,CSPre,1,0.5399999999998877
1,1_____,C_O1,CS,0.6666666666666666,1.5100000000000289
1,1_____,C_O1,Post,1.3333333333333333,2.6566666666666
1,1_____,C_O1,Pre,0.5,0.27666666666662576
1,1_____,C_O1,CSPre,0.16666666666666663,1.2333333333334031
1,1_____,D_O2,CS,0.5,2.1166666666666365
1,1_____,D_O2,Post,2.3333333333333335,1.8633333333334008
1,1_____,D_O2,Pre,1.8333333333333333,2.27666666666669
1,1_____,D_O2,CSPre,-1.3333333333333333,-0.16000000000005343
1,2_____,A_O1,CS,1.1666666666666667,1.2099999999999842
1,2_____,A_O1,Post,1.5,0.1733333333333413
1,2_____,A_O1,Pre,1.3333333333333333,0.9233333333333369
1,2_____,A_O1,CSPre,-0.16666666666666652,0.2866666666666473
1,2_____,B_O2,CS,0.8333333333333333,0.7766666666667181
1,2_____,B_O2,Post,0.3333333333333333,0.7299999999999991
1,2_____,B_O2,Pre,0.16666666666666666,0.44666666666669635
1,2_____,B_O2,CSPre,0.6666666666666666,0.3300000000000218
1,2_____,C_O1,CS,0.5,1.2266666666666215
1,2_____,C_O1,Post,1.3333333333333333,1.0433333333334076
1,2_____,C_O1,Pre,0.3333333333333333,0.3700000000000047
1,2_____,C_O1,CSPre,0.16666666666666669,0.8566666666666167
1,2_____,D_O2,CS,0.3333333333333333,0.26333333333330217
1,2_____,D_O2,Post,1.8333333333333333,1.9033333333333458
1,2_____,D_O2,Pre,0.5,0.21666666666669698
1,2_____,D_O2,CSPre,-0.16666666666666669,0.04666666666660518
1,26____,A_O1,CS,1,1.1499999999999015
1,26____,A_O1,Post,0.3333333333333333,1.443333333333328
1,26____,A_O1,Pre,0.8333333333333333,0.6966666666667245
1,26____,A_O1,CSPre,0.16666666666666674,0.45333333333317705
1,26____,B_O2,CS,0.16666666666666666,0.1399999999999863
1,26____,B_O2,Post,2,1.4333333333333464
1,26____,B_O2,Pre,0.16666666666666666,0.09333333333333367
1,26____,B_O2,CSPre,0,0.04666666666665263
1,26____,C_O1,CS,0.3333333333333333,0.19666666666671517
1,26____,C_O1,Post,1.3333333333333333,0.9633333333332907
1,26____,C_O1,Pre,0,0
1,26____,C_O1,CSPre,0.3333333333333333,0.19666666666671517
1,26____,D_O2,CS,0.6666666666666666,0.6499999999999773
1,26____,D_O2,Post,1.6666666666666665,1.6633333333333646
1,26____,D_O2,Pre,0,0
1,26____,D_O2,CSPre,0.6666666666666666,0.6499999999999773
1,27____,A_O1,CS,0.6666666666666666,0.7833333333333597
1,27____,A_O1,Post,0.8333333333333333,1.4766666666666501
1,27____,A_O1,Pre,0.16666666666666666,0.03666666666663333
1,27____,A_O1,CSPre,0.5,0.7466666666667264
1,27____,B_O2,CS,0.8333333333333333,0.8266666666666916
1,27____,B_O2,Post,1,1.180000000000026
1,27____,B_O2,Pre,0.16666666666666666,0.010000000000000384
1,27____,B_O2,CSPre,0.6666666666666666,0.8166666666666913
1,27____,C_O1,CS,0.6666666666666666,0.5733333333333425
1,27____,C_O1,Post,1.1666666666666667,1.0966666666666454
1,27____,C_O1,Pre,0,0
1,27____,C_O1,CSPre,0.6666666666666666,0.5733333333333425
1,27____,D_O2,CS,0,0
1,27____,D_O2,Post,1.5,1.790000000000068
1,27____,D_O2,Pre,0,0
1,27____,D_O2,CSPre,0,0
1,28____,A_O1,CS,1.3333333333333333,1.2333333333333296
1,28____,A_O1,Post,2,2.1200000000000143
1,28____,A_O1,Pre,0.8333333333333333,0.126666666666632
1,28____,A_O1,CSPre,0.5,1.1066666666666976
1,28____,B_O2,CS,1.1666666666666667,2.0766666666667106
1,28____,B_O2,Post,1.8333333333333333,2.6599999999999207
1,28____,B_O2,Pre,0.6666666666666666,1.5166666666667272
1,28____,B_O2,CSPre,0.5000000000000001,0.5599999999999834
1,28____,C_O1,CS,1,1.6199999999999384
1,28____,C_O1,Post,1.3333333333333333,1.8599999999999663
1,28____,C_O1,Pre,1,1.6300000000000334
1,28____,C_O1,CSPre,0,-0.010000000000095044
1,28____,D_O2,CS,0.8333333333333333,0.6233333333333727
1,28____,D_O2,Post,4.333333333333334,1.7066666666666679
1,28____,D_O2,Pre,0.5,2.060000000000059
1,28____,D_O2,CSPre,0.33333333333333326,-1.4366666666666865
1,29____,A_O1,CS,0.3333333333333333,0.7399999999999712
1,29____,A_O1,Post,1.8333333333333333,2.0200000000000005
1,29____,A_O1,Pre,0.3333333333333333,0.1433333333333545
1,29____,A_O1,CSPre,0,0.5966666666666167
1,29____,B_O2,CS,1,1.5399999999998502
1,29____,B_O2,Post,1.5,2.4200000000000914
1,29____,B_O2,Pre,0,0
1,29____,B_O2,CSPre,1,1.5399999999998502
1,29____,C_O1,CS,0.8333333333333333,0.49666666666666015
1,29____,C_O1,Post,0.5,1.6466666666666894
1,29____,C_O1,Pre,0.3333333333333333,0.4633333333333289
1,29____,C_O1,CSPre,0.49999999999999994,0.03333333333333127
1,29____,D_O2,CS,0.6666666666666666,1.1799999999999498
1,29____,D_O2,Post,2.6666666666666665,2.093333333333201
1,29____,D_O2,Pre,0.16666666666666666,0.09666666666665452
1,29____,D_O2,CSPre,0.5,1.0833333333332953
1,3_____,A_O1,CS,1,1.070000000000126
1,3_____,A_O1,Post,0.5,1.3733333333332967
1,3_____,A_O1,Pre,0.3333333333333333,0.2900000000000773
1,3_____,A_O1,CSPre,0.6666666666666667,0.7800000000000487
1,3_____,B_O2,CS,1.3333333333333333,1.0666666666666629
1,3_____,B_O2,Post,0.8333333333333333,2.7399999999999904
1,3_____,B_O2,Pre,0.3333333333333333,0.29666666666666214
1,3_____,B_O2,CSPre,1,0.7700000000000007
1,3_____,C_O1,CS,0.6666666666666666,0.8366666666666824
1,3_____,C_O1,Post,0.6666666666666666,1.910000000000006
1,3_____,C_O1,Pre,1.1666666666666667,0.5566666666666151
