Day,subject,sex,Outcome,CSPair,CS_name,Period,MagEntries,MagDuration
5,1_____,F,O1,AB,A_O1,CS,4.5,2.8849999999999874
5,1_____,F,O1,AB,A_O1,Post,0.75,0.7150000000000603
5,1_____,F,O1,AB,A_O1,Pre,0.5,0.3999999999999986
5,1_____,F,O1,AB,A_O1,CSPre,4,2.4849999999999888
5,1_____,F,O1,AXBY,AX_,CS,1.125,0.6274999999999837
5,1_____,F,O1,AXBY,AX_,Post,1,0.8374999999999205
5,1_____,F,O1,AXBY,AX_,Pre,0.125,0.2000000000000029
5,1_____,F,O1,AXBY,AX_,CSPre,1,0.42749999999998084
5,1_____,F,O2,AB,B_O2,CS,1.25,2.2949999999999307
5,1_____,F,O2,AB,B_O2,Post,3,1.6450000000000107
5,1_____,F,O2,AB,B_O2,Pre,0,0.27499999999997726
5,1_____,F,O2,AB,B_O2,CSPre,1.25,2.0199999999999534
5,1_____,F,O2,AXBY,BY_,CS,0.125,0.03749999999999438
5,1_____,F,O2,AXBY,BY_,Post,1,0.7950000000000018
5,1_____,F,O2,AXBY,BY_,Pre,0.375,0.1400000000000148
5,1_____,F,O2,AXBY,BY_,CSPre,-0.25,-0.10250000000002044
5,2_____,F,O1,AB,A_O1,CS,1.5,1.8149999999999977
5,2_____,F,O1,AB,A_O1,Post,1.5,0.1700000000000157
5,2_____,F,O1,AB,A_O1,Pre,0.5,0.8199999999999932
5,2_____,F,O1,AB,A_O1,CSPre,1,0.9950000000000045
5,2_____,F,O1,AXBY,AX_,CS,0.25,0.22500000000000847
5,2_____,F,O1,AXBY,AX_,Post,1,1.4099999999999822
5,2_____,F,O1,AXBY,AX_,Pre,0.125,0.30000000000001137
5,2_____,F,O1,AXBY,AX_,CSPre,0.125,-0.0750000000000029
5,2_____,F,O2,AB,B_O2,CS,1.25,2.414999999999935
5,2_____,F,O2,AB,B_O2,Post,0.5,0.2700000000000387
5,2_____,F,O2,AB,B_O2,Pre,0.75,0.5499999999999973
5,2_____,F,O2,AB,B_O2,CSPre,0.5,1.864999999999938
5,2_____,F,O2,AXBY,BY_,CS,0.25,0.3025000000000092
5,2_____,F,O2,AXBY,BY_,Post,0.5,0.5250000000000128
5,2_____,F,O2,AXBY,BY_,Pre,0.375,0.41750000000001813
5,2_____,F,O2,AXBY,BY_,CSPre,-0.125,-0.11500000000000893
5,26____,M,O1,AB,A_O1,CS,1.75,2.874999999999886
5,26____,M,O1,AB,A_O1,Post,1,0.5050000000001803
5,26____,M,O1,AB,A_O1,Pre,0.25,0.3849999999999908
5,26____,M,O1,AB,A_O1,CSPre,1.5,2.489999999999895
5,26____,M,O1,AXBY,AX_,CS,0.375,0.7524999999999977
5,26____,M,O1,AXBY,AX_,Post,1.625,2.010000000000076
5,26____,M,O1,AXBY,AX_,Pre,0.875,1.2425000000000637
5,26____,M,O1,AXBY,AX_,CSPre,-0.5,-0.49000000000006594
5,26____,M,O2,AB,B_O2,CS,1.5,3.445000000000022
5,26____,M,O2,AB,B_O2,Post,3.5,1.260000000000048
5,26____,M,O2,AB,B_O2,Pre,0.75,0.8400000000000032
5,26____,M,O2,AB,B_O2,CSPre,0.75,2.605000000000019
5,26____,M,O2,AXBY,BY_,CS,0.25,0.2450000000000045
5,26____,M,O2,AXBY,BY_,Post,0.875,0.2950000000000442
5,26____,M,O2,AXBY,BY_,Pre,0,0
5,26____,M,O2,AXBY,BY_,CSPre,0.25,0.2450000000000045
5,27____,M,O1,AB,A_O1,CS,1.25,2.9400000000000546
5,27____,M,O1,AB,A_O1,Post,0.75,1.2400000000000377
5,27____,M,O1,AB,A_O1,Pre,0,0
5,27____,M,O1,AB,A_O1,CSPre,1.25,2.9400000000000546
5,27____,M,O1,AXBY,AX_,CS,0.375,0.2674999999999841
