folder,file,savename,subject,protocol,station,run,project,userID,session,timebins,timebin_start,timebin_end,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur,Click_freq,Click_dur,Noise_freq,Noise_dur,Tone_freq,Tone_dur,Siren_freq,Siren_dur,counterbalancing,sex,Left_LeverCueID,Right_LeverCueID,CS_LeftLeverName,CS_RightLeverName,TestCondition,Test,Day,timebins_10,measure,Probability,Value,Freq
Test1_Day13,CRFTest1P38,CRFTest1P38_Rat35.csv,35____,38,13,1,C,Marios,189,11,600,660,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,Test1,Day13,2,CS,P50,Low,0
Test1_Day13,CRFTest1P38,CRFTest1P38_Rat35.csv,35____,38,13,1,C,Marios,189,12,660,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,Test1,Day13,2,LP,P100,Low,0
Test1_Day13,CRFTest1P38,CRFTest1P38_Rat35.csv,35____,38,13,1,C,Marios,189,12,660,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,Test1,Day13,2,LP,P50,Low,0
Test1_Day13,CRFTest1P38,CRFTest1P38_Rat35.csv,35____,38,13,1,C,Marios,189,12,660,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,Test1,Day13,2,CS,P100,Low,0
Test1_Day13,CRFTest1P38,CRFTest1P38_Rat35.csv,35____,38,13,1,C,Marios,189,12,660,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,Test1,Day13,2,CS,P50,Low,0
Test1_Day13,CRFTest1P38,CRFTest1P38_Rat35.csv,35____,38,13,1,C,Marios,189,13,720,780,3,0.220000000000141,0,0,0,0,0,0,1,1,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,Test1,Day13,2,LP,P100,Low,0
Test1_Day13,CRFTest1P38,CRFTest1P38_Rat35.csv,35____,38,13,1,C,Marios,189,13,720,780,3,0.220000000000141,0,0,0,0,0,0,1,1,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,Test1,Day13,2,LP,P50,Low,3
Test1_Day13,CRFTest1P38,CRFTest1P38_Rat35.csv,35____,38,13,1,C,Marios,189,13,720,780,3,0.220000000000141,0,0,0,0,0,0,1,1,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,Test1,Day13,2,CS,P100,Low,0
Test1_Day13,CRFTest1P38,CRFTest1P38_Rat35.csv,35____,38,13,1,C,Marios,189,13,720,780,3,0.220000000000141,0,0,0,0,0,0,1,1,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,Test1,Day13,2,CS,P50,Low,1
Test1_Day13,CRFTest1P38,CRFTest1P38_Rat35.csv,35____,38,13,1,C,Marios,189,14,780,840,0,0,3,3.9000000000002,0,0,0,0,0,0,0,0,1,1,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,Test1,Day13,2,LP,P100,Low,3
Test1_Day13,CRFTest1P38,CRFTest1P38_Rat35.csv,35____,38,13,1,C,Marios,189,14,780,840,0,0,3,3.9000000000002,0,0,0,0,0,0,0,0,1,1,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,Test1,Day13,2,LP,P50,Low,0
