Day,subject,sex,CS_name,Period,MagEntries,MagDuration
1,10____,F,A-,CS,0.16666666666666666,0.07333333333334249
1,10____,F,A-,Post,2.3333333333333335,1.2499999999999907
1,10____,F,A-,Pre,0.6666666666666666,0.30333333333326584
1,10____,F,A-,CSPre,-0.5,-0.22999999999992335
1,10____,F,A+,CS,0.5,0.21000000000003632
1,10____,F,A+,Post,2.3333333333333335,4.270000000000087
1,10____,F,A+,Pre,1.1666666666666667,1.3866666666666372
1,10____,F,A+,CSPre,-0.6666666666666667,-1.1766666666666008
1,10____,F,B-,CS,0.6666666666666666,0.15333333333331722
1,10____,F,B-,Post,0.8333333333333333,0.31666666666664406
1,10____,F,B-,Pre,0.8333333333333333,1.4633333333333671
1,10____,F,B-,CSPre,-0.16666666666666663,-1.3100000000000498
1,10____,F,B+,CS,1,0.559999999999936
1,10____,F,B+,Post,3.333333333333333,5.780000000000134
1,10____,F,B+,Pre,0.6666666666666666,1.6933333333332783
1,10____,F,B+,CSPre,0.33333333333333337,-1.1333333333333422
1,11____,F,A-,CS,0.8333333333333333,0.7000000000000645
1,11____,F,A-,Post,1.1666666666666667,1.2033333333334135
1,11____,F,A-,Pre,0.6666666666666666,0.5200000000000388
1,11____,F,A-,CSPre,0.16666666666666663,0.1800000000000257
1,11____,F,A+,CS,0.3333333333333333,0.5033333333333302
1,11____,F,A+,Post,1.3333333333333333,7.936666666666743
1,11____,F,A+,Pre,1.8333333333333333,3.4000000000000155
1,11____,F,A+,CSPre,-1.5,-2.896666666666685
1,11____,F,B-,CS,1,1.2299999999998477
1,11____,F,B-,Post,1.6666666666666665,1.979999999999914
1,11____,F,B-,Pre,1.6666666666666665,3.690000000000055
1,11____,F,B-,CSPre,-0.6666666666666665,-2.4600000000002074
1,11____,F,B+,CS,0.8333333333333333,0.9000000000000532
1,11____,F,B+,Post,1,8.090000000000012
1,11____,F,B+,Pre,0.5,3.466666666666716
1,11____,F,B+,CSPre,0.33333333333333326,-2.566666666666663
1,12____,F,A-,CS,0,0.05000000000003033
1,12____,F,A-,Post,2.3333333333333335,1.8599999999999377
1,12____,F,A-,Pre,1.3333333333333333,0.9066666666666428
1,12____,F,A-,CSPre,-1.3333333333333333,-0.8566666666666124
1,12____,F,A+,CS,0.3333333333333333,0.3266666666667107
1,12____,F,A+,Post,2.6666666666666665,4.386666666666637
1,12____,F,A+,Pre,0.8333333333333333,1.4000000000000437
1,12____,F,A+,CSPre,-0.49999999999999994,-1.073333333333333
1,12____,F,B-,CS,0,0.14333333333334516
1,12____,F,B-,Post,2.833333333333333,3.39333333333326
1,12____,F,B-,Pre,1,1.8233333333333994
1,12____,F,B-,CSPre,-1,-1.6800000000000543
1,12____,F,B+,CS,0,0.21333333333340465
1,12____,F,B+,Post,2,2.966666666666792
1,12____,F,B+,Pre,1.1666666666666667,2.4599999999999915
1,12____,F,B+,CSPre,-1.1666666666666667,-2.246666666666587
1,13____,F,A-,CS,0.8333333333333333,0.5566666666666151
1,13____,F,A-,Post,3,2.1833333333333185
1,13____,F,A-,Pre,1.5,0.46333333333338567
1,13____,F,A-,CSPre,-0.6666666666666667,0.09333333333322946
1,13____,F,A+,CS,1.1666666666666667,0.8300000000000596
1,13____,F,A+,Post,1.3333333333333333,7.27666666666668
1,13____,F,A+,Pre,1.8333333333333333,0.9100000000001006
1,13____,F,A+,CSPre,-0.6666666666666665,-0.08000000000004104
1,13____,F,B-,CS,1,1.0833333333333524
1,13____,F,B-,Post,1.5,1.8999999999999393
1,13____,F,B-,Pre,1.1666666666666667,0.5600000000000398
1,13____,F,B-,CSPre,-0.16666666666666674,0.5233333333333126
1,13____,F,B+,CS,0.6666666666666666,0.38333333333332603
1,13____,F,B+,Post,1.1666666666666667,5.47666666666665
1,13____,F,B+,Pre,1.1666666666666667,1.400000000000015
1,13____,F,B+,CSPre,-0.5000000000000001,-1.016666666666689
1,14____,F,A-,CS,0,0.06333333333335149
1,14____,F,A-,Post,2,1.7799999999999634
1,14____,F,A-,Pre,1,1.3199999999999743
1,14____,F,A-,CSPre,-1,-1.2566666666666229
1,14____,F,A+,CS,0,0.17666666666663866
1,14____,F,A+,Post,3.8333333333333335,4.993333333333392
1,14____,F,A+,Pre,0.5,1.4333333333333371
1,14____,F,A+,CSPre,-0.5,-1.2566666666666984
1,14____,F,B-,CS,0.3333333333333333,0.2766666666666612
1,14____,F,B-,Post,2.3333333333333335,1.6533333333332698
1,14____,F,B-,Pre,0.3333333333333333,1.3799999999999955
1,14____,F,B-,CSPre,0,-1.1033333333333344
1,14____,F,B+,CS,0.16666666666666666,0.3533333333333152
1,14____,F,B+,Post,2.3333333333333335,4.063333333333398
1,14____,F,B+,Pre,1.1666666666666667,1.7000000000000264
1,14____,F,B+,CSPre,-1,-1.346666666666711
1,15____,F,A-,CS,1.6666666666666665,2.9566666666667443
1,15____,F,A-,Post,0.8333333333333333,3.226666666666536
1,15____,F,A-,Pre,1.1666666666666667,1.656666666666657
1,15____,F,A-,CSPre,0.4999999999999998,1.3000000000000873
1,15____,F,A+,CS,0.6666666666666666,2.3733333333333158
1,15____,F,A+,Post,2.3333333333333335,7.580000000000183
1,15____,F,A+,Pre,0.3333333333333333,2.4133333333333837
1,15____,F,A+,CSPre,0.3333333333333333,-0.04000000000006798
1,15____,F,B-,CS,0.8333333333333333,1.2833333333334072
1,15____,F,B-,Post,2,5.1299999999999475
1,15____,F,B-,Pre,0.8333333333333333,1.6233333333333158
1,15____,F,B-,CSPre,0,-0.3399999999999086
