Group,Subject,1Lever_DevaluedLever?,Minute Counter,lever Presses,MagEntries,MagDuration,Devaluation
Maltodextrin,10,Devalued,1,14,3,207.5,Devalued
Maltodextrin,10,Devalued,2,4.5,2,36.5,Devalued
Maltodextrin,10,Devalued,3,4.5,3,388.5,Devalued
Maltodextrin,10,Devalued,4,2.5,1.5,130,Devalued
Maltodextrin,10,Devalued,5,0,2,239,Devalued
Maltodextrin,10,Devalued,6,0,0.5,21,Devalued
Maltodextrin,10,Devalued,7,3.5,2.5,162.5,Devalued
Maltodextrin,10,Devalued,8,0,1.5,67,Devalued
Maltodextrin,10,Non-Devalued,1,18,6.5,304,Non-Devalued
Maltodextrin,10,Non-Devalued,2,11.5,5.5,443.5,Non-Devalued
Maltodextrin,10,Non-Devalued,3,14.5,3.5,322,Non-Devalued
Maltodextrin,10,Non-Devalued,4,7.5,5.5,435.5,Non-Devalued
Maltodextrin,10,Non-Devalued,5,4.5,4,293.5,Non-Devalued
Maltodextrin,10,Non-Devalued,6,4,1,35.5,Non-Devalued
Maltodextrin,10,Non-Devalued,7,7.5,3,256,Non-Devalued
Maltodextrin,10,Non-Devalued,8,2.5,4,238,Non-Devalued
Maltodextrin,11,Devalued,1,20.5,5.5,397,Devalued
Maltodextrin,11,Devalued,2,7.5,4,550.5,Devalued
Maltodextrin,11,Devalued,3,13.5,6,723.5,Devalued
Maltodextrin,11,Devalued,4,7.5,6,308,Devalued
Maltodextrin,11,Devalued,5,13.5,8.5,620,Devalued
Maltodextrin,11,Devalued,6,13,6,731,Devalued
Maltodextrin,11,Devalued,7,6,5,551.5,Devalued
Maltodextrin,11,Devalued,8,4,4.5,313,Devalued
Maltodextrin,11,Non-Devalued,1,18.5,4.5,283.5,Non-Devalued
Maltodextrin,11,Non-Devalued,2,8.5,2.5,173.5,Non-Devalued
Maltodextrin,11,Non-Devalued,3,12,5.5,439.5,Non-Devalued
Maltodextrin,11,Non-Devalued,4,9,2.5,131.5,Non-Devalued
Maltodextrin,11,Non-Devalued,5,8.5,2.5,234.5,Non-Devalued
Maltodextrin,11,Non-Devalued,6,10,4.5,451,Non-Devalued
Maltodextrin,11,Non-Devalued,7,9.5,5,558.5,Non-Devalued
Maltodextrin,11,Non-Devalued,8,12,2,84.5,Non-Devalued
Maltodextrin,12,Devalued,1,24,4.5,224.5,Devalued
Maltodextrin,12,Devalued,2,16.5,5.5,386,Devalued
Maltodextrin,12,Devalued,3,9,3,284,Devalued
Maltodextrin,12,Devalued,4,3,6.5,415,Devalued
Maltodextrin,12,Devalued,5,0,9.5,1008,Devalued
Maltodextrin,12,Devalued,6,0,5.5,606.5,Devalued
Maltodextrin,12,Devalued,7,0.5,5.5,433,Devalued
Maltodextrin,12,Devalued,8,0,4.5,616.5,Devalued
Maltodextrin,12,Non-Devalued,1,32.5,9,457.5,Non-Devalued
Maltodextrin,12,Non-Devalued,2,29.5,5,276.5,Non-Devalued
Maltodextrin,12,Non-Devalued,3,25.5,8,282.5,Non-Devalued
Maltodextrin,12,Non-Devalued,4,19.5,9,591.5,Non-Devalued
Maltodextrin,12,Non-Devalued,5,22,5,398.5,Non-Devalued
Maltodextrin,12,Non-Devalued,6,8,6,643.5,Non-Devalued
Maltodextrin,12,Non-Devalued,7,7.5,6.5,693,Non-Devalued
Maltodextrin,12,Non-Devalued,8,0,11,1016.5,Non-Devalued
Sucrose,1,Devalued,1,13,3,120,Devalued
Sucrose,1,Devalued,2,10.5,3.5,307,Devalued
Sucrose,1,Devalued,3,9,3.5,334,Devalued
Sucrose,1,Devalued,4,7.5,4,533,Devalued
Sucrose,1,Devalued,5,3,2.5,217.5,Devalued
Sucrose,1,Devalued,6,1.5,5,526.5,Devalued
Sucrose,1,Devalued,7,3.5,6,399,Devalued
Sucrose,1,Devalued,8,2.5,6,1028,Devalued
Sucrose,1,Non-Devalued,1,22,5,346.5,Non-Devalued
Sucrose,1,Non-Devalued,2,19,3.5,196,Non-Devalued
Sucrose,1,Non-Devalued,3,6.5,3,223,Non-Devalued
Sucrose,1,Non-Devalued,4,10.5,2.5,137,Non-Devalued
Sucrose,1,Non-Devalued,5,1.5,1.5,74.5,Non-Devalued
Sucrose,1,Non-Devalued,6,5,2,107,Non-Devalued
Sucrose,1,Non-Devalued,7,11,2.5,363,Non-Devalued
Sucrose,1,Non-Devalued,8,0,0,0,Non-Devalued
Sucrose,2,Devalued,1,15.500000000000002,5.5,190.5,Devalued
Sucrose,2,Devalued,2,0.5,7,698.5,Devalued
Sucrose,2,Devalued,3,2.5,2,147,Devalued
Sucrose,2,Devalued,4,6.5,1,60,Devalued
Sucrose,2,Devalued,5,1,0.5,248.5,Devalued
Sucrose,2,Devalued,6,2,1,29.5,Devalued
Sucrose,2,Devalued,7,0,1.5,80.5,Devalued
Sucrose,2,Devalued,8,0,2.5,176,Devalued
Sucrose,2,Non-Devalued,1,14.5,4.5,191,Non-Devalued
Sucrose,2,Non-Devalued,2,15.500000000000002,3.5,161,Non-Devalued
Sucrose,2,Non-Devalued,3,21.5,4,272.5,Non-Devalued
Sucrose,2,Non-Devalued,4,0.5,0.5,25.5,Non-Devalued
Sucrose,2,Non-Devalued,5,3.5,1,18.5,Non-Devalued
Sucrose,2,Non-Devalued,6,6,4,290,Non-Devalued
Sucrose,2,Non-Devalued,7,6.5,2.5,543,Non-Devalued
Sucrose,2,Non-Devalued,8,21,3,201,Non-Devalued
Sucrose,3,Devalued,1,27,4,251,Devalued
Sucrose,3,Devalued,2,5.5,4,573.5,Devalued
Sucrose,3,Devalued,3,3,3,777.5,Devalued
Sucrose,3,Devalued,4,1.5,1,45,Devalued
Sucrose,3,Devalued,5,0,0,0,Devalued
Sucrose,3,Devalued,6,0.5,0,0,Devalued
Sucrose,3,Devalued,7,0,0.5,79,Devalued
Sucrose,3,Devalued,8,4,0,0,Devalued
Sucrose,3,Non-Devalued,1,43.5,4.5,175,Non-Devalued
Sucrose,3,Non-Devalued,2,23,3,124.00000000000001,Non-Devalued
Sucrose,3,Non-Devalued,3,14.5,4,301,Non-Devalued
Sucrose,3,Non-Devalued,4,13,4,733,Non-Devalued
Sucrose,3,Non-Devalued,5,8.5,0.5,50,Non-Devalued
Sucrose,3,Non-Devalued,6,0,0,0,Non-Devalued
Sucrose,3,Non-Devalued,7,0,0.5,94,Non-Devalued
Sucrose,3,Non-Devalued,8,6.5,1.5,625,Non-Devalued
Sucrose,4,Devalued,1,15.500000000000002,5.5,118.5,Devalued
Sucrose,4,Devalued,2,12.5,4.5,338.5,Devalued
Sucrose,4,Devalued,3,12.5,2,60.5,Devalued
Sucrose,4,Devalued,4,6,2,295,Devalued
Sucrose,4,Devalued,5,4.5,3,636,Devalued
Sucrose,4,Devalued,6,7.5,1,116,Devalued
Sucrose,4,Devalued,7,2.5,4,407.5,Devalued
Sucrose,4,Devalued,8,3.5,3,530.5,Devalued
Sucrose,4,Non-Devalued,1,23,2.5,75,Non-Devalued
Sucrose,4,Non-Devalued,2,21,4,230.5,Non-Devalued
Sucrose,4,Non-Devalued,3,14,2.5,80,Non-Devalued
Sucrose,4,Non-Devalued,4,13.5,5,143.5,Non-Devalued
Sucrose,4,Non-Devalued,5,10.5,7,481.5,Non-Devalued
Sucrose,4,Non-Devalued,6,20.5,10,881.5,Non-Devalued
Sucrose,4,Non-Devalued,7,9,5.5,557,Non-Devalued
Sucrose,4,Non-Devalued,8,16.5,5,299.5,Non-Devalued
Sucrose,13,Devalued,1,12,3.5,149.5,Devalued
Sucrose,13,Devalued,2,12,5,323,Devalued
Sucrose,13,Devalued,3,8.5,2.5,161,Devalued
Sucrose,13,Devalued,4,6,8,345,Devalued
Sucrose,13,Devalued,5,12,1.5,108,Devalued
Sucrose,13,Devalued,6,9,2.5,78,Devalued
Sucrose,13,Devalued,7,10,2,225,Devalued
Sucrose,13,Devalued,8,12.5,4,278.5,Devalued
Sucrose,13,Non-Devalued,1,8,1.5,97,Non-Devalued
Sucrose,13,Non-Devalued,2,6.5,1.5,63.5,Non-Devalued
Sucrose,13,Non-Devalued,3,6.5,2,118,Non-Devalued
Sucrose,13,Non-Devalued,4,7.5,3.5,124.50000000000001,Non-Devalued
Sucrose,13,Non-Devalued,5,8.5,3.5,261.5,Non-Devalued
Sucrose,13,Non-Devalued,6,6,3,175,Non-Devalued
Sucrose,13,Non-Devalued,7,2.5,2.5,607,Non-Devalued
Sucrose,13,Non-Devalued,8,2.5,2,84.5,Non-Devalued
Sucrose,14,Devalued,1,12.5,6.5,231.5,Devalued
Sucrose,14,Devalued,2,14.5,4,109.5,Devalued
Sucrose,14,Devalued,3,5.5,2,35,Devalued
Sucrose,14,Devalued,4,1,2.5,257,Devalued
Sucrose,14,Devalued,5,12.5,3,209,Devalued
Sucrose,14,Devalued,6,7,1,83,Devalued
Sucrose,14,Devalued,7,12.5,1,63.5,Devalued
Sucrose,14,Devalued,8,6,4,159,Devalued
Sucrose,14,Non-Devalued,1,31.000000000000004,1,49.5,Non-Devalued
Sucrose,14,Non-Devalued,2,25,3,166.5,Non-Devalued
Sucrose,14,Non-Devalued,3,8,2,103,Non-Devalued
Sucrose,14,Non-Devalued,4,11.5,2,92.5,Non-Devalued
Sucrose,14,Non-Devalued,5,2.5,0.5,14.5,Non-Devalued
Sucrose,14,Non-Devalued,6,0,1,35,Non-Devalued
Sucrose,14,Non-Devalued,7,9.5,1.5,106,Non-Devalued
Sucrose,14,Non-Devalued,8,6,2,230.5,Non-Devalued
Sucrose,15,Devalued,1,16,5.5,271,Devalued
Sucrose,15,Devalued,2,16.5,3,137,Devalued
Sucrose,15,Devalued,3,4.5,3.5,476,Devalued
Sucrose,15,Devalued,4,9.5,2.5,97,Devalued
Sucrose,15,Devalued,5,8,1,74,Devalued
Sucrose,15,Devalued,6,1,2,644.5,Devalued
Sucrose,15,Devalued,7,3,7.5,643,Devalued
Sucrose,15,Devalued,8,0,1.5,193.5,Devalued
Sucrose,15,Non-Devalued,1,24.5,4.5,168.5,Non-Devalued
Sucrose,15,Non-Devalued,2,23,4,321.5,Non-Devalued
Sucrose,15,Non-Devalued,3,20.5,1,75,Non-Devalued
Sucrose,15,Non-Devalued,4,10.5,2,377.5,Non-Devalued
Sucrose,15,Non-Devalued,5,20.5,4,137,Non-Devalued
Sucrose,15,Non-Devalued,6,0.5,1,78,Non-Devalued
Sucrose,15,Non-Devalued,7,15,3.5,210.5,Non-Devalued
Sucrose,15,Non-Devalued,8,8,6.5,586.5,Non-Devalued
Sucrose,16,Devalued,1,9.5,4,146,Devalued
Sucrose,16,Devalued,2,14,3,121.5,Devalued
