Subject,Devaluation,Trial Structure,same_diff,Devalued Pavlovian US?,lever Presses
14,Devalued,PreCS,PreCS,PreCS,0
14,Non-Devalued,CS,Different,Devalued,1.3333333333333335
14,Non-Devalued,CS,General,General,0.6666666666666667
14,Non-Devalued,CS,Same,Non-Devalued,2.666666666666667
14,Non-Devalued,PreCS,PreCS,PreCS,0.33333333333333337
15,Devalued,CS,Different,Non-Devalued,0
15,Devalued,CS,General,General,0
15,Devalued,CS,Same,Devalued,0.16666666666666669
15,Devalued,PreCS,PreCS,PreCS,0.11111111111111112
15,Non-Devalued,CS,Different,Devalued,0.6666666666666667
15,Non-Devalued,CS,General,General,1.1666666666666667
15,Non-Devalued,CS,Same,Non-Devalued,0
15,Non-Devalued,PreCS,PreCS,PreCS,2.722222222222222
16,Devalued,CS,Different,Non-Devalued,0.6666666666666667
16,Devalued,CS,General,General,0.6666666666666667
16,Devalued,CS,Same,Devalued,0
16,Devalued,PreCS,PreCS,PreCS,0
16,Non-Devalued,CS,Different,Devalued,0
16,Non-Devalued,CS,General,General,0.16666666666666669
16,Non-Devalued,CS,Same,Non-Devalued,3.333333333333333
16,Non-Devalued,PreCS,PreCS,PreCS,0.22222222222222224
