Experiment,Day,Subject,CS_Name,US_Name,AvgRewards,CS_PreCS,MagEntry_PreCS,MagEntry_CS
skr214_sPIT_Satiety,2,6,Noise,Maltodextrin,3.5,6.25,4.625,10.875
skr214_sPIT_Satiety,2,6,Tone,Sucrose,5.5,4,5.25,9.25
skr214_sPIT_Satiety,2,7,Click,Maltodextrin,5,7.5,5.25,12.75
skr214_sPIT_Satiety,2,7,Noise,Sucrose,5,12.875,6,18.875
skr214_sPIT_Satiety,2,7,Tone,Pellet,5.25,11.25,5,16.25
skr214_sPIT_Satiety,2,8,Click,Sucrose,4.5,-1.5,9.75,8.25
skr214_sPIT_Satiety,2,8,Noise,Pellet,3.75,8.875,6.625,15.5
skr214_sPIT_Satiety,2,8,Tone,Maltodextrin,3.25,0.75,10.25,11
skr214_sPIT_Satiety,2,9,Click,Maltodextrin,4.5,7.5,5.25,12.75
skr214_sPIT_Satiety,2,9,Noise,Sucrose,5,13,6.625,19.625
skr214_sPIT_Satiety,2,9,Tone,Pellet,3.75,10.375,4.625,15
skr214_sPIT_Satiety,2,10,Click,Pellet,5.75,6.375,3,9.375
skr214_sPIT_Satiety,2,10,Noise,Sucrose,3.5,7,4,11
skr214_sPIT_Satiety,2,10,Tone,Maltodextrin,4.5,3.5,5.375,8.875
skr214_sPIT_Satiety,2,11,Click,Sucrose,4.75,5.875,4.75,10.625
skr214_sPIT_Satiety,2,11,Noise,Pellet,4,9,7,16
skr214_sPIT_Satiety,2,11,Tone,Maltodextrin,5.25,3.125,6.5,9.625
skr214_sPIT_Satiety,2,12,Click,Maltodextrin,4.75,0.625,5.875,6.5
skr214_sPIT_Satiety,2,12,Noise,Pellet,4,9.875,4.5,14.375
skr214_sPIT_Satiety,2,12,Tone,Sucrose,5.25,0.625,6.375,7
skr214_sPIT_Satiety,2,13,Click,Sucrose,5.75,6.125,6.375,12.5
skr214_sPIT_Satiety,2,13,Noise,Maltodextrin,3.75,9.25,3.375,12.625
skr214_sPIT_Satiety,2,13,Tone,Pellet,6.25,7.25,4.5,11.75
skr214_sPIT_Satiety,2,14,Click,Pellet,4.25,9.375,4.75,14.125
skr214_sPIT_Satiety,2,14,Noise,Maltodextrin,3.75,10.75,2.5,13.25
skr214_sPIT_Satiety,2,14,Tone,Sucrose,2.25,7.75,3.5,11.25
