Experiment,Schedule,Day,Subject,RewardName,LeverName,LP,Rewards,SessionLength,LP_rate_min,MagEntry,MagEntry_rate_min
skr214_sPIT_Satiety,RR10,4,1,Sucrose,Left,175,20,555.99,18.885231748772462,67,7.230345869530027
skr214_sPIT_Satiety,RR10,4,2,Sucrose,Left,178,20,546.99,19.525037020786485,83,9.104371195085834
skr214_sPIT_Satiety,RR10,4,3,Sucrose,Left,154,20,401.99,22.985646409114654,66,9.850991318191994
skr214_sPIT_Satiety,RR10,4,4,Sucrose,Left,216,20,943.99,13.728958993209673,122,7.754319431349908
skr214_sPIT_Satiety,RR10,4,5,Sucrose,Left,236,20,766.99,18.461779162700946,100,7.822787780805487
skr214_sPIT_Satiety,RR10,4,6,Sucrose,Left,138,20,348.99,23.725608183615574,39,6.705063182326141
skr214_sPIT_Satiety,RR10,4,7,Sucrose,Left,245,20,1075.99,13.661837005920129,111,6.189648602682181
skr214_sPIT_Satiety,RR10,4,8,Sucrose,Left,220,20,1049.99,12.571548300460003,100,5.714340136572729
skr214_sPIT_Satiety,RR10,4,9,Sucrose,right,175,20,377.99,27.778512659065054,46,7.301780470382814
skr214_sPIT_Satiety,RR10,4,10,Sucrose,right,133,20,368.99,21.62660234694707,36,5.853817176617252
skr214_sPIT_Satiety,RR10,4,11,Sucrose,right,224,20,704.99,19.064100200002837,56,4.766025050000709
skr214_sPIT_Satiety,RR10,4,12,Sucrose,right,243,20,543.99,26.801963271383663,52,5.735399547785804
skr214_sPIT_Satiety,RR10,4,13,Sucrose,right,234,20,812.99,17.269585111747993,88,6.494544828349673
skr214_sPIT_Satiety,RR10,4,14,Sucrose,right,213,20,1021.99,12.505014726171488,70,4.1096292527324145
skr214_sPIT_Satiety,RR10,4,15,Sucrose,right,182,20,425.99,25.634404563487404,58,8.16920584990258
skr214_sPIT_Satiety,RR10,4,16,Sucrose,right,171,20,678.99,15.110679096893916,75,6.627490831971016
skr214_sPIT_Satiety,RR10,5,1,Sucrose,Left,210,20,738.99,17.050298380221655,79,6.414159866845289
skr214_sPIT_Satiety,RR10,5,2,Sucrose,Left,219,20,505.99,25.968892665862963,79,9.367774066681159
skr214_sPIT_Satiety,RR10,5,3,Sucrose,Left,174,20,460.99,22.646912080522352,52,6.768042690730819
skr214_sPIT_Satiety,RR10,5,4,Sucrose,Left,261,20,988.99,15.83433603979818,103,6.2487992800736105
skr214_sPIT_Satiety,RR10,5,5,Sucrose,Left,209,20,485.99,25.803000061729662,44,5.432210539311509
skr214_sPIT_Satiety,RR10,5,6,Sucrose,Left,212,20,449.99,28.267294828773974,44,5.86679703993422
skr214_sPIT_Satiety,RR10,5,7,Sucrose,Left,188,20,682.99,16.515615162740303,71,6.237280194439157
skr214_sPIT_Satiety,RR10,5,8,Sucrose,Left,175,20,510.99,20.548347325779368,49,5.753537251218224
skr214_sPIT_Satiety,RR10,5,9,Sucrose,right,224,20,809.99,16.592797441943727,63,4.666724280546673
skr214_sPIT_Satiety,RR10,5,10,Sucrose,right,203,20,325.99,37.36310929783122,56,10.307064633884476
skr214_sPIT_Satiety,RR10,5,11,Sucrose,right,182,20,594.99,18.353249634447636,57,5.7479957646347
skr214_sPIT_Satiety,RR10,5,12,Sucrose,right,202,20,406.99,29.779601464409446,39,5.749527015405784
skr214_sPIT_Satiety,RR10,5,13,Sucrose,right,292,20,1250.99,14.004908112774682,109,5.227859535248084
skr214_sPIT_Satiety,RR10,5,14,Sucrose,right,165,20,903.99,10.951448577970995,59,3.9159725218199313
skr214_sPIT_Satiety,RR10,5,15,Sucrose,right,225,20,679.99,19.85323313578141,75,6.617744378593803
skr214_sPIT_Satiety,RR10,5,16,Sucrose,right,204,20,476.99,25.660915323172393,69,8.679427241661251
skr214_sPIT_Satiety,RR10,6,1,Sucrose,Left,203,20,526.99,23.11239302453557,64,7.286665781134367
skr214_sPIT_Satiety,RR10,6,2,Sucrose,Left,222,20,628.99,21.176807262436604,73,6.963544730440866
skr214_sPIT_Satiety,RR10,6,3,Sucrose,Left,212,20,465.99,27.29672310564604,58,7.467971415695616
skr214_sPIT_Satiety,RR10,6,4,Sucrose,Left,186,20,539.99,20.667049389803516,50,5.555658438119225
skr214_sPIT_Satiety,RR10,6,5,Sucrose,Left,174,20,353.99,29.492358541201728,34,5.7628746574762
skr214_sPIT_Satiety,RR10,6,6,Sucrose,Left,251,20,468.99,32.11155888185249,44,5.62911789163948
skr214_sPIT_Satiety,RR10,6,7,Sucrose,Left,233,20,415.99,33.606577081179836,35,5.048198273996971
skr214_sPIT_Satiety,RR10,6,8,Sucrose,Left,244,20,619.99,23.61328408522718,86,8.322714882498104
skr214_sPIT_Satiety,RR10,6,9,Sucrose,right,204,20,341.99,35.79052019064885,38,6.666861604140472
skr214_sPIT_Satiety,RR10,6,10,Sucrose,right,184,20,348.99,31.634144244820767,49,8.424310152153357
skr214_sPIT_Satiety,RR10,6,11,Sucrose,right,308,20,681.99,27.09717151277878,50,4.3988914793472045
skr214_sPIT_Satiety,RR10,6,12,Sucrose,right,211,20,403.99,31.33740934181539,42,6.237778162825812
skr214_sPIT_Satiety,RR10,6,13,Sucrose,right,220,20,456.99,28.88465830762161,47,6.170813365719162
skr214_sPIT_Satiety,RR10,6,14,Sucrose,right,222,20,1046.99,12.722184548085465,59,3.381121118635326
skr214_sPIT_Satiety,RR10,6,15,Sucrose,right,207,20,343.99,36.10570074711474,41,7.151370679380214
skr214_sPIT_Satiety,RR10,6,16,Sucrose,right,171,20,420.99,24.371125204874225,46,6.555975201311195
skr214_sPIT_Satiety,RR10,7,1,Sucrose,Left,222,20,585.99,22.730763323606205,61,6.245840372702605
skr214_sPIT_Satiety,RR10,7,2,Sucrose,Left,229,20,696.99,19.713338785348427,94,8.09193819136573
skr214_sPIT_Satiety,RR10,7,3,Sucrose,Left,167,20,437.99,22.877234640060273,49,6.712482020137446
skr214_sPIT_Satiety,RR10,7,4,Sucrose,Left,211,20,550.99,22.97682353581735,69,7.513747980907094
skr214_sPIT_Satiety,RR10,7,5,Sucrose,Left,248,20,451.99,32.921082324830195,45,5.973583486360317
skr214_sPIT_Satiety,RR10,7,6,Sucrose,Left,132,20,309.99,25.54921126487951,35,6.774412077808962
skr214_sPIT_Satiety,RR10,7,7,Sucrose,Left,206,20,619.99,19.93580541621639,50,4.8387877223826194
skr214_sPIT_Satiety,RR10,7,8,Sucrose,Left,224,20,432.99,31.039977828587265,43,5.95856717245202
skr214_sPIT_Satiety,RR10,7,9,Sucrose,right,171,20,386.99,26.512312979663555,47,7.287010000258405
skr214_sPIT_Satiety,RR10,7,10,Sucrose,right,189,20,371.99,30.484690448667973,48,7.742143606010915
skr214_sPIT_Satiety,RR10,7,11,Sucrose,right,144,20,437.99,19.726477773465145,25,3.424735724559921
skr214_sPIT_Satiety,RR10,7,12,Sucrose,right,200,20,393.99,30.4576258280667,50,7.614406457016675
skr214_sPIT_Satiety,RR10,7,13,Sucrose,right,144,20,382.99,22.55933575289172,38,5.953158045901982
skr214_sPIT_Satiety,RR10,7,14,Sucrose,right,190,20,832.99,13.685638483055019,57,4.105691544916505
skr214_sPIT_Satiety,RR10,7,15,Sucrose,right,211,20,427.99,29.580130376877964,45,6.308558611182503
skr214_sPIT_Satiety,RR10,7,16,Sucrose,right,217,20,476.99,27.296169731021614,61,7.673116836830961
skr214_sPIT_Satiety,RR10,8,1,Sucrose,Left,183,20,309.99,35.42049743540114,42,8.129294493370754
skr214_sPIT_Satiety,RR10,8,2,Sucrose,Left,195,20,502.99,23.26089981908189,65,7.753633273027296
skr214_sPIT_Satiety,RR10,8,3,Sucrose,Left,245,20,404.99,36.29719252327218,41,6.074224054914936
skr214_sPIT_Satiety,RR10,8,4,Sucrose,Left,243,20,641.99,22.71063412202682,72,6.729076776896836
skr214_sPIT_Satiety,RR10,8,5,Sucrose,Left,251,20,431.99,34.861918099956014,39,5.416792055371652
skr214_sPIT_Satiety,RR10,8,6,Sucrose,Left,237,20,508.99,27.937680504528576,48,5.6582644059804705
skr214_sPIT_Satiety,RR10,8,7,Sucrose,Left,192,20,261.99,43.97114393679148,25,5.725409366769724
skr214_sPIT_Satiety,RR10,8,8,Sucrose,Left,245,20,391.99,37.50095665705758,37,5.663409780861756
skr214_sPIT_Satiety,RR10,8,9,Sucrose,right,243,20,400.99,36.36000897777999,46,6.88296466246041
skr214_sPIT_Satiety,RR10,8,10,Sucrose,right,185,20,327.99,33.84249519802433,48,8.780755510838745
skr214_sPIT_Satiety,RR10,8,11,Sucrose,right,215,20,374.99,34.40091735779621,37,5.920157870876556
skr214_sPIT_Satiety,RR10,8,12,Sucrose,right,186,20,309.99,36.001161327784764,33,6.3873028162198775
skr214_sPIT_Satiety,RR10,8,13,Sucrose,right,114,20,249.99,27.36109444377775,35,8.400336013440537
skr214_sPIT_Satiety,RR10,8,14,Sucrose,right,217,20,807.99,16.114060817584377,50,3.7129172390747414
skr214_sPIT_Satiety,RR10,8,15,Sucrose,right,175,20,286.99,36.586640649499984,38,7.944527683891425
skr214_sPIT_Satiety,RR10,8,16,Sucrose,right,216,20,405.99,31.921968521392156,44,6.5026232173206235
skr214_sPIT_Satiety,RR5,1,1,Maltodextrin,right,66,19,388.99,10.180210288182215,84,12.956631275868274
skr214_sPIT_Satiety,RR5,1,2,Maltodextrin,right,94,19,411.99,13.689652661472365,86,12.524575839219398
skr214_sPIT_Satiety,RR5,1,3,Maltodextrin,right,112,19,966.99,6.949399683554121,141,8.748797815902956
