Injection,Subject,Liquid,Bin_4mins,MagEntry,MagDur
Saline,4,Maltodextrin,2,6,11.0025
Saline,4,Maltodextrin,3,7.5,16.94
Saline,4,Maltodextrin,4,6.25,13.8675
Saline,4,Maltodextrin,5,7,16.03
Saline,4,Maltodextrin,6,6,15.43
Saline,5,Sucrose,1,6,8.455
Saline,5,Sucrose,2,6.75,15.58
Saline,5,Sucrose,3,6.75,19.3025
Saline,5,Sucrose,4,5.25,11.3275
Saline,5,Sucrose,5,7.5,16.1825
Saline,5,Sucrose,6,7,13.535
Saline,6,Sucrose,1,10.25,10.285
Saline,6,Sucrose,2,11.75,13.64
Saline,6,Sucrose,3,12.25,11.9575
Saline,6,Sucrose,4,9.75,10.575
Saline,6,Sucrose,5,13.5,10.655
Saline,6,Sucrose,6,15,17.96
Saline,7,Sucrose,1,7.75,6.855
Saline,7,Sucrose,2,7.75,7.4425
Saline,7,Sucrose,3,7.25,9.26
Saline,7,Sucrose,4,5,9.9375
Saline,7,Sucrose,5,9.25,9.3625
Saline,7,Sucrose,6,9.25,9.0775
Saline,8,Sucrose,1,10.25,16.605
Saline,8,Sucrose,2,8.5,19.1525
Saline,8,Sucrose,3,9,14.7675
Saline,8,Sucrose,4,9,20.8575
Saline,8,Sucrose,5,10.5,22.9675
Saline,8,Sucrose,6,6.75,11.82
Saline,9,Sucrose,1,7,12.59
Saline,9,Sucrose,2,5.75,19.655
Saline,9,Sucrose,3,5,14.75
Saline,9,Sucrose,4,6.5,16.65
Saline,9,Sucrose,5,5.25,11.3825
Saline,9,Sucrose,6,4.75,10.665
Saline,10,Sucrose,1,3.75,6.0825
Saline,10,Sucrose,2,7.75,13.21
Saline,10,Sucrose,3,6.5,8.59
Saline,10,Sucrose,4,6.5,9.035
Saline,10,Sucrose,5,5,8.79
Saline,10,Sucrose,6,2.5,6.325
Saline,11,Sucrose,1,6,10.6
Saline,11,Sucrose,2,7.75,10.6625
Saline,11,Sucrose,3,5.25,10.8975
Saline,11,Sucrose,4,7,12.175
Saline,11,Sucrose,5,10.5,12.195
Saline,11,Sucrose,6,10.5,19.085
Saline,12,Sucrose,1,11.75,17.7525
Saline,12,Sucrose,2,16.25,28.2375
Saline,12,Sucrose,3,20,23.64
Saline,12,Sucrose,4,19.75,30.565
Saline,12,Sucrose,5,19,26.22
Saline,12,Sucrose,6,15.5,25.85
Saline,13,Maltodextrin,1,5,5.6675
Saline,13,Maltodextrin,2,4.5,11.5775
Saline,13,Maltodextrin,3,5.25,6.5025
Saline,13,Maltodextrin,4,3.25,7.7775
Saline,13,Maltodextrin,5,6.5,12.1175
Saline,13,Maltodextrin,6,5,7.33
Saline,14,Maltodextrin,1,5,8.5
Saline,14,Maltodextrin,2,4.25,8.375
Saline,14,Maltodextrin,3,4.75,6.895
Saline,14,Maltodextrin,4,2.5,8.7525
Saline,14,Maltodextrin,5,2,5.875
Saline,14,Maltodextrin,6,3,5.9975
Saline,15,Maltodextrin,1,5.5,9.0225
Saline,15,Maltodextrin,2,5,10.9825
Saline,15,Maltodextrin,3,4,11.19
Saline,15,Maltodextrin,4,6.25,13.6225
Saline,15,Maltodextrin,5,5.75,12
Saline,15,Maltodextrin,6,4.25,8.4625
Saline,16,Maltodextrin,1,6,9.8225
Saline,16,Maltodextrin,2,4.75,10.84
Saline,16,Maltodextrin,3,5.25,8.21
Saline,16,Maltodextrin,4,3,6.7825
Saline,16,Maltodextrin,5,3.5,8.7325
Saline,16,Maltodextrin,6,2,5.985
