Subject,Trial Structure,Different_Devalued,Different_Non-Devalued,General_Devalued,General_Non-Devalued,Same_Devalued,Same_Non-Devalued,same_vs_diff_Devalued,same_vs_diff_Non-Devalued,same_bias_Devalued,same_bias_Non-Devalued,Same_NDev_vs_Dev,Diff_NDev_vs_Dev,General_NDev_vs_Dev,Devalued Lever,Non-Devalued Lever,Deval_index
1,CS,2.1666666666666665,5.166666666666667,0.8333333333333333,0.25,2.25,5,0.08333333333333348,-0.16666666666666696,0.509433962264151,0.4918032786885245,2.75,3.0000000000000004,-0.5833333333333333,3.875,6.125,2.2499999999999996
2,CS,0.75,4.916666666666667,0,0,1.6666666666666665,3.25,0.9166666666666665,-1.666666666666667,0.689655172413793,0.39795918367346933,1.5833333333333335,4.166666666666667,0,2.5,14.125,11.625
3,CS,1.9166666666666665,2.0833333333333335,2.083333333333333,2.583333333333333,3.083333333333333,8,1.1666666666666665,5.916666666666666,0.6166666666666666,0.793388429752066,4.916666666666667,0.16666666666666696,0.5,4.375,6.875,2.5
4,CS,2.75,5.666666666666667,0.75,2.8333333333333335,2.5,1.3333333333333335,-0.25,-4.333333333333334,0.47619047619047616,0.1904761904761905,-1.1666666666666665,2.916666666666667,2.0833333333333335,3,12,9
5,CS,1.3333333333333333,4.166666666666667,0,0,1.0833333333333333,2.666666666666667,-0.25,-1.5,0.4482758620689655,0.3902439024390244,1.5833333333333337,2.833333333333334,0,3.75,11.25,7.5
6,CS,5.833333333333333,4.166666666666667,0,0.75,0.5,4,-5.333333333333333,-0.16666666666666696,0.07894736842105264,0.48979591836734687,3.5,-1.666666666666666,0.75,0.375,1.5,1.125
7,CS,0.25,2.9166666666666665,1.25,1.1666666666666665,0.25,3.083333333333333,0,0.16666666666666652,0.5,0.5138888888888888,2.833333333333333,2.6666666666666665,-0.08333333333333348,4.25,5.5,1.25
8,CS,0.08333333333333334,1.3333333333333335,0.5,0.08333333333333334,4.333333333333334,2.416666666666667,4.250000000000001,1.0833333333333335,0.9811320754716982,0.6444444444444445,-1.916666666666667,1.2500000000000002,-0.41666666666666663,2.875,7.875,5
9,CS,2.416666666666667,2.5,0,0.6666666666666667,1.8333333333333333,5.583333333333334,-0.5833333333333337,3.083333333333334,0.4313725490196078,0.6907216494845361,3.750000000000001,0.08333333333333304,0.6666666666666667,5.125,13.5,8.375
10,CS,3.3333333333333335,0.25,0.41666666666666663,0.5833333333333334,0.08333333333333334,14.416666666666668,-3.25,14.166666666666668,0.024390243902439025,0.9829545454545454,14.333333333333334,-3.0833333333333335,0.16666666666666674,0.875,2.5,1.625
11,CS,2.5,2.9166666666666665,0.9166666666666667,0.5833333333333334,0,0.08333333333333334,-2.5,-2.833333333333333,0,0.02777777777777778,0.08333333333333334,0.4166666666666665,-0.33333333333333337,6.25,13.625,7.375
12,CS,0.33333333333333337,1.25,3,2.5000000000000004,0.25,0.9166666666666666,-0.08333333333333337,-0.33333333333333337,0.42857142857142855,0.4230769230769231,0.6666666666666666,0.9166666666666666,-0.49999999999999956,6.5,11.375,4.875
13,CS,0.9166666666666666,6.166666666666666,0.08333333333333334,1.5,1.0833333333333333,2.25,0.16666666666666663,-3.916666666666666,0.5416666666666666,0.26732673267326734,1.1666666666666667,5.249999999999999,1.4166666666666667,1.875,13.125,11.25
14,CS,3.25,2.583333333333333,0.16666666666666669,0.75,4.416666666666666,2.8333333333333335,1.166666666666666,0.25000000000000044,0.5760869565217391,0.5230769230769231,-1.5833333333333326,-0.666666666666667,0.5833333333333333,1.875,3.5,1.625
15,CS,0,3.4166666666666665,0,0.08333333333333334,0.41666666666666663,4.5,0.41666666666666663,1.0833333333333335,1,0.5684210526315789,4.083333333333333,3.4166666666666665,0.08333333333333334,1,8.375,7.375
16,CS,5.333333333333334,5.833333333333334,0,1.6666666666666665,1,5.833333333333333,-4.333333333333334,-8.881784197001252e-16,0.15789473684210525,0.49999999999999994,4.833333333333333,0.5,1.6666666666666665,4.375,12.125,7.75
