Subject,Devaluation,Trial Structure,same_diff,Devalued Pavlovian US?,lever Presses
17,Devalued,CS,Different,Non-Devalued,NA
17,Devalued,CS,General,General,NA
17,Devalued,CS,Same,Devalued,NA
17,Devalued,PreCS,PreCS,PreCS,NA
17,Non-Devalued,CS,Different,Devalued,NA
17,Non-Devalued,CS,General,General,NA
17,Non-Devalued,CS,Same,Non-Devalued,NA
17,Non-Devalued,PreCS,PreCS,PreCS,NA
18,Devalued,CS,Different,Non-Devalued,NA
18,Devalued,CS,General,General,NA
18,Devalued,CS,Same,Devalued,NA
18,Devalued,PreCS,PreCS,PreCS,NA
18,Non-Devalued,CS,Different,Devalued,NA
18,Non-Devalued,CS,General,General,NA
18,Non-Devalued,CS,Same,Non-Devalued,NA
18,Non-Devalued,PreCS,PreCS,PreCS,NA
19,Devalued,CS,Different,Non-Devalued,NA
19,Devalued,CS,General,General,NA
19,Devalued,CS,Same,Devalued,NA
19,Devalued,PreCS,PreCS,PreCS,NA
19,Non-Devalued,CS,Different,Devalued,NA
19,Non-Devalued,CS,General,General,NA
19,Non-Devalued,CS,Same,Non-Devalued,NA
19,Non-Devalued,PreCS,PreCS,PreCS,NA
20,Devalued,CS,Different,Non-Devalued,NA
20,Devalued,CS,General,General,NA
20,Devalued,CS,Same,Devalued,NA
20,Devalued,PreCS,PreCS,PreCS,NA
20,Non-Devalued,CS,Different,Devalued,NA
20,Non-Devalued,CS,General,General,NA
20,Non-Devalued,CS,Same,Non-Devalued,NA
20,Non-Devalued,PreCS,PreCS,PreCS,NA
21,Devalued,CS,Different,Non-Devalued,NA
21,Devalued,CS,General,General,NA
21,Devalued,CS,Same,Devalued,NA
21,Devalued,PreCS,PreCS,PreCS,NA
21,Non-Devalued,CS,Different,Devalued,NA
21,Non-Devalued,CS,General,General,NA
21,Non-Devalued,CS,Same,Non-Devalued,NA
21,Non-Devalued,PreCS,PreCS,PreCS,NA
22,Devalued,CS,Different,Non-Devalued,NA
22,Devalued,CS,General,General,NA
22,Devalued,CS,Same,Devalued,NA
22,Devalued,PreCS,PreCS,PreCS,NA
22,Non-Devalued,CS,Different,Devalued,NA
22,Non-Devalued,CS,General,General,NA
22,Non-Devalued,CS,Same,Non-Devalued,NA
22,Non-Devalued,PreCS,PreCS,PreCS,NA
23,Devalued,CS,Different,Non-Devalued,NA
23,Devalued,CS,General,General,NA
23,Devalued,CS,Same,Devalued,NA
23,Devalued,PreCS,PreCS,PreCS,NA
23,Non-Devalued,CS,Different,Devalued,NA
23,Non-Devalued,CS,General,General,NA
23,Non-Devalued,CS,Same,Non-Devalued,NA
23,Non-Devalued,PreCS,PreCS,PreCS,NA
24,Devalued,CS,Different,Non-Devalued,NA
24,Devalued,CS,General,General,NA
24,Devalued,CS,Same,Devalued,NA
24,Devalued,PreCS,PreCS,PreCS,NA
