Subject,Devaluation,Trial Structure,same_diff,Devalued Pavlovian US?,MagEntries
29,Non-Devalued,CS,Different,Devalued,3.1666666666666665
29,Non-Devalued,CS,General,General,0.25
29,Non-Devalued,CS,Same,Non-Devalued,2.6666666666666665
29,Non-Devalued,PreCS,PreCS,PreCS,0.41666666666666663
30,Devalued,CS,Different,Non-Devalued,4.583333333333334
30,Devalued,CS,General,General,1.3333333333333335
30,Devalued,CS,Same,Devalued,3.9166666666666665
30,Devalued,PreCS,PreCS,PreCS,0.8055555555555556
30,Non-Devalued,CS,Different,Devalued,6.916666666666666
30,Non-Devalued,CS,General,General,5.416666666666666
30,Non-Devalued,CS,Same,Non-Devalued,6.583333333333334
30,Non-Devalued,PreCS,PreCS,PreCS,0.7222222222222223
31,Devalued,CS,Different,Non-Devalued,2
31,Devalued,CS,General,General,0.6666666666666667
31,Devalued,CS,Same,Devalued,3.75
31,Devalued,PreCS,PreCS,PreCS,0.25
31,Non-Devalued,CS,Different,Devalued,3.75
31,Non-Devalued,CS,General,General,0.6666666666666667
31,Non-Devalued,CS,Same,Non-Devalued,2.6666666666666665
31,Non-Devalued,PreCS,PreCS,PreCS,0.25
32,Devalued,CS,Different,Non-Devalued,3.6666666666666665
32,Devalued,CS,General,General,0.5
32,Devalued,CS,Same,Devalued,1.1666666666666665
32,Devalued,PreCS,PreCS,PreCS,0.19444444444444445
32,Non-Devalued,CS,Different,Devalued,1.6666666666666665
32,Non-Devalued,CS,General,General,0.08333333333333334
32,Non-Devalued,CS,Same,Non-Devalued,3.6666666666666665
32,Non-Devalued,PreCS,PreCS,PreCS,0.3611111111111111
