Experiment,Day,Subject,CS_Name,US_Name,AvgRewards,CS_PreCS,MagEntry_PreCS,MagEntry_CS
skr216_sPIT_Deval_1lever,3,4,Tone,Sucrose,2.5,4.625,4.625,9.25
skr216_sPIT_Deval_1lever,3,5,Click,Sucrose,3,7.125,4,11.125
skr216_sPIT_Deval_1lever,3,5,Noise,Maltodextrin,3.25,8.25,2.875,11.125
skr216_sPIT_Deval_1lever,3,5,Tone,Pellet,2.75,7.5,4.25,11.75
skr216_sPIT_Deval_1lever,3,6,Click,Pellet,3,13,5.75,18.75
skr216_sPIT_Deval_1lever,3,6,Noise,Maltodextrin,3.5,17.625,4.25,21.875
skr216_sPIT_Deval_1lever,3,6,Tone,Sucrose,2.5,11.625,8.375,20
skr216_sPIT_Deval_1lever,3,7,Click,Maltodextrin,3.75,9.5,3.375,12.875
skr216_sPIT_Deval_1lever,3,7,Noise,Sucrose,4,7,6.625,13.625
skr216_sPIT_Deval_1lever,3,7,Tone,Pellet,4.5,13.5,4,17.5
skr216_sPIT_Deval_1lever,3,8,Click,Sucrose,4,3,6.625,9.625
skr216_sPIT_Deval_1lever,3,8,Noise,Pellet,4,7.625,6.5,14.125
skr216_sPIT_Deval_1lever,3,8,Tone,Maltodextrin,4,4.625,4,8.625
skr216_sPIT_Deval_1lever,4,1,Click,Maltodextrin,4,10.5,3.25,13.75
skr216_sPIT_Deval_1lever,4,1,Noise,Sucrose,3.5,16.125,5.125,21.25
skr216_sPIT_Deval_1lever,4,1,Tone,Pellet,3.5,9.125,3.5,12.625
skr216_sPIT_Deval_1lever,4,2,Click,Pellet,3.75,13.625,3.875,17.5
skr216_sPIT_Deval_1lever,4,2,Noise,Sucrose,3.75,10.25,4.875,15.125
skr216_sPIT_Deval_1lever,4,2,Tone,Maltodextrin,2.5,5.5,6.25,11.75
skr216_sPIT_Deval_1lever,4,3,Click,Sucrose,2,3.625,2.5,6.125
skr216_sPIT_Deval_1lever,4,3,Noise,Pellet,3.25,12,4.75,16.75
skr216_sPIT_Deval_1lever,4,3,Tone,Maltodextrin,4.25,5.25,3,8.25
skr216_sPIT_Deval_1lever,4,4,Click,Maltodextrin,5,4,6.5,10.5
skr216_sPIT_Deval_1lever,4,4,Noise,Pellet,3.5,11.5,4.75,16.25
skr216_sPIT_Deval_1lever,4,4,Tone,Sucrose,3,5,5,10
skr216_sPIT_Deval_1lever,4,5,Click,Sucrose,4,6.875,3.5,10.375
skr216_sPIT_Deval_1lever,4,5,Noise,Maltodextrin,4,8.75,3.875,12.625
skr216_sPIT_Deval_1lever,4,5,Tone,Pellet,4.5,6.875,4.5,11.375
skr216_sPIT_Deval_1lever,4,6,Click,Pellet,5,16.125,1.875,18
skr216_sPIT_Deval_1lever,4,6,Noise,Maltodextrin,4,13.5,4.375,17.875
skr216_sPIT_Deval_1lever,4,6,Tone,Sucrose,3.5,13.625,2.5,16.125
skr216_sPIT_Deval_1lever,4,7,Click,Maltodextrin,2,12.875,2,14.875
skr216_sPIT_Deval_1lever,4,7,Noise,Sucrose,2.5,13.875,4.25,18.125
skr216_sPIT_Deval_1lever,4,7,Tone,Pellet,3.5,11.875,2.25,14.125
skr216_sPIT_Deval_1lever,4,8,Click,Sucrose,3.25,5.625,3.875,9.5
skr216_sPIT_Deval_1lever,4,8,Noise,Pellet,3.75,14,3,17
skr216_sPIT_Deval_1lever,4,8,Tone,Maltodextrin,2.75,6.375,4.5,10.875
skr216_sPIT_Deval_1lever,5,1,Click,Maltodextrin,3.5,9.875,2,11.875
skr216_sPIT_Deval_1lever,5,1,Noise,Sucrose,3.5,12.875,3.125,16
skr216_sPIT_Deval_1lever,5,1,Tone,Pellet,4.5,10.25,2.125,12.375
skr216_sPIT_Deval_1lever,5,2,Click,Pellet,2.5,6.875,4.5,11.375
skr216_sPIT_Deval_1lever,5,2,Noise,Sucrose,3.5,9.625,4.75,14.375
skr216_sPIT_Deval_1lever,5,2,Tone,Maltodextrin,7.5,2.875,4.25,7.125
skr216_sPIT_Deval_1lever,5,3,Click,Sucrose,3.75,1.375,6.625,8
skr216_sPIT_Deval_1lever,5,3,Noise,Pellet,5,17.875,4.875,22.75
skr216_sPIT_Deval_1lever,5,3,Tone,Maltodextrin,2.5,3.375,4.75,8.125
skr216_sPIT_Deval_1lever,5,4,Click,Maltodextrin,3,8.875,4.375,13.25
skr216_sPIT_Deval_1lever,5,4,Noise,Pellet,4.5,13,6.375,19.375
skr216_sPIT_Deval_1lever,5,4,Tone,Sucrose,3.25,6.125,5,11.125
skr216_sPIT_Deval_1lever,5,5,Click,Sucrose,3,9.75,2.625,12.375
skr216_sPIT_Deval_1lever,5,5,Noise,Maltodextrin,4,8.75,2.875,11.625
skr216_sPIT_Deval_1lever,5,5,Tone,Pellet,3.75,7.375,4.5,11.875
skr216_sPIT_Deval_1lever,5,6,Click,Pellet,4.75,10.125,8.125,18.25
skr216_sPIT_Deval_1lever,5,6,Noise,Maltodextrin,3.5,14.5,6.375,20.875
skr216_sPIT_Deval_1lever,5,6,Tone,Sucrose,4,10.625,6,16.625
skr216_sPIT_Deval_1lever,5,7,Click,Maltodextrin,5,13.125,2.75,15.875
skr216_sPIT_Deval_1lever,5,7,Noise,Sucrose,5.75,14.625,2.25,16.875
skr216_sPIT_Deval_1lever,5,7,Tone,Pellet,4.75,12.625,5.125,17.75
skr216_sPIT_Deval_1lever,5,8,Click,Sucrose,2.5,3.5,4.125,7.625
skr216_sPIT_Deval_1lever,5,8,Noise,Pellet,4,14.125,3.75,17.875
skr216_sPIT_Deval_1lever,5,8,Tone,Maltodextrin,3.5,4.875,3.625,8.5
skr216_sPIT_Deval_1lever,6,1,Click,Maltodextrin,4.75,6,7.875,13.875
skr216_sPIT_Deval_1lever,6,1,Noise,Sucrose,4.25,10.75,6.625,17.375
skr216_sPIT_Deval_1lever,6,1,Tone,Pellet,3.75,13.875,2.5,16.375
skr216_sPIT_Deval_1lever,6,2,Click,Pellet,3.75,5.125,5.625,10.75
skr216_sPIT_Deval_1lever,6,2,Noise,Sucrose,4.25,7.875,5.125,13
skr216_sPIT_Deval_1lever,6,2,Tone,Maltodextrin,4.5,5.125,5.625,10.75
skr216_sPIT_Deval_1lever,6,3,Click,Sucrose,4.5,6.25,1.75,8
skr216_sPIT_Deval_1lever,6,3,Noise,Pellet,3.25,18,1.75,19.75
skr216_sPIT_Deval_1lever,6,3,Tone,Maltodextrin,3.25,5.875,3.375,9.25
skr216_sPIT_Deval_1lever,6,4,Click,Maltodextrin,2.75,6.5,4.125,10.625
skr216_sPIT_Deval_1lever,6,4,Noise,Pellet,3.75,11.375,6.125,17.5
skr216_sPIT_Deval_1lever,6,4,Tone,Sucrose,5.5,4,6.75,10.75
skr216_sPIT_Deval_1lever,6,5,Click,Sucrose,2.75,8.375,2.5,10.875
skr216_sPIT_Deval_1lever,6,5,Noise,Maltodextrin,5.5,6.875,4.25,11.125
skr216_sPIT_Deval_1lever,6,5,Tone,Pellet,3.75,8.875,3,11.875
skr216_sPIT_Deval_1lever,6,6,Click,Pellet,4.25,14.5,5.25,19.75
skr216_sPIT_Deval_1lever,6,6,Noise,Maltodextrin,3.75,9.375,8.375,17.75
skr216_sPIT_Deval_1lever,6,6,Tone,Sucrose,3,9.625,6.875,16.5
skr216_sPIT_Deval_1lever,6,7,Click,Maltodextrin,3.5,13.25,5.625,18.875
skr216_sPIT_Deval_1lever,6,7,Noise,Sucrose,4.25,11,7.5,18.5
skr216_sPIT_Deval_1lever,6,7,Tone,Pellet,5,13.125,6.625,19.75
skr216_sPIT_Deval_1lever,6,8,Click,Sucrose,4,2.5,6.875,9.375
skr216_sPIT_Deval_1lever,6,8,Noise,Pellet,4.5,7.875,5.75,13.625
skr216_sPIT_Deval_1lever,6,8,Tone,Maltodextrin,3.25,7,2.875,9.875
