Experiment,Day,Subject,CS_Name,US_Name,AvgRewards,CS_PreCS,MagEntry_PreCS,MagEntry_CS
skr214_sPIT_Satiety,1,1,Click,Maltodextrin,4.5,21.5,8,29.5
skr214_sPIT_Satiety,1,1,Noise,Sucrose,6.5,10,7,17
skr214_sPIT_Satiety,1,1,Tone,Pellet,3.5,18.5,5,23.5
skr214_sPIT_Satiety,1,2,Click,Pellet,5.25,18.25,11.5,29.75
skr214_sPIT_Satiety,1,2,Noise,Sucrose,3.5,12.25,15,27.25
skr214_sPIT_Satiety,1,2,Tone,Maltodextrin,3.75,13.25,12,25.25
skr214_sPIT_Satiety,1,3,Click,Sucrose,3.25,11.25,8.75,20
skr214_sPIT_Satiety,1,3,Noise,Pellet,4.5,14,17,31
skr214_sPIT_Satiety,1,3,Tone,Maltodextrin,3.25,10,10.25,20.25
skr214_sPIT_Satiety,1,4,Click,Maltodextrin,3.75,2.5,9.25,11.75
skr214_sPIT_Satiety,1,4,Noise,Pellet,4.75,12.25,9,21.25
skr214_sPIT_Satiety,1,4,Tone,Sucrose,4,7.25,6.5,13.75
skr214_sPIT_Satiety,1,5,Click,Sucrose,2.25,14.75,4,18.75
skr214_sPIT_Satiety,1,5,Noise,Maltodextrin,5.5,11.5,4.5,16
skr214_sPIT_Satiety,1,5,Tone,Pellet,3,0,7.75,7.75
skr214_sPIT_Satiety,1,6,Click,Pellet,3.25,17.25,9.5,26.75
skr214_sPIT_Satiety,1,6,Noise,Maltodextrin,5,8,9,17
skr214_sPIT_Satiety,1,6,Tone,Sucrose,4.5,8.5,8.5,17
skr214_sPIT_Satiety,1,7,Click,Maltodextrin,3.75,7.25,12,19.25
skr214_sPIT_Satiety,1,7,Noise,Sucrose,4,21.25,8.25,29.5
skr214_sPIT_Satiety,1,7,Tone,Pellet,5.5,17.25,9.25,26.5
skr214_sPIT_Satiety,1,8,Click,Sucrose,3,8.75,9,17.75
skr214_sPIT_Satiety,1,8,Noise,Pellet,3.5,5.5,13.75,19.25
skr214_sPIT_Satiety,1,8,Tone,Maltodextrin,4.25,6.75,11,17.75
skr214_sPIT_Satiety,1,9,Click,Maltodextrin,4.25,9.25,13.5,22.75
skr214_sPIT_Satiety,1,9,Noise,Sucrose,4,13,17.75,30.75
skr214_sPIT_Satiety,1,9,Tone,Pellet,4.75,18.25,8,26.25
skr214_sPIT_Satiety,1,10,Click,Pellet,3.5,17.25,8.25,25.5
skr214_sPIT_Satiety,1,10,Noise,Sucrose,3.5,7.5,9,16.5
skr214_sPIT_Satiety,1,10,Tone,Maltodextrin,5.75,15.5,5,20.5
skr214_sPIT_Satiety,1,11,Click,Sucrose,4,10.25,14.5,24.75
skr214_sPIT_Satiety,1,11,Noise,Pellet,2.5,11.75,22.75,34.5
skr214_sPIT_Satiety,1,11,Tone,Maltodextrin,3.5,4.5,15.75,20.25
