Subject,Minute Counter,Devaluation,lever Presses
11,4,Non-Devalued,6
11,5,Non-Devalued,17
11,6,Non-Devalued,13.5
11,7,Non-Devalued,16
11,8,Non-Devalued,11
12,1,Non-Devalued,13.5
12,2,Non-Devalued,10.5
12,3,Non-Devalued,7
12,4,Non-Devalued,14.5
12,5,Non-Devalued,2
12,6,Non-Devalued,3.5
12,7,Non-Devalued,1
12,8,Non-Devalued,1
13,1,Non-Devalued,11
13,2,Non-Devalued,19
13,3,Non-Devalued,15
13,4,Non-Devalued,7.5
13,5,Non-Devalued,10
13,6,Non-Devalued,2
13,7,Non-Devalued,2.5
13,8,Non-Devalued,4
14,1,Non-Devalued,4
14,2,Non-Devalued,3
14,3,Non-Devalued,3.5
14,4,Non-Devalued,3.5
14,5,Non-Devalued,0
14,6,Non-Devalued,2.5
14,7,Non-Devalued,4.5
14,8,Non-Devalued,1
15,1,Non-Devalued,7.5
15,2,Non-Devalued,12
15,3,Non-Devalued,13
15,4,Non-Devalued,1
15,5,Non-Devalued,13
15,6,Non-Devalued,26
15,7,Non-Devalued,13.5
15,8,Non-Devalued,9
16,1,Non-Devalued,11
16,2,Non-Devalued,15
16,3,Non-Devalued,13
16,4,Non-Devalued,9.5
16,5,Non-Devalued,40.5
16,6,Non-Devalued,7.5
16,7,Non-Devalued,6.5
16,8,Non-Devalued,9.5
