Experiment,Experiment_Devaluation,Schedule,Day,Subject,RewardName,LeverName,LP,Rewards,SessionLength,LP_rate_min,MagEntry,MagEntry_rate_min
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,3,8,Sucrose,Left,229,20,609.99,22.524959425564354,96,9.442777750454924
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,3,9,Sucrose,right,142,20,421.99,20.190051896964384,70,9.952842484419062
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,3,10,Sucrose,right,202,20,609.99,19.869178183248906,92,9.049328677519304
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,3,11,Sucrose,right,212,20,992.99,12.809796674689572,137,8.278028983172037
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,3,12,Sucrose,right,211,20,570.99,22.172017023065205,124,13.030000525403246
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,3,13,Sucrose,right,220,20,1244.99,10.602494799155014,170,8.192836890256148
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,3,14,Sucrose,right,190,20,948.99,12.012771472829007,102,6.44896152751873
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,3,15,Sucrose,right,180,20,758.99,14.229436487964268,133,10.513972516106932
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,3,16,Sucrose,right,193,20,1046.99,11.060277557569796,154,8.82529919101424
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,4,1,Sucrose,Left,237,20,1497.99,9.492720245128472,149,5.967997116135622
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,4,2,Sucrose,Left,282,20,820.99,20.609264424658036,88,6.431259820460664
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,4,3,Sucrose,Left,242,20,429.99,33.76822716807368,54,7.535058954859416
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,4,4,Sucrose,Left,245,20,1075.99,13.661837005920129,113,6.301173802730509
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,4,5,Sucrose,Left,179,20,473.99,22.658705879870883,71,8.987531382518618
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,4,6,Sucrose,Left,157,20,465.99,20.215026073520892,87,11.201957123543423
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,4,7,Sucrose,Left,240,20,608.99,23.645708468119345,84,8.275997963841771
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,4,8,Sucrose,Left,210,20,649.99,19.384913614055602,67,6.184710534008215
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,4,9,Sucrose,right,189,20,418.99,27.065085085562902,53,7.58967994462875
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,4,10,Sucrose,right,256,20,1044.99,14.69870525076795,118,6.775184451525853
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,4,11,Sucrose,right,229,20,506.99,27.10112625495572,98,11.597861890767076
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,4,12,Sucrose,right,197,20,627.99,18.821955763626807,82,7.834519657956338
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,4,13,Sucrose,right,180,20,642.99,16.796528717398406,49,4.572388373069566
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,4,14,Sucrose,right,224,20,832.99,16.1346474747596,83,5.978463126808245
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,4,15,Sucrose,right,227,20,445.99,30.53880131841521,71,9.551783672279647
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,4,16,Sucrose,right,136,20,633.99,12.870865471064212,99,9.369232953201156
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,5,1,Sucrose,Left,166,20,828.99,12.014620200484927,78,5.645423949625448
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,5,2,Sucrose,Left,224,20,550.99,24.39245721337955,72,7.840432675729143
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,5,3,Sucrose,Left,218,20,412.99,31.67146904283397,37,5.3754328191965906
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,5,4,Sucrose,Left,184,20,739.99,14.919120528655792,65,5.270341491101231
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,5,5,Sucrose,Left,292,20,664.99,26.34626084602776,71,6.4061113700957915
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,5,6,Sucrose,Left,214,20,434.99,29.517919952182808,56,7.724315501505782
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,5,7,Sucrose,Left,206,20,534.99,23.10323557449672,57,6.392642853137442
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,5,8,Sucrose,Left,199,20,430.99,27.703659017610615,43,5.986217777674655
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,5,9,Sucrose,right,246,20,616.99,23.92259193828101,81,7.876951004068137
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,5,10,Sucrose,right,185,20,409.99,27.073831069050463,51,7.4635966730895875
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,5,11,Sucrose,right,154,20,362.99,25.45524670101105,44,7.272927628860299
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,5,12,Sucrose,right,160,20,331.99,28.91653363053104,35,6.325491731678666
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,5,13,Sucrose,right,168,20,453.99,22.203132227582106,41,5.418621555540871
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,5,14,Sucrose,right,241,20,582.99,24.80316986569238,45,4.631297277826378
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,5,15,Sucrose,right,245,20,394.99,37.216132053976054,65,9.873667687789563
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,5,16,Sucrose,right,231,20,1292.99,10.71934044346824,120,5.568488542061424
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,6,1,Sucrose,Left,213,20,657.99,19.422787580358364,62,5.653581361418866
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,6,2,Sucrose,Left,249,20,833.99,17.913883859518698,93,6.690727706567225
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,6,3,Sucrose,Left,165,20,313.99,31.52966654989012,31,5.92375553361572
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,6,4,Sucrose,Left,177,20,587.99,18.06153165870168,70,7.142978622085409
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,6,5,Sucrose,Left,203,20,395.99,30.75835248364858,35,5.30316422131872
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,6,6,Sucrose,Left,200,20,433.99,27.65040669139842,45,6.221341505564644
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,6,7,Sucrose,Left,223,20,485.99,27.531430687874238,36,4.444535895800325
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,6,8,Sucrose,Left,198,20,603.99,19.66919982118909,46,4.5696120796701925
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,6,9,Sucrose,right,200,20,431.99,27.778420796777706,48,6.666820991226648
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,6,10,Sucrose,right,251,20,679.99,22.147384520360596,74,6.529507786879218
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,6,11,Sucrose,right,154,20,313.99,29.427688779897448,30,5.732666645434568
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,6,12,Sucrose,right,158,20,335.99,28.215125450162205,33,5.893032530730081
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,6,13,Sucrose,right,203,20,565.99,21.51981483771798,42,4.452375483665789
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,6,14,Sucrose,right,236,20,637.99,22.194705246163732,56,5.266540227903259
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,6,15,Sucrose,right,209,20,266.99,46.96805123787407,37,8.314918161728905
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,6,16,Sucrose,right,261,20,1150.99,13.605678589735792,122,6.359742482558493
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,1,1,Maltodextrin,right,94,20,499.99,11.28022560451209,77,9.240184803696074
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,1,2,Maltodextrin,right,120,20,1070.99,6.722751846422469,213,11.932884527399883
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,1,3,Maltodextrin,right,124,20,442.99,16.794961511546536,80,10.835459039707443
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,1,4,Maltodextrin,right,109,20,752.99,8.685374307759732,139,11.075844300721124
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,1,5,Maltodextrin,right,78,20,611.99,7.647183777512705,100,9.804081766041929
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,1,6,Maltodextrin,right,113,20,536.99,12.625933443825769,104,11.620328125290975
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,1,7,Maltodextrin,right,93,20,485.99,11.481717730817508,122,15.062038313545546
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,1,8,Maltodextrin,right,107,20,1015.99,6.318959832281814,167,9.862301794309
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,1,9,Maltodextrin,Left,62,20,252.99,14.70413850349816,63,14.941302027748131
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,1,10,Maltodextrin,Left,106,20,1033.99,6.150929892939003,164,9.516533041905628
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,1,11,Maltodextrin,Left,139,20,839.99,9.928689627257468,165,11.785854593507064
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,1,12,Maltodextrin,Left,131,20,824.99,9.527388210766192,173,12.581970690553824
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,1,13,Maltodextrin,Left,119,20,1117.99,6.386461417365092,118,6.332793674362025
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,1,14,Maltodextrin,Left,100,20,764.99,7.8432397809121674,155,12.15702166041386
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,1,15,Maltodextrin,Left,84,20,504.99,9.980395651399036,108,12.831937266084477
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,1,16,Maltodextrin,Left,118,20,1214.99,5.827208454390571,192,9.481559519008387
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,2,1,Maltodextrin,right,89,20,554.99,9.621794987297069,109,11.783996108037982
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,2,2,Maltodextrin,right,89,20,350.99,15.214108664064502,74,12.649933046525542
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,2,3,Maltodextrin,right,83,20,285.99,17.413196265603695,40,8.391901814748767
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,2,4,Maltodextrin,right,117,20,563.99,12.447029202645437,86,9.149098388269294
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,2,5,Maltodextrin,right,90,20,601.99,8.970248675227163,98,9.767604113025133
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,2,6,Maltodextrin,right,73,20,238.99,18.327126658019164,43,10.795430771161973
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,2,7,Maltodextrin,right,136,20,771.99,10.570085104729335,142,11.036412388761512
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,2,8,Maltodextrin,right,71,20,414.99,10.265307597773441,62,8.964071423407793
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,2,9,Maltodextrin,Left,90,20,242.99,22.22313675459895,55,13.580805794477138
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,2,10,Maltodextrin,Left,119,20,399.99,17.850446261156527,70,10.500262506562663
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,2,11,Maltodextrin,Left,81,20,374.99,12.960345609216246,75,12.000320008533562
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,2,12,Maltodextrin,Left,83,20,290.99,17.113990171483557,60,12.371559160108594
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,2,13,Maltodextrin,Left,113,20,719.99,9.416797455520216,95,7.916776621897526
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,2,14,Maltodextrin,Left,118,20,614.99,11.512382315159597,101,9.853818761280671
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,2,15,Maltodextrin,Left,69,20,283.99,14.577978097820345,58,12.253952603964928
skr216_sPIT_Deval_1lever,Taste_Aversion,RR5,2,16,Maltodextrin,Left,102,20,367.99,16.630886708877956,73,11.90249735047148
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,3,1,Maltodextrin,right,144,20,561.99,15.373939038061176,126,13.45219665830353
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,3,2,Maltodextrin,right,235,20,1376.99,10.239725778691202,175,7.625327707536002
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,3,3,Maltodextrin,right,134,20,338.99,23.717513790967285,63,11.150771409186111
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,3,4,Maltodextrin,right,240,20,1127.99,12.76607062119345,134,7.127722763499677
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,3,5,Maltodextrin,right,200,20,691.99,17.341291059119353,113,9.797829448402434
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,3,6,Maltodextrin,right,157,20,403.99,23.317408846753633,74,10.990371048788337
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,3,7,Maltodextrin,right,226,20,603.99,22.450702826205735,103,10.23195748273978
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,3,8,Maltodextrin,right,152,20,545.99,16.7036026300848,89,9.780398908404916
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,3,9,Maltodextrin,Left,166,20,406.99,24.47234575788103,106,15.626919580333668
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,3,10,Maltodextrin,Left,195,20,619.99,18.871272117292214,99,9.580799690317587
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,3,11,Maltodextrin,Left,156,20,514.99,18.175110196314492,120,13.980853997164994
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,3,12,Maltodextrin,Left,179,20,533.99,20.112736193561677,102,11.460888780688776
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,3,13,Maltodextrin,Left,295,20,978.99,18.079857812643642,111,6.802929549842184
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,3,14,Maltodextrin,Left,154,20,542.99,17.016887972154183,70,7.734949078251901
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,3,15,Maltodextrin,Left,167,20,484.99,20.660219798346358,93,11.505391863749768
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,3,16,Maltodextrin,Left,212,20,673.99,18.872683570972864,123,10.949717354856896
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,4,1,Maltodextrin,right,219,12,1800.99,7.29598720703613,167,5.563606682991021
